[00:00:03--00:00:05] 大家都知道图像是大自然创造的
[01:15:13--01:15:15] 更多的要叫做要视觉
[01:15:15--01:15:18] 就是它的核心是叫做
[01:15:18--01:15:20] 真正在视觉空间上做的COT
[01:15:20--01:15:24] 因为我们知道其实现在的这些欧的这些发现师
[01:15:24--01:15:27] 他的那个社会链基本上都是文明
[01:15:27--01:15:27] 是吧
[01:15:27--01:15:28] 都是文明
[01:15:28--01:15:30] 即便是你可以把input
[01:15:30--01:15:32] 就是你的primer加入图像
[01:15:32--01:15:32] 对
[01:15:32--01:15:37] 但是我可以用跟文本模型完全相同的方法
[01:15:37--01:15:41] 我也可以把这个OE-like的这个Lang COT的激发上
[01:15:41--01:15:43] 但是所有这些推理
[01:15:43--01:15:44] 其实都还是在文本
[01:15:44--01:15:49] 那么对于很多你必须要在图像空间上做的问题
[01:15:49--01:15:50] 最典型的就是数数
[01:15:50--01:15:52] 比如说像走迷宫
[01:15:52--01:15:54] 比如说像连线
[01:15:54--01:15:57] 像这些还有像识别图表
[01:15:57--01:15:58] 阅读图表
[01:15:58--01:16:01] 这些东西其实对于人类来说是非常简单的
[01:16:01--01:16:05] 因为人类可以在图像做各种的圈点批注
[01:16:05--01:16:07] 就算人不做圈点批注
[01:16:07--01:16:10] 就仅通过这种视线和这个注意力的转移
[01:16:10--01:16:13] 比如我先数左边再数上面再数右边
[01:16:13--01:16:15] 我也可以把这个counting这些
[01:16:15--01:16:16] 或者是定位
[01:16:16--01:16:18] 比如说我问
[01:16:18--01:16:19] 我给你一个表格
[01:16:19--01:16:22] 我问这个某一个字母在第几行第几列
[01:16:22--01:16:24] 还有桌标图
[01:16:24--01:16:26] 还有读钟表
[01:16:26--01:16:29] 这些事情其实人类都非常简单
[01:16:29--01:16:32] 其实最主要的原因还是人
[01:16:32--01:16:34] 首先这个问题虽然简单
[01:16:34--01:16:38] 但它也没有简单到可以一口就直接说出答案的地步
[01:16:38--01:16:40] 你还是需要做推理
[01:16:40--01:16:43] 而且这个推理它并不是在语言空间
[01:16:43--01:16:45] 你必须在视觉空间上做一些东西
[01:16:45--01:16:46] 你才可以做推理
[01:16:46--01:16:49] 所以在去年年中我setup这个项目
[01:16:49--01:16:53] 其实就是想研究一下在视觉空间慢思考
[01:16:53--01:16:56] 或者说叫视觉空间上的lancet
[01:16:56--01:16:58] 在youtube要怎么做
[01:16:58--01:16:59] 这样子的
[01:17:00--01:17:01] 这也是受圆膜因启发
[01:17:01--01:17:02] 圆膜因不是说
[01:17:02--01:17:05] 我缺失了一些动作空间吗
[01:17:05--01:17:07] 比如说反思上动作
[01:17:07--01:17:08] 我把它补回来就好
[01:17:08--01:17:11] 这个视觉我可以做同样的处理
[01:17:11--01:17:13] 现在是在视觉上
[01:17:13--01:17:14] 不是数数不好数吗
[01:17:14--01:17:16] 你回想一下人类要怎么数数
[01:17:16--01:17:19] 我可以在那个图上圈点
[01:17:19--01:17:21] 你数一个我就给你打个脸
[01:17:21--01:17:23] 再数一个我再给你打个脸
[01:17:23--01:17:24] 这就解决了
[01:17:24--01:17:25] 人是怎么做迷宫的
[01:17:25--01:17:28] 连线从入口开始连
[01:17:28--01:17:29] 连到死胡同再回来
[01:17:29--01:17:31] 把那些线插了
[01:17:31--01:17:33] 再回到另一个点
[01:17:33--01:17:36] 这样动作空间就有了
[01:17:36--01:17:38] 有了动作空间
[01:17:38--01:17:39] 我把通过一些训练
[01:17:39--01:17:42] 我把它放到我的模型里面去
[01:17:42--01:17:43] 对
[01:17:43--01:17:46] 我再用RL的算法
[01:17:46--01:17:48] 这个RL也可以做得非常简单
[01:17:48--01:17:48] 也是个Ruby
[01:17:48--01:17:51] 我就鼓励那些
[01:17:51--01:17:53] 能够通向正确答案
[01:17:53--01:17:56] 抑制那些大不了正确答案
[01:17:56--01:17:59] 我甚至里我还允许反悔
[01:17:59--01:17:59] 你做
[01:17:59--01:18:01] 我做过的标记
[01:18:01--01:18:03] 我都可以把它cancel了
[01:18:03--01:18:04] 给它擦掉
[01:18:04--01:18:07] 这样不又有那个反思了
[01:18:07--01:18:08] 对啊
[01:18:08--01:18:09] 然后这样就想得很美
[01:18:09--01:18:13] 就这样就我们就可以做叫真视觉空间上推力
[01:18:13--01:18:14] 就不利害文的
[01:18:14--01:18:16] 我还可以在图上做全脸皮肚
[01:18:16--01:18:17] 这样的东西
[01:18:17--01:18:17] 结果呢
[01:18:17--01:18:19] 就做了半年
[01:18:19--01:18:20] 实际出来效果
[01:18:20--01:18:21] 跟大家说
[01:18:21--01:18:22] 透露一下
[01:18:22--01:18:25] 就首先不是说完全没有效果
[01:18:25--01:18:28] 我这样训练确实可以把这类问题给解掉
[01:18:28--01:18:29] 但问题是
[01:18:29--01:18:31] 我造什么样的数据
[01:18:31--01:18:32] 他就只能解这一类数据
[01:18:32--01:18:35] 他完全没有在语言模型上
[01:18:35--01:18:39] 我们看到的这么强大的这样的一个方法
[01:18:39--01:18:39] 对
[01:18:39--01:18:42] 这件事就说起来就比较复杂
[01:18:42--01:18:44] 就涉及到对欧
[01:18:44--01:18:46] 我觉得这是涉及对欧的另一个理解
[01:18:46--01:18:48] 就是说欧这个方式
[01:18:48--01:18:53] 他对于跟刚刚就是怎么说呢
[01:18:53--01:18:55] 就比他解数学题解代码题相比
[01:18:55--01:18:56] 就是他更吸引了一点
[01:18:56--01:18:59] 就是欧这个方式有无与伦比的
[01:18:59--01:18:59] 这个方式
[01:18:59--01:18:59] 就是推广性
[01:18:59--01:19:02] 就比如说我做过实验
[01:19:02--01:19:05] 我故意只在纯数学模型上
[01:19:05--01:19:07] 训了一个欧赖克的这样一个模型
[01:19:07--01:19:08] 对
[01:19:08--01:19:09] 然后呢
[01:19:09--01:19:12] 我把它在那个诗词
[01:19:12--01:19:14] 尤其那些古诗词
[01:19:14--01:19:19] 因为他要严格满足他的格率和押韵的要求
[01:19:19--01:19:21] 这样的一个问题
[01:19:21--01:19:24] 事实上我的数据里面是完全没有这一类
[01:19:24--01:19:26] 诗词要这么做
[01:19:26--01:19:26] 对
[01:19:26--01:19:29] 结果他激发出了
[01:19:29--01:19:32] 那个解数学题非常类似的那种思考pattern
[01:19:32--01:19:32] 对
[01:19:32--01:19:35] 因为发现他会先给一个drop
[01:19:35--01:19:37] 足以检查哪些不满足要求
[01:19:37--01:19:39] 再一个一个替换
[01:19:39--01:19:40] 替换完之后
[01:19:40--01:19:42] 可能这个句子就不成句了
[01:19:42--01:19:44] 他又说看起来这个完全不行
[01:19:44--01:19:47] 他就把前面两句全部推翻
[01:19:47--01:19:48] 又重新试了一种
[01:19:48--01:19:49] 还不行
[01:19:49--01:19:51] 他把整个诗又全部推翻
[01:19:51--01:19:52] 从又来了一种
[01:19:52--01:19:53] 而且呢
[01:19:53--01:19:55] 他在过程中他会反复检查他的字数
[01:19:55--01:19:59] 还有以及是否满足这个提议的这个要求
[01:19:59--01:19:59] 对
[01:19:59--01:20:03] 跟那个他做数学几乎是一模一样
[01:20:03--01:20:04] 他在数学的时候也是
[01:20:04--01:20:06] 也是会有这样的一个pattern
[01:20:06--01:20:10] 我刚刚说的反思只是众多他激发出来的pattern中的一种啊
[01:20:10--01:20:12] 反思可能最重要了
[01:20:12--01:20:12] 对
[01:20:12--01:20:15] 但是他还也会有一些其他的pattern
[01:20:15--01:20:17] 比如说那个就换一种方法验算
[01:20:17--01:20:19] 还有叫verify
[01:20:19--01:20:21] 就是用不同的方法验算
[01:20:21--01:20:22] 还有叫大循环
[01:20:22--01:20:26] 大循环的意思就推翻前面做的所有东西
[01:20:26--01:20:28] 再从头再开始再开始做一遍
[01:20:29--01:20:31] 然后再做一个叫审题
[01:20:31--01:20:32] 就多次比对题目
[01:20:32--01:20:34] 还有设法符合题目要求
[01:20:34--01:20:36] 你会发现同样的过程
[01:20:36--01:20:39] 他可以非常完美的transfer到这个
[01:20:39--01:20:41] 像文学类这样的场景
[01:20:41--01:20:43] 虽然我完全没有做过
[01:20:43--01:20:45] 没有做过这类的数学
[01:20:45--01:20:46] 这是一个非常好的例子
[01:20:46--01:20:49] 就是他翻画的是整个他的pattern
[01:20:49--01:20:51] 就是怎么做事的方式
[01:20:51--01:20:51] 翻画的
[01:20:51--01:20:52] 完全正确
[01:20:52--01:20:54] 这个欧这个泛画
[01:20:54--01:20:55] 他非常厉害的点
[01:20:55--01:20:58] 他似乎不仅是按照domain泛画
[01:20:58--01:21:00] 从一些数学题翻画到另一些数学题
[01:21:00--01:21:01] 这个是有的
[01:21:01--01:21:03] 但是不是他最吸引人的点
[01:21:03--01:21:06] 他更多吸引人的点是pattern
[01:21:06--01:21:07] 一种思考模式
[01:21:07--01:21:08] 比如说验算
[01:21:08--01:21:11] 比如说那个就是回退到上一步
[01:21:11--01:21:13] 这样的pattern
[01:21:13--01:21:15] 他会在另外一些问题中
[01:21:15--01:21:18] 可能我训练中完全没有出现问题
[01:21:18--01:21:21] 但是也适合于这种pattern解决问题上
[01:21:21--01:21:22] 他会有所体现
[01:21:22--01:21:27] 这就是他非常强大泛画力的这个来源
[01:21:27--01:21:28] 并且呢
[01:21:28--01:21:31] 我也找到了数学模式
[01:21:31--01:21:32] 纯数学数据
[01:21:32--01:21:34] 他无法泛画的一个领域
[01:21:34--01:21:37] 就看起来就是博弈
[01:21:37--01:21:40] 比如说我在一个纯数学性能的一个模型上
[01:21:40--01:21:44] 所以我故意问他这样的一个问题
[01:21:44--01:21:46] 比如说我给他一个斗地主的一个残取
[01:21:46--01:21:48] 双方名牌
[01:21:48--01:21:51] 其中一方可能两个a两个go
[01:21:51--01:21:52] 另一方是另一手牌
[01:21:52--01:21:54] 我问第二
[01:21:54--01:21:56] 如果是第二家出牌
[01:21:56--01:21:57] 他要怎么出才能赢
[01:21:58--01:22:02] 我发现这个范式他是完全掌握不到要理
[01:22:02--01:22:04] 对他做了很多无效思考
[01:22:04--01:22:05] 而且还有很多地级错误
[01:22:05--01:22:07] 比如说把扑克牌
[01:22:07--01:22:11] 把扑克牌的那个张数都能数错
[01:22:11--01:22:14] 以及就其中一方都出完了
[01:22:14--01:22:17] 他还是说因为他两张a已经下去了
[01:22:17--01:22:22] 所以他无法再抵挡我后面的这个后续的这个出牌
[01:22:22--01:22:24] 但其实对方都出完了
[01:22:24--01:22:26] 他会出很多这种地级的错误
[01:22:26--01:22:28] 思考也完全不得要理
[01:22:28--01:22:31] 其实我们分析就是因为这种博弈类的问题
[01:22:31--01:22:34] 他的思考范式跟大部分数学题都不同
[01:22:34--01:22:38] 他其实是一个min max的这个思路
[01:22:38--01:22:42] 也就是说他要从对手的最优解里面
[01:22:42--01:22:46] 要尽可能的降低对手最优解的这样的一个收益
[01:22:46--01:22:48] 所以它是个最大最小的问题
[01:22:48--01:22:51] 这一类思维排挥他是没有掌握
[01:22:51--01:22:55] 当然我们也发现如果你合成了很多这样的数据
[01:22:55--01:22:56] 就是这样的题目
[01:22:56--01:22:58] 你让他去学习这些数据
[01:22:58--01:23:01] 这个东西这类思维他也是很容易激发
[01:23:01--01:23:03] 所以真不是他不会
[01:23:03--01:23:07] 还是你在训练的时候
[01:23:07--01:23:11] 你需要有这样的一类的问题来激发出他这种思考的范式
[01:23:11--01:23:16] 所以换句话说就是他的推广性非常非常厉害
[01:23:16--01:23:18] 他一下能推广到一大块
[01:23:18--01:23:20] 但是回过来在想
[01:23:20--01:23:26] 我在图上做圈点批注这样一个问题
[01:23:26--01:23:28] 看起来也是非常非常厉害的
[01:23:28--01:23:31] 非常多的视觉推理问题都可以用的
[01:23:31--01:23:35] 那为什么我合成了这些数据他就没有
[01:23:35--01:23:38] 或者说我做的这一系列方法
[01:23:38--01:23:40] 他就没有这么强的推广性
[01:23:40--01:23:42] 对再回到语言
[01:23:42--01:23:45] 其实这时候因为我们这边的研究基本上
[01:23:45--01:23:52] 因为我们的团队基本上每个人都是同时通学语言视觉和语音
[01:23:52--01:23:55] 对所以大家这也是我们团队一大优势
[01:23:55--01:23:56] 大家可以比较能够利用这个跨界的思维去做这些东西
[01:23:56--01:23:57] 对所以大家这也是我们团队一大优势
[01:23:57--01:23:58] 大家可以比较能够利用这个跨界的思维去做这些东西
[01:23:58--01:23:59] 对所以大家这也是我们团队一大优势
[01:23:59--01:24:00] 对所以大家这也是我们团队一大优势
[01:24:00--01:24:00] 整段问题
[01:24:00--01:24:02] 后来就发现了
[01:24:02--01:24:04] 其实OE激发出来
[01:24:04--01:24:05] 这些反思的pattern
[01:24:05--01:24:07] 就很多经验证
[01:24:07--01:24:09] 比较恶的这些pattern
[01:24:09--01:24:10] 典型的这个代表
[01:24:10--01:24:11] 就是它有很多像wait
[01:24:11--01:24:13] 像alternative
[01:24:13--01:24:15] 这样的一些口水词
[01:24:15--01:24:17] 以及它的一些上下
[01:24:17--01:24:18] 像retake
[01:24:18--01:24:19] 还有vendition
[01:24:19--01:24:21] 这样的一种反思pattern
[01:24:21--01:24:23] 它不是我们
[01:24:23--01:24:25] 虽然说我们在那个coast up里
[01:24:25--01:24:26] 会人工合成这些数据
[01:24:26--01:24:28] 但是其实这也是
[01:24:28--01:24:30] 就怎么说呢
[01:24:30--01:24:32] 就somehow也是在操控
[01:24:32--01:24:33] 因为它告诉我们
[01:24:33--01:24:34] 可以这样搞
[01:24:34--01:24:36] 但是为什么可以这样搞
[01:24:36--01:24:38] 对 后来我们发现
[01:24:38--01:24:39] 是因为这些pattern
[01:24:39--01:24:41] 在那个预训的语料中
[01:24:41--01:24:41] 其实都有
[01:24:41--01:24:43] 虽然说它非常的少
[01:24:43--01:24:46] 对 比较典型的
[01:24:46--01:24:47] 就是像mass overflow
[01:24:47--01:24:48] 这样的问谈上
[01:24:48--01:24:50] 有一些比较高占的那种答案
[01:24:50--01:24:52] 对 它经常会用
[01:24:52--01:24:55] 就类似的那种思考过程
[01:24:55--01:24:56] 来一步一步
[01:24:56--01:24:58] 把这个问题给答出来
[01:24:58--01:24:58] 对
[01:24:58--01:25:00] 就我会发现
[01:25:00--01:25:01] 国内和国外的问谈
[01:25:01--01:25:02] 还是有很大不同的
[01:25:02--01:25:03] 国内的问谈
[01:25:03--01:25:05] 特别喜欢用注意到这种
[01:25:05--01:25:07] 把那些脚手架全部拆掉
[01:25:07--01:25:09] 就显得他自己很牛
[01:25:09--01:25:12] 就是一个很神奇的构造
[01:25:12--01:25:14] 把这个问题解了
[01:25:14--01:25:15] 至少这种语料
[01:25:15--01:25:17] 如果模型砍多了
[01:25:17--01:25:18] 这是灾难
[01:25:18--01:25:20] 对 因为那些
[01:25:20--01:25:21] 它等于是它把自己的思考
[01:25:21--01:25:23] 真实的思考过程
[01:25:23--01:25:24] 给隐藏起来
[01:25:24--01:25:25] 把思维变得特别跳远
[01:25:25--01:25:26] 特别跳远
[01:25:26--01:25:28] 这种其实是非常不利于模型学习的
[01:25:28--01:25:29] 对
[01:25:29--01:25:31] 但是像Math Overflow上的有一些高档达州
[01:25:31--01:25:34] 你会发现他上来拿了一个模型
[01:25:34--01:25:35] 他会尝试求解
[01:25:35--01:25:37] 但是他解着解着
[01:25:37--01:25:38] 他就会发现不对劲
[01:25:38--01:25:41] 然后他就会在上面写就等等
[01:25:41--01:25:42] 我发现这个东西
[01:25:42--01:25:44] 我少考虑了一个因素
[01:25:44--01:25:45] 对
[01:25:45--01:25:46] 然后他把这个因素加进去
[01:25:46--01:25:49] 我发现他之前想的方法完全不合格
[01:25:49--01:25:50] 他就陷入一些死大罗
[01:25:50--01:25:53] 这样想那样想
[01:25:53--01:25:54] 最后把这个结果
[01:25:54--01:25:57] 用另一种完全不同的形式给呈现出来
[01:25:57--01:25:58] 还有瑞前
[01:25:58--01:26:01] 你会发现他这样的一个搭贴过程
[01:26:01--01:26:02] 事实上
[01:26:02--01:26:04] 事实上那个就正是
[01:26:04--01:26:06] 其实跟我构造的那个pattern是一样的
[01:26:06--01:26:08] 或者说
[01:26:08--01:26:12] 我觉得OpenAI很有可能也是因为看到了
[01:26:12--01:26:13] 预训链预料中有很多这样的数据
[01:26:13--01:26:17] 所以他才设计出了这样的一个pattern
[01:26:17--01:26:18] 也就是说他的CodeStar这些pattern
[01:26:18--01:26:20] 他不是无中生有的
[01:26:20--01:26:21] 他是预训链的一种
[01:26:21--01:26:22] 他就有的
[01:26:22--01:26:22] 对
[01:26:22--01:26:23] 这个就是
[01:26:23--01:26:24] 就这一点
[01:26:24--01:26:25] 后来我们发现
[01:26:25--01:26:28] 他对于那个模型的泛化性
[01:26:28--01:26:28] 其实很重要
[01:26:28--01:26:29] 非常重要
[01:26:29--01:26:30] 对
[01:26:30--01:26:32] 因为预训链里这些pattern虽然数量很少
[01:26:32--01:26:33] 对
[01:26:33--01:26:34] 但是他是有生成
[01:26:34--01:26:36] 不同的人或机构生成
[01:26:36--01:26:38] 而且涵盖了不同的领域
[01:26:38--01:26:40] 虽然他绝对数量很少
[01:26:40--01:26:43] 但从知识体系和能力体系来说
[01:26:43--01:26:45] 他跟其他的数据形成了一种权限交错的
[01:26:45--01:26:48] 这种体系
[01:26:48--01:26:53] 也就是说当你在那个CodeStar的阶段
[01:26:53--01:26:54] 你把这些pattern激发出来
[01:26:54--01:26:56] 激发出来
[01:26:56--01:26:58] 然后再用RL强化这个pattern的时候
[01:26:58--01:27:02] 因为预训链语料中虽然很稀疏
[01:27:02--01:27:04] 但是到处都有这种排程的散布
[01:27:04--01:27:10] 他就顺带着他把跟这些语料相连的
[01:27:10--01:27:13] 非常广大的这些领域都给激发出来
[01:27:13--01:27:15] 就融会贯通
[01:27:15--01:27:15] 这就是他
[01:27:15--01:27:19] 我认为他有非常强泛化性的一个主要根
[01:27:19--01:27:23] 所以O3O4的多模态推理能力就明显强了很多
[01:27:23--01:27:27] 这也是像你像这个预期的这个方向
[01:27:27--01:27:28] 对对
[01:27:28--01:27:28] 这其实
[01:27:28--01:27:30] 这个又会反思一下
[01:27:30--01:27:33] 像我们为什么就做的那套方案就不行
[01:27:33--01:27:37] 因为在图上圈点批数这些全部都是我们拿程序
[01:27:37--01:27:38] 人工合成的数据
[01:27:38--01:27:39] 他的pattern过于固定
[01:27:39--01:27:42] 而在预训链语料中这一类
[01:27:42--01:27:45] 就在图上就非常惊喜化的圈点批数
[01:27:45--01:27:46] 比如说有谁解谜公式
[01:27:46--01:27:50] 真的一步从第一步开始
[01:27:50--01:27:51] 一个第一张图走一步
[01:27:51--01:27:53] 第二张再走一步这样
[01:27:53--01:27:57] 这个形式可能动画或者视频里有
[01:27:57--01:27:58] 但是像我们用的比较多的
[01:27:58--01:28:01] 就是图跟交错语料这类是绝对是没有的
[01:28:01--01:28:02] 对
[01:28:02--01:28:04] 所以呢我们照的这个东西
[01:28:04--01:28:06] 你会发现它处于一个很尴尬
[01:28:06--01:28:08] 就是说它只能代表它自己
[01:28:08--01:28:12] 但它没有能力能激发出预训链语料中
[01:28:12--01:28:18] 中间非常广大的非常广泛的一大类这个这个派对
[01:28:18--01:28:20] 这就是它使它效果不好的原因
[01:28:20--01:28:22] 我们再看一下这些新的这个O3
[01:28:22--01:28:25] 它也是支持这个图像进这个长思维链
[01:28:25--01:28:27] 但是它对它图像进思维链的方式是不一样的
[01:28:27--01:28:28] 但是它对它图像进思维链的方式是不一样的
[01:28:28--01:28:30] 它就是看起来似乎更原始
[01:28:30--01:28:34] 它只是对原图进行非常简单的编辑操作
[01:28:34--01:28:36] 比如说prop比如reset这些操作
[01:28:36--01:28:38] 但是呢它在做很多问题
[01:28:38--01:28:41] 我们尝试了一下它具有非常强的繁华性
[01:28:41--01:28:43] 也能做的效果
[01:28:43--01:28:46] 当然有些问题它比如说迷宫
[01:28:46--01:28:48] 如果你不让它写程序它肯定是解不了的
[01:28:48--01:28:53] 对就是它解的球解问题的上限可能并不高
[01:28:53--01:28:55] 对因为它能做的动作是有限
[01:28:55--01:28:57] 但在它能解的这个问题的时候
[01:28:57--01:29:01] 它的球解成功率是远高于我们当时做的那种形式
[01:29:01--01:29:05] 其实基于这套刚刚说的这个理解也很容易解释
[01:29:05--01:29:10] 因为预训的预料尤其是图文混排训练预料
[01:29:10--01:29:12] 前面有张大图
[01:29:12--01:29:14] 后面有各个局部把它放大
[01:29:14--01:29:17] 里面还有各种解释的这种预料是大量存在的
[01:29:17--01:29:19] 就比如说一些电子维修网站
[01:29:19--01:29:23] 经常有那个有那个问题的人
[01:29:23--01:29:25] 他上传一张图
[01:29:25--01:29:26] 对然后那个上传一张图
[01:29:26--01:29:27] 对然后那个上传一张图
[01:29:27--01:29:29] 就问这个我这个收音机哪里坏了
[01:29:29--01:29:31] 低压机又打阻
[01:29:31--01:29:33] 反正这个他们也局部给放大
[01:29:33--01:29:35] 你看这里你这个电容烧了
[01:29:35--01:29:37] 再看另一个地方
[01:29:37--01:29:39] 你这个原点又出了什么故意
[01:29:39--01:29:41] 这种预料大量存在
[01:29:41--01:29:45] 也就是说它对原图做这种比较原始的编辑
[01:29:45--01:29:47] 也就是说只有这种
[01:29:47--01:29:52] 只有这种放大resize graph这种东西
[01:29:52--01:29:54] 看起来很原始
[01:29:54--01:29:56] 但是它是严格遵守了
[01:29:56--01:29:58] 原理是预料里面
[01:29:58--01:30:00] 它的预认在预料里面是有的
[01:30:00--01:30:02] 有这种排斥
[01:30:02--01:30:04] 所以它效果反而好
[01:30:04--01:30:06] 我那个看起来科学
[01:30:06--01:30:07] 但因为没有
[01:30:07--01:30:09] 所以效果反而差
[01:30:09--01:30:12] 这也是很多那个同行都发现的一个事实
[01:30:12--01:30:14] 这一步其实它并不能发现
[01:30:14--01:30:17] 并不能无中生有新的东西
[01:30:17--01:30:19] 其实所有的知识或者能力
[01:30:19--01:30:21] 都已经有分布了
[01:30:21--01:30:23] 对对对都已经有了
[01:30:23--01:30:25] 说白了这也是给我们一个难题啊
[01:30:25--01:30:27] 你像尤其是要做多摩泰
[01:30:27--01:30:28] 像我刚刚说的那样圈点
[01:30:28--01:30:29] 比如说它是非常好开的
[01:30:29--01:30:32] 那预训练里很遗憾没有
[01:30:32--01:30:34] 对这种情况下
[01:30:34--01:30:35] 我要怎么办
[01:30:35--01:30:36] 那我总不能
[01:30:36--01:30:40] 我这个系统都被这个预训练bombs
[01:30:40--01:30:41] 对对对
[01:30:41--01:30:45] 所以这一块也是一个非常大的一个难题
[01:30:45--01:30:46] 我插一句
[01:30:46--01:30:48] 就是因为之前很多人提预训练的时候
[01:30:48--01:30:52] 你加很多多摩泰的数据会影响Tex的智商了
[01:30:52--01:30:53] 我不知道这个问题解决了没有
[01:30:53--01:30:54] 那还有另外一个说法呢
[01:30:55--01:30:58] 就是你今天可以加多摩泰的数据之后
[01:30:58--01:30:59] 好像这个skinning log
[01:31:00--01:31:02] 曲线也在上台了
[01:31:02--01:31:03] 我不知道这两种说法
[01:31:03--01:31:04] 是一个什么样的
[01:31:04--01:31:05] 当你知道要在
[01:31:05--01:31:06] 恰当的地方
[01:31:06--01:31:09] 我要把某一个图像
[01:31:09--01:31:10] 生成出来的时候
[01:31:10--01:31:12] 其实这个控制信号本身
[01:31:12--01:31:14] 就是生成这张图的
[01:31:14--01:31:14] 控制信号本身
[01:31:14--01:31:16] 是有非常丰富的语义的
[01:31:16--01:31:18] 它必须要能完全理解
[01:31:18--01:31:20] 前面这一段话的内容
[01:31:20--01:31:21] 它上下文中可能
[01:31:21--01:31:23] 甚至是更远处的
[01:31:23--01:31:24] 一张图像
[01:31:24--01:31:27] 就是它要对这个
[01:31:27--01:31:28] 动物体的信号
[01:31:28--01:31:28] 有完全的理解
[01:31:28--01:31:31] 所以它才能非常可控地
[01:31:31--01:31:34] 把这个图像给生成出来
[01:31:34--01:31:36] 但是很遗憾的时候
[01:31:36--01:31:37] 像我刚刚说的
[01:31:37--01:31:38] 就是你生成这张图像
[01:31:38--01:31:40] 现有的所有这些方法
[01:31:40--01:31:42] 它都不是一个
[01:31:42--01:31:43] 因为种种原因
[01:31:43--01:31:45] 其实最主要是复杂度的原因
[01:31:45--01:31:47] 就是它无法有充足的
[01:31:47--01:31:49] 这个算力和这个信息
[01:31:49--01:31:51] 把这张图完整地生成出来
[01:31:51--01:31:54] 那么这就导致生成这张图
[01:31:54--01:31:56] 它产生了这个规定
[01:31:56--01:31:58] 本身就噪声巨大
[01:31:58--01:32:00] 也没有什么信息量
[01:32:00--01:32:02] 比如说diffusion
[01:32:02--01:32:03] 最简单就是diffusion
[01:32:03--01:32:03] diffusion你在
[01:32:03--01:32:07] 你如果跟文字同时训练
[01:32:07--01:32:09] 那么diffusion它一次只能生成
[01:32:09--01:32:11] 它一次只能做一次
[01:32:11--01:32:13] demoist step
[01:32:13--01:32:15] 你要sample某一个t嘛
[01:32:15--01:32:18] 那你其实对于大部分的t来说
[01:32:18--01:32:20] 它的那个diffusion过程
[01:32:20--01:32:21] 都是没有语义的
[01:32:21--01:32:22] 因为语义都已经生成了
[01:32:22--01:32:23] 它都在补细节
[01:32:23--01:32:26] 补细节那个东西产生了这个loss
[01:32:26--01:32:28] 它反传到前面语言
[01:32:28--01:32:30] 其实对于那个语言的语义提升
[01:32:30--01:32:31] 没有那么多
[01:32:31--01:32:33] 反而有可能把它搞坏了
[01:32:33--01:32:35] 这也是为什么后来有人说
[01:32:35--01:32:38] 如果用auto regressive会好一些
[01:32:38--01:32:41] 但也没有本质的好
[01:32:41--01:32:43] 好一些原因是
[01:32:43--01:32:45] 因为好歹auto regressive
[01:32:45--01:32:47] 在训练的时候的行为和
[01:32:47--01:32:49] 推理的时候的行为是基本一致的
[01:32:49--01:32:50] 它在训练的时候
[01:32:50--01:32:52] 它不是只做一步
[01:32:52--01:32:54] 它好歹是我生成一个patch
[01:32:54--01:32:55] patch就出来了
[01:32:55--01:32:57] 它不是只生成图像的
[01:32:57--01:32:58] 一次demoist的
[01:32:58--01:33:00] 结果
[01:33:00--01:33:04] 所以它的规定相对而言会更清晰
[01:33:04--01:33:06] 更有语义一些
[01:33:06--01:33:07] 但也没有好太多
[01:33:07--01:33:08] 我前面说了
[01:33:08--01:33:09] 图像过于复杂
[01:33:09--01:33:10] 你auto regressive
[01:33:10--01:33:12] 你还是个落子无悔的模式
[01:33:12--01:33:17] 你不大可能是有非常清晰的行为
[01:33:17--01:33:19] 这就像你在预训栏中
[01:33:19--01:33:21] 有很多人都试过灌题
[01:33:21--01:33:23] 把那些数学题
[01:33:23--01:33:24] 或者各种各样的
[01:33:24--01:33:26] 有一些公务员考试的题
[01:33:26--01:33:27] 灌到预训栏
[01:33:27--01:33:28] 但你没有给他过程
[01:33:28--01:33:29] 你只给他一个答案
[01:33:29--01:33:30] 对
[01:33:30--01:33:31] 那么这种模型的时候
[01:33:31--01:33:33] 他遇到这种题
[01:33:33--01:33:34] 他会非常confused
[01:33:34--01:33:35] 你告诉他选C
[01:33:35--01:33:36] 但他根本不知道
[01:33:36--01:33:37] 他在一个token内
[01:33:37--01:33:40] 他根本想不到我为什么选C
[01:33:40--01:33:41] 所以这种语料灌多了
[01:33:41--01:33:41] 你会发现
[01:33:41--01:33:44] 模型会出现两个极端
[01:33:44--01:33:46] 一些比较强的模型
[01:33:46--01:33:47] 它会硬
[01:33:47--01:33:49] 强行弃住这个关联关系
[01:33:49--01:33:50] 下次遇到这个题
[01:33:50--01:33:52] 我不管三十下二十一我就选C
[01:33:52--01:33:52] 对
[01:33:52--01:33:54] 这就是表现的overfeed
[01:33:54--01:33:56] 而比较弱的模型
[01:33:56--01:33:57] 它会在想
[01:33:57--01:33:57] 哦
[01:33:57--01:33:57] 这个C好像有点弱
[01:33:57--01:33:58] 这个C好像有点弱
[01:33:58--01:33:58] 这个C好像有点弱
[01:33:58--01:33:59] 好像跟其他一点
[01:33:59--01:34:01] C的这个答案比较长
[01:34:01--01:34:03] 是不是这个C
[01:34:03--01:34:05] 我选C的原因
