[00:00:03--00:00:10] Hello 大家好,欢迎收听张小俊商业访谈录,我是小俊
[00:00:10--00:00:14] 这是一档由语言级世界工作室出品的深度访谈节目
[01:41:33--01:41:35] 也是我们上线一个月之后
[01:41:35--01:41:35] 他们写了一篇blog
[01:41:35--01:41:37] 像最近就是什么
[01:41:37--01:41:38] 用代码方式调用MCP
[01:41:38--01:41:39] 什么Progressively
[01:41:39--01:41:40] 什么Declosure
[01:41:40--01:41:40] 这个东西
[01:41:40--01:41:41] 也是我们都一直在
[01:41:41--01:41:42] 就在的东西
[01:41:42--01:41:43] 但我觉得这个是没有关系的
[01:41:43--01:41:44] 因为这个就是一个
[01:41:44--01:41:45] 竞合关系
[01:41:45--01:41:46] 而对我们来说
[01:41:46--01:41:47] 真正的优势是什么
[01:41:47--01:41:47] 有两点
[01:41:47--01:41:48] 第一点
[01:41:48--01:41:50] 因为我们对于不同的场景
[01:41:50--01:41:51] 使用不同的模型
[01:41:51--01:41:53] 所以没有关系
[01:41:53--01:41:54] 我们永远能够为用户提升
[01:41:54--01:41:56] 提供所有人中
[01:41:56--01:41:57] 做好的一个体验
[01:41:57--01:41:57] 这是第一点
[01:41:57--01:41:58] 第二点是什么呢
[01:41:58--01:42:00] 就是他们的速度
[01:42:00--01:42:01] 一旦是垂直整合
[01:42:01--01:42:02] 其实你一定是
[01:42:02--01:42:02] 没有我们快的
[01:42:02--01:42:03] 因为产品方面的
[01:42:03--01:42:05] 这个迭代还是太快了
[01:42:05--01:42:06] 他们成分化的
[01:42:06--01:42:08] 你们成成综合的
[01:42:08--01:42:08] 对 是的
[01:42:08--01:42:10] 所以刚好反过来了
[01:42:10--01:42:11] 这很有意思
[01:42:11--01:42:12] 这个很反视觉
[01:42:12--01:42:13] 是的 是的
[01:42:13--01:42:14] 如果都直觉的事
[01:42:14--01:42:15] 我觉得也轮不到我们做
[01:42:15--01:42:16] 为什么会这样
[01:42:16--01:42:17] 为什么会一个应用公司
[01:42:17--01:42:18] 开始做一个综合的事情
[01:42:18--01:42:20] 而有模型的公司
[01:42:20--01:42:20] 变成垂直整合
[01:42:20--01:42:22] 他们越走越窄
[01:42:22--01:42:24] 我觉得这就是
[01:42:24--01:42:25] 这个公司一开始的根是什么
[01:42:25--01:42:26] 其实我觉得
[01:42:26--01:42:27] 我们可以拿
[01:42:27--01:42:28] OpenAI作为一个案例吧
[01:42:28--01:42:29] 就是我刚才一直在讲
[01:42:29--01:42:30] 我非常尊重OpenAI
[01:42:30--01:42:32] 它是一个真正
[01:42:32--01:42:32] 怎么说呢
[01:42:32--01:42:33] 很尊重bottom up的
[01:42:33--01:42:34] 这一个模式的人
[01:42:34--01:42:35] 有很多朋友在OpenAI
[01:42:35--01:42:37] 就是它是真的能够通过
[01:42:37--01:42:38] 一小群人的一个创新
[01:42:38--01:42:39] 逐渐逐渐往上走
[01:42:39--01:42:40] 变成一个产品
[01:42:40--01:42:42] 但实际上我认为
[01:42:42--01:42:43] 这就是我刚才讲的
[01:42:43--01:42:44] 那个叫买模型彩票这件事
[01:42:44--01:42:47] 你的实现的方式
[01:42:47--01:42:48] 是基于一个突破
[01:42:48--01:42:49] 来做一个场景
[01:42:49--01:42:51] 但是对于我们来说
[01:42:51--01:42:53] 我们是所有外部的创新
[01:42:53--01:42:54] 对我们都是一种养料
[01:42:54--01:42:54] 都是一种供给
[01:42:54--01:42:56] 那我们就不用做选择
[01:42:56--01:42:57] 我们不用买这个模型大乐头
[01:42:57--01:43:00] 就作为应用公司来说
[01:43:00--01:43:01] 其实跟模型公司相比
[01:43:01--01:43:02] 我觉得还有另外一个优势
[01:43:02--01:43:04] 就是大家常常觉得
[01:43:04--01:43:06] 就好像智能的提升
[01:43:06--01:43:07] 好像不需要用户
[01:43:07--01:43:09] 这个至少从今年年初
[01:43:09--01:43:09] 比如DeepSeek
[01:43:09--01:43:10] R1出来之前
[01:43:10--01:43:11] 其实DeepSeek也没有很多的用户
[01:43:11--01:43:12] 对吧
[01:43:12--01:43:13] 但是你其实通过
[01:43:13--01:43:14] 比如这RLVR这些方式
[01:43:14--01:43:15] 你其实能获得一些提升
[01:43:15--01:43:17] 但我觉得对于agent这种
[01:43:17--01:43:18] 特别常链路
[01:43:18--01:43:19] 跟环境相关的场景下
[01:43:19--01:43:21] 其实用户是非常关键的
[01:43:21--01:43:23] 但是用户的使用轨迹
[01:43:23--01:43:23] 以及feedback
[01:43:23--01:43:25] 是留存于应用层
[01:43:25--01:43:26] 而不是流动到
[01:43:26--01:43:27] 模型层的
[01:43:27--01:43:28] 所以其实现在应用公司
[01:43:28--01:43:30] 有非常独特的数据飞轮
[01:43:30--01:43:31] 这就是为什么像WindServe
[01:43:31--01:43:32] 跟Cursor
[01:43:32--01:43:34] 他们可以以一个较低的成本
[01:43:34--01:43:36] 在一个预训练基座之上
[01:43:36--01:43:37] 去开发出一个
[01:43:37--01:43:38] 基本是frontier level
[01:43:38--01:43:39] 但是成本很低
[01:43:39--01:43:40] 且专门适配自己的模型
[01:43:40--01:43:42] 所以我觉得这是未来
[01:43:42--01:43:42] 可能半年的一个
[01:43:42--01:43:44] 很重要的一个变化
[01:43:44--01:43:45] 大家会看见更多的
[01:43:45--01:43:46] 应用层公司
[01:43:46--01:43:47] 在利用自己的数据飞轮
[01:43:47--01:43:49] 变成以模型的形式
[01:43:49--01:43:50] 来体现出产品
[01:43:50--01:43:51] 可以持续连带这件事
[01:43:51--01:43:52] 你们的用户画像
[01:43:52--01:43:53] 是什么样的
[01:43:53--01:43:54] 我们用户画像是这样
[01:43:54--01:43:55] 就是我刚才讲了一个
[01:43:55--01:43:56] 最笼统的定义
[01:43:56--01:43:57] 叫做prosumer
[01:43:57--01:43:58] 但可以切几个
[01:43:58--01:44:00] 比较常见的画像来讲
[01:44:00--01:44:00] 比如说第一类
[01:44:00--01:44:02] 我们叫做在互联网公司
[01:44:02--01:44:03] 或者技术公司里
[01:44:03--01:44:04] 但不是成员的人
[01:44:04--01:44:05] 比如说广业来说的
[01:44:05--01:44:06] 就是白领
[01:44:06--01:44:07] 或者是远程工作者
[01:44:07--01:44:09] 第二类是我们叫做
[01:44:09--01:44:09] freelancer
[01:44:09--01:44:10] 或者solo entrepreneur
[01:44:10--01:44:12] 就是美国其实有很多那种
[01:44:12--01:44:14] 就是独立自己去自负盈亏
[01:44:14--01:44:16] 你可能在做外包
[01:44:16--01:44:17] 你可能在做
[01:44:17--01:44:19] 自己有一个很小的生意
[01:44:19--01:44:21] 这些人他们是一类用户
[01:44:21--01:44:22] 然后第三类比较大的用户
[01:44:22--01:44:23] 就是所谓的金融
[01:44:23--01:44:23] 和consulting
[01:44:24--01:44:25] 就是咨询行业的这些人
[01:44:25--01:44:26] 我觉得他们都有一个
[01:44:26--01:44:27] 比较大的共性
[01:44:27--01:44:29] 就是有比较强的自驱力
[01:44:29--01:44:30] 且与此同时
[01:44:30--01:44:32] 他们的任务是高价值的
[01:44:32--01:44:33] 这个是很好玩的
[01:44:33--01:44:34] 然后我们发现
[01:44:34--01:44:35] 其实做agent
[01:44:35--01:44:36] 就很有意思的一点
[01:44:36--01:44:37] 就是他不是在做工具
[01:44:37--01:44:38] 至少对于我们来说
[01:44:38--01:44:39] 如果你做了一种
[01:44:39--01:44:40] 通用的agent的话
[01:44:40--01:44:41] 不是在做工具
[01:44:41--01:44:42] 你不是在做工具
[01:44:42--01:44:42] 你其实在做一个
[01:44:42--01:44:44] 类似于人的东西
[01:44:44--01:44:45] 如果你做的是一个垂直agent
[01:44:45--01:44:46] 你可能还是在做
[01:44:46--01:44:47] 一种新的工具
[01:44:47--01:44:48] 但如果你在做一个通用agent
[01:44:48--01:44:49] 你其实在做一个人
[01:44:49--01:44:51] 做一个垂直工具
[01:44:51--01:44:52] 比如说汽车公司
[01:44:52--01:44:53] 就做的是司机
[01:44:53--01:44:55] 像LoveArt就做的是设计师
[01:44:55--01:44:56] 对 但是它其实是
[01:44:56--01:44:58] 设计师用的一个工具
[01:44:58--01:45:00] 而Nedus作为一个通用agent
[01:45:00--01:45:01] 我甚至可以用LoveArt
[01:45:01--01:45:04] 因为Nedus的抽象层级
[01:45:04--01:45:04] 是什么
[01:45:04--01:45:05] 就是我们在设计说
[01:45:05--01:45:07] 让agent能使用哪些工具
[01:45:07--01:45:08] 或者你跟外部交互的边界
[01:45:08--01:45:09] 是什么时候
[01:45:09--01:45:10] 我们一直是这样一个类比
[01:45:10--01:45:11] 就是说我是一个人
[01:45:11--01:45:12] 一个普普通通的人
[01:45:12--01:45:13] 我能做很多事
[01:45:13--01:45:14] 是因为我有一个电脑
[01:45:14--01:45:16] 我跟电脑之间的interface
[01:45:16--01:45:17] 就是界面是什么
[01:45:17--01:45:19] 我的右手能够用鼠标
[01:45:19--01:45:20] 我的左手能够用键盘
[01:45:20--01:45:22] 我眼睛能看见屏幕上的内容
[01:45:22--01:45:24] 我的耳朵能听见它的声音
[01:45:24--01:45:25] 没了
[01:45:25--01:45:27] 就是一个远程工作者
[01:45:27--01:45:29] 用这样简单的标准的接口
[01:45:29--01:45:30] 其实就能完成
[01:45:30--01:45:33] 几乎无穷无尽的种类的任务
[01:45:33--01:45:34] 所以最近我们也看到
[01:45:34--01:45:35] 一个比较新奇的结果
[01:45:35--01:45:36] 就是Scale AI
[01:45:36--01:45:37] 最近发布了一个新的
[01:45:37--01:45:37] 一个benchwork
[01:45:37--01:45:38] 叫RLI
[01:45:38--01:45:40] 叫Remote Labor Index
[01:45:40--01:45:42] 叫远程劳动力指标
[01:45:42--01:45:43] 这个benchwork里
[01:45:43--01:45:45] 当然Nedus又是SOTA
[01:45:45--01:45:45] 肯定第一名
[01:45:45--01:45:46] 然后我们战胜了
[01:45:46--01:45:47] 像Cloud
[01:45:47--01:45:47] Gemini
[01:45:47--01:45:49] 所有这些竞争对手
[01:45:49--01:45:49] 但为什么我们
[01:45:49--01:45:51] 就是非常看重这个benchwork
[01:45:51--01:45:52] 因为它的评判标准
[01:45:52--01:45:53] 是非常有意思的
[01:45:53--01:45:54] 它的评判标准说
[01:45:54--01:45:56] 这个AI系统
[01:45:56--01:45:56] 它完成的工作
[01:45:56--01:45:58] 能否让一个现实的客户
[01:45:58--01:45:59] 愿意为之付款
[01:45:59--01:46:00] 且无法区分是人类
[01:46:00--01:46:02] 还是一个AI去完成的
[01:46:02--01:46:03] 然后这个当然就
[01:46:03--01:46:05] 虽然我们现在是SOTA
[01:46:05--01:46:06] 但实际上我们完成率
[01:46:06--01:46:07] 只有2.5%
[01:46:07--01:46:08] 所以其实离100%
[01:46:08--01:46:09] 还有很远的一个距离
[01:46:09--01:46:10] 但这块其实
[01:46:10--01:46:10] 这个benchwork
[01:46:10--01:46:11] 我们看中的原因
[01:46:11--01:46:12] 就是它完美契合了
[01:46:12--01:46:13] 我们想象的这一点
[01:46:13--01:46:14] 就是对于通用agent的
[01:46:14--01:46:15] 衡量指标
[01:46:15--01:46:16] 就是它能完成多少
[01:46:16--01:46:18] 远程工作者
[01:46:18--01:46:18] 能够完成的事
[01:46:18--01:46:20] 因为这个解读空间
[01:46:20--01:46:20] 就很大
[01:46:20--01:46:21] 我现在可能虽然
[01:46:21--01:46:23] 只有2.5%在benchwork上
[01:46:23--01:46:24] 但是那是不是说
[01:46:24--01:46:26] 我们也许能够去
[01:46:26--01:46:28] 让全世界2.5%的GDP
[01:46:28--01:46:29] 获得加速呢
[01:46:29--01:46:29] 对吧
[01:46:29--01:46:30] 所以这是一个
[01:46:30--01:46:31] 很好的一个梦想
[01:46:31--01:46:32] 而且大家都知道
[01:46:32--01:46:33] 就是进展仍然是存在
[01:46:33--01:46:34] 虽然很多人说
[01:46:34--01:46:35] AID的进展速度
[01:46:35--01:46:36] 好像变慢了
[01:46:36--01:46:37] 但实际上
[01:46:37--01:46:38] 我觉得evaluation
[01:46:38--01:46:38] 是最重要的事
[01:46:38--01:46:39] 因为它能指引我们
[01:46:39--01:46:40] 去的方向
[01:46:40--01:46:41] 还是既是test
[01:46:41--01:46:42] 也是方向嘛
[01:46:42--01:46:42] 所以我觉得
[01:46:42--01:46:43] 也许到了26年
[01:46:43--01:46:44] 我们乐观一点
[01:46:44--01:46:45] 可能2.5%
[01:46:45--01:46:46] 我们能刷到这个
[01:46:46--01:46:47] 20 30
[01:46:47--01:46:48] 对吧
[01:46:48--01:46:48] 那这样的话
[01:46:48--01:46:49] 其实就能占相当大的
[01:46:49--01:46:50] 一个
[01:46:50--01:46:51] 经济生产的一个规模
[01:46:51--01:46:52] 你们现在数据飞轮
[01:46:52--01:46:53] 是什么样的
[01:46:53--01:46:54] 数据飞轮是这样
[01:46:54--01:46:56] 就是可以跟chartboard相比
[01:46:56--01:46:56] 我觉得有讲几个
[01:46:56--01:46:57] 非常好玩的点
[01:46:57--01:46:59] 就是如果你在用
[01:46:59--01:46:59] chartboard的话
[01:46:59--01:47:01] 当AI输出了
[01:47:01--01:47:02] 你不满意的东西的时候
[01:47:02--01:47:02] 你的第一反应
[01:47:02--01:47:03] 可能有两种
[01:47:03--01:47:04] 第一种是
[01:47:04--01:47:06] 简单点那个重试键
[01:47:06--01:47:06] retry
[01:47:06--01:47:08] 它就重新再输出一个
[01:47:08--01:47:08] 你就相对
[01:47:08--01:47:09] 再roll一次看
[01:47:09--01:47:09] 会不会好一点
[01:47:09--01:47:10] 或者说
[01:47:10--01:47:11] 你就直接去改
[01:47:11--01:47:12] 你输入的那个
[01:47:12--01:47:13] 原始的prompt
[01:47:13--01:47:14] 但我们发现在
[01:47:14--01:47:15] agent的场景下
[01:47:15--01:47:16] 用户他会这样
[01:47:16--01:47:18] 就是他会教这个agent
[01:47:18--01:47:18] 我举一个例子
[01:47:20--01:47:21] 经常让manus
[01:47:21--01:47:22] 帮我去筛简历
[01:47:22--01:47:24] 然后他筛出这个标准
[01:47:24--01:47:25] 跟我想要的不太一样
[01:47:25--01:47:26] 我就跟manus说
[01:47:26--01:47:27] 你这不对
[01:47:27--01:47:29] 我喜欢的是这种
[01:47:29--01:47:29] 你要注意
[01:47:29--01:47:30] 下次是不是
[01:47:30--01:47:31] 给我excel或者怎么样
[01:47:31--01:47:33] 其实我一直在教agent
[01:47:33--01:47:34] 这是教
[01:47:34--01:47:35] 这是第一种
[01:47:35--01:47:36] 第二种是什么
[01:47:36--01:47:37] 就是如果有一些任务
[01:47:37--01:47:37] 即使不涉及
[01:47:37--01:47:38] 我的个人偏好
[01:47:38--01:47:39] 但agent很有可能
[01:47:39--01:47:40] 就是做不对
[01:47:40--01:47:41] 在这时候
[01:47:41--01:47:42] 我会去fix它
[01:47:42--01:47:43] 我会帮他修
[01:47:43--01:47:44] 比如说我跟manus说
[01:47:44--01:47:45] 你这个不对
[01:47:45--01:47:46] 我已经帮你把这个文件
[01:47:46--01:47:47] 改成了正确的格式
[01:47:47--01:47:49] 而获得这两个数据
[01:47:49--01:47:50] 其实是
[01:47:50--01:47:51] 非常非常困难的
[01:47:51--01:47:52] 以前在插报的时代
[01:47:52--01:47:53] 而当你有很大的
[01:47:53--01:47:54] 用户量之后
[01:47:54--01:47:55] 其实你能够进行一件事
[01:47:55--01:47:57] 就是你可以说大一点
[01:47:57--01:47:58] 叫做基于collective feedback
[01:47:58--01:48:00] 做到一种在线学习
[01:48:00--01:48:00] 当然我很不喜欢
[01:48:00--01:48:01] 在线学习这个词
[01:48:01--01:48:01] 待会说
[01:48:01--01:48:03] 但是它其实能达到的一点
[01:48:03--01:48:05] 就是我们即使不碰模型
[01:48:05--01:48:07] 其实也能够获得一种
[01:48:07--01:48:08] 叫做self-evolving的一个能力
[01:48:08--01:48:10] 当然它是parameter free
[01:48:10--01:48:11] 就是不涉及参数化
[01:48:11--01:48:13] 但是有更多的用户使用之后
[01:48:13--01:48:14] 我们能够将更多的
[01:48:14--01:48:15] 通用的
[01:48:15--01:48:16] 公用的这个failure pattern
[01:48:16--01:48:17] 就是失败模式
[01:48:17--01:48:19] 以及用户共识性的东西
[01:48:20--01:48:21] 原生的一部分
[01:48:21--01:48:22] 就变成用整体上来说
[01:48:22--01:48:23] 用的人越多
[01:48:23--01:48:24] 我的失败率越低
[01:48:24--01:48:26] 我完成同样任务的
[01:48:26--01:48:27] 轮次开销越小
[01:48:27--01:48:28] 这是第一种数据费轮
[01:48:28--01:48:30] 第二种是什么
[01:48:30--01:48:30] 第二种就是说
[01:48:30--01:48:32] 我们仍然会拿用户
[01:48:32--01:48:33] 最朴素的反馈
[01:48:33--01:48:34] 就是打一星到五星
[01:48:34--01:48:35] 作为一个指导
[01:48:35--01:48:37] 因为这个东西能回到什么
[01:48:37--01:48:37] 就是我们刚才讲的
[01:48:37--01:48:38] evaluation很重要
[01:48:38--01:48:39] 但实际上agent的
[01:48:39--01:48:40] 自动化evaluation
[01:48:40--01:48:41] 我认为现在还是非常
[01:48:41--01:48:42] 就是亟待改善的
[01:48:42--01:48:44] 因为即使你有一些
[01:48:44--01:48:45] 自动化的
[01:48:45--01:48:46] auto-verifiable的benchmark
[01:48:46--01:48:46] 比如我们一开始
[01:48:46--01:48:48] 就会很关注GAIA
[01:48:48--01:48:49] Sweep and这些东西
[01:48:49--01:48:50] 但实际上我们发现
[01:48:50--01:48:51] 真正上线之后
[01:48:51--01:48:53] 我们的在这方面
[01:48:53--01:48:55] 表现好的架构和模型
[01:48:55--01:48:56] 其实用户的真实评分
[01:48:56--01:48:57] 不一定高
[01:48:57--01:48:58] 因为用户关注点
[01:48:58--01:48:59] 跟你这些理想化的benchmark
[01:48:59--01:49:00] 还是挺不一样的
[01:49:00--01:49:01] 举例子比如说
[01:49:01--01:49:02] 用户更关注的是
[01:49:02--01:49:03] 你做了这个size
[01:49:03--01:49:04] 你的长宽比
[01:49:04--01:49:06] 是否超过了这个16比9
[01:49:06--01:49:08] 你这个网站是否是属于
[01:49:08--01:49:09] 比较易用且好看的
[01:49:09--01:49:10] 刚讲16比9
[01:49:10--01:49:12] 你还能可以自动verify
[01:49:12--01:49:12] 对吧
[01:49:12--01:49:14] 但是什么叫网站好用
[01:49:14--01:49:15] 可易且易用
[01:49:15--01:49:16] 这东西你很难通过
[01:49:16--01:49:17] 一个完全自动的
[01:49:17--01:49:17] reward model
[01:49:17--01:49:18] 去实现
[01:49:18--01:49:19] 所以我们非常依赖于
[01:49:19--01:49:20] 用户给的这个直接的反馈
[01:49:20--01:49:21] 且有一个固定的
[01:49:21--01:49:22] 一个团队就做evaluation
[01:49:22--01:49:24] 而且是主观evaluation
[01:49:24--01:49:26] 所以这块是真正
[01:49:26--01:49:27] 能够通过用户的反馈
[01:49:27--01:49:27] 来指导我们
[01:49:27--01:49:29] 迭代的一个方式
[01:49:29--01:49:30] 这是多少人的团队
[01:49:30--01:49:30] 我们是这样
[01:49:30--01:49:31] 就是我们有一个
[01:49:31--01:49:32] 专门的evaluation团队
[01:49:32--01:49:33] evaluation团队
[01:49:33--01:49:34] 现在不到10个人
[01:49:34--01:49:35] 但是他们会同时负责
[01:49:35--01:49:36] 这个系统的搭建
[01:49:36--01:49:37] 我们内部有很完善的
[01:49:37--01:49:38] evaluation体系
[01:49:38--01:49:38] 以及自动化
[01:49:38--01:49:40] 且同时我们从产品团队
[01:49:40--01:49:42] 会有一些比较junior的同事
[01:49:42--01:49:43] 其实专门就是负责
[01:49:43--01:49:43] 主观evaluation
[01:49:43--01:49:45] 所以是技术和产品团队
[01:49:45--01:49:46] 一个交集
[01:49:46--01:49:47] 加上大概有10多个人
[01:49:47--01:49:49] 加上不断轮转的
[01:49:49--01:49:49] 很多实际生
[01:49:49--01:49:51] 你们现在核心关注的
[01:49:51--01:49:52] 几个指标会是什么呢
[01:49:52--01:49:53] 我觉得有几个
[01:49:53--01:49:54] 第一个就是说
[01:49:54--01:49:56] 我们从interface
[01:49:56--01:49:56] 就还是刚才讲的
[01:49:56--01:49:57] 这个界面角度来说
[01:49:57--01:49:59] 接口层面来说
[01:49:59--01:49:59] 你可以抽象成
[01:49:59--01:50:00] 几个不同的维度
[01:50:00--01:50:02] 首先我一直在说coding
[01:50:02--01:50:03] coding一定是非常重要的一点
[01:50:03--01:50:04] 就虽然Manus
[01:50:04--01:50:05] 不是一个coding agent
[01:50:05--01:50:06] 但其实coding是
[01:50:06--01:50:07] Manus的一个灵魂
[01:50:07--01:50:08] 所以我们当然对Sweepinch
[01:50:08--01:50:09] 还是非常关注的
[01:50:09--01:50:10] 但是Sweepinch就快被刷爆了
[01:50:10--01:50:13] 然后这是编程是一个维度
[01:50:13--01:50:13] 第二点就是
[01:50:13--01:50:14] Manus虽然没有
[01:50:14--01:50:16] 直接进行computer use
[01:50:16--01:50:17] 就是说我们不是通过GUI
[01:50:17--01:50:18] 去完成很多事
[01:50:18--01:50:19] 但实际上我们用了
[01:50:19--01:50:20] 很多的browser的use
[01:50:20--01:50:21] 所以这块我们也会
[01:50:21--01:50:22] 很关注这种
[01:50:22--01:50:24] 就是GUI的理解能力
[01:50:24--01:50:24] 这是一个维度
[01:50:24--01:50:25] 但是这也就是所谓的
[01:50:25--01:50:26] 多模态输入的一部分
[01:50:26--01:50:28] 第三类是什么
[01:50:28--01:50:30] 就是广业的突靠能力
[01:50:30--01:50:31] 突靠能力是
[01:50:31--01:50:31] 怎么说呢
[01:50:31--01:50:32] 大家非常关注
[01:50:32--01:50:34] 但实际上到了Manus
[01:50:34--01:50:35] 这个复杂度的并不多
[01:50:35--01:50:36] 因为Manus的这个复杂度
[01:50:36--01:50:37] 非常高
[01:50:37--01:50:38] 它有多种不同的action space
[01:50:39--01:50:40] 它很有原生这种
[01:50:40--01:50:41] function calling的这个function
[01:50:41--01:50:42] 包括其实你在使用
[01:50:42--01:50:44] 我们自己自定义的
[01:50:44--01:50:45] 这版Linux发行版本的时候
[01:50:45--01:50:47] 它其实有很多命令行工具
[01:50:47--01:50:49] 它不是以模型原生的
[01:50:49--01:50:50] 这种schema去存在的
[01:50:50--01:50:51] 而是存在于系统中
[01:50:51--01:50:53] 就让模型能够基于
[01:50:53--01:50:55] 一些使用文档
[01:50:55--01:50:56] 来学会使用
[01:50:56--01:50:57] 特定软件的这个能力
[01:50:57--01:50:58] 这是非常关键的
[01:50:58--01:50:59] 所以我们从
[01:50:59--01:51:00] 模型的原子能力的情况下
[01:51:00--01:51:02] 我们会最关注这三点
[01:51:02--01:51:03] 但其实还有一些
[01:51:03--01:51:05] 非常难量化的东西
[01:51:05--01:51:05] 就是我们刚才讲的
[01:51:05--01:51:07] 比如说美学性
[01:51:07--01:51:08] 和对错误的自我意识
[01:51:08--01:51:09] 嗯
[01:51:09--01:51:10] 这个错误自我意识
[01:51:10--01:51:11] 其实我觉得也是很重要的
[01:51:11--01:51:12] 就是它有低
[01:51:12--01:51:13] 就是低维度和高维度两种
[01:51:13--01:51:14] 低维度一种就是说
[01:51:14--01:51:16] 你在看很多benchmark的时候
[01:51:16--01:51:17] 你能看见的是
[01:51:17--01:51:18] 无论你是pass I1
[01:51:18--01:51:18] 还是pass IK
[01:51:18--01:51:20] 你看到的其实都是
[01:51:20--01:51:21] 模型在one shot的过程中
[01:51:21--01:51:22] 去完成的一个状态
[01:51:22--01:51:22] 嗯
[01:51:22--01:51:23] 但很多时候
[01:51:23--01:51:24] 有的时候模型
[01:51:24--01:51:25] 需要自我意识到
[01:51:25--01:51:26] 这个错误该怎么修复
[01:51:26--01:51:27] 当然这是最理想的
[01:51:27--01:51:28] 更常见的情况是
[01:51:28--01:51:30] 用户先发现了一个错误
[01:51:30--01:51:31] 并指证它
[01:51:31--01:51:32] 而如果你是经常
[01:51:32--01:51:33] 用AI coding的时候
[01:51:33--01:51:34] 你可能会有一个
[01:51:34--01:51:34] 很沮丧的体验
[01:51:34--01:51:35] 就是无论是
[01:51:35--01:51:37] cloud code还是codex
[01:51:37--01:51:38] 你发现了一个问题
[01:51:38--01:51:39] 你让AI修
[01:51:39--01:51:40] AI说太棒了
[01:51:40--01:51:41] 我已经完美修复了
[01:51:41--01:51:41] 这个bug
[01:51:41--01:51:42] 其实它不仅没修好
[01:51:42--01:51:43] 还引入了另一个bug
[01:51:43--01:51:44] 对
[01:51:44--01:51:45] 这个指标是很难去追踪的
[01:51:45--01:51:46] 因为它可能中间
[01:51:46--01:51:47] 涉及真人的一个feedback
[01:51:47--01:51:48] 这是低维度
[01:51:48--01:51:50] 更高维度的一种
[01:51:50--01:51:50] 怎么说
[01:51:50--01:51:52] 这种错误是指
[01:51:52--01:51:53] 它做出了一个
[01:51:53--01:51:54] 能用的东西
[01:51:54--01:51:55] 但是呢
[01:51:55--01:51:56] 它无法去
[01:51:56--01:51:57] 很好的去
[01:51:57--01:51:57] 把这个东西
[01:51:57--01:51:58] 推到下一个level
[01:51:58--01:52:00] 就是从可用到好用的
[01:52:00--01:52:00] 这种错误
[01:52:00--01:52:01] 我们还是愿意
[01:52:01--01:52:03] 把它定义为一种错误
[01:52:03--01:52:03] 因为我们觉得
[01:52:03--01:52:04] 它能够解决的
[01:52:05--01:52:06] 这种coding agent
[01:52:06--01:52:08] 即使都能做网页
[01:52:08--01:52:09] Nandes也能再往前
[01:52:09--01:52:10] 再往前做一步
[01:52:10--01:52:11] 就基于我们的通用能力
[01:52:11--01:52:12] Nandes每做完一个网页
[01:52:12--01:52:13] 他也选择说
[01:52:13--01:52:14] 我自己用我的浏览器
[01:52:14--01:52:15] 去把这个网页玩一圈
[01:52:15--01:52:16] 然后看看
[01:52:16--01:52:17] 我再看看
[01:52:17--01:52:18] 我数据库里的记录
[01:52:18--01:52:19] 是否都对上了
[01:52:19--01:52:20] 所以这个我觉得
[01:52:20--01:52:21] 是能够去弥合
[01:52:21--01:52:22] 这一个错误的一个途径
[01:52:22--01:52:23] 刚才有一些表达
[01:52:23--01:52:25] 比如说模型的懒惰
[01:52:25--01:52:26] 模型比较没有耐心
[01:52:26--01:52:28] 模型感到压力
[01:52:28--01:52:29] 模型比较着急
[01:52:29--01:52:30] 还包括杨志林以前说
[01:52:30--01:52:32] 长文本影响智商
[01:52:32--01:52:32] 模型的状态
[01:52:32--01:52:34] 好像跟人还比较像
[01:52:34--01:52:35] 这是为什么
[01:52:35--01:52:37] 我觉得我们只是在
[01:52:37--01:52:39] 用人习惯的词来描述这个
[01:52:39--01:52:40] 我觉得模型跟人
[01:52:40--01:52:40] 一点都不像
[01:52:40--01:52:41] 或者说
[01:52:41--01:52:43] 强行把模型或者agent
[01:52:43--01:52:47] 与人的常用的思维体系
[01:52:47--01:52:47] 去对齐
[01:52:47--01:52:48] 这是不对的
[01:52:48--01:52:48] 你刚才不是说
[01:52:48--01:52:49] 你们做的是一个人吗
[01:52:49--01:52:51] 对 但是我们是做的是
[01:52:51--01:52:53] 能完成人做的事情的
[01:52:53--01:52:53] 一种系统
[01:52:53--01:52:55] 但你不该与人的
[01:52:55--01:52:56] 比如分工或者特化
[01:52:56--01:52:57] 去要求模型
[01:52:57--01:52:59] 这我举一个更具体的例子
[01:52:59--01:52:59] 就比如说
[01:52:59--01:53:01] 很多做agent的公司
[01:53:01--01:53:01] 或者一些
[01:53:01--01:53:02] 开发者
[01:53:02--01:53:03] 通过一种惯性思维
[01:53:03--01:53:05] 就说我要让我的agent
[01:53:05--01:53:06] multi agent系统中
[01:53:06--01:53:07] 分为设计师
[01:53:07--01:53:08] designer
[01:53:08--01:53:09] 什么programmer
[01:53:09--01:53:10] manager这些东西
[01:53:10--01:53:12] 就是你在给模型
[01:53:12--01:53:13] 增加很多不同的角色
[01:53:13--01:53:14] 我们觉得
[01:53:14--01:53:15] 这个其实不太对
[01:53:15--01:53:16] 因为回想一下
[01:53:16--01:53:17] 为什么人类社会
[01:53:17--01:53:17] 会有这个问题呢
[01:53:17--01:53:19] 是因为很可惜
[01:53:19--01:53:20] 我们每个人都不太全能
