[00:00:12--00:00:15] 我可以这么说吗
[00:46:35--00:46:37] 如果你是一个历史悠久
[00:46:37--00:46:39] 成熟的大型企业集团
[00:46:39--00:46:41] 你会有公司盈利的技术报告
[00:46:41--00:46:44] 股东们会期望获得一定水平的收益
[00:46:44--00:46:47] 而对一家刚刚成立的车企
[00:46:47--00:46:48] 期望则会不同
[00:46:48--00:46:50] 你面临着金融市场的压力
[00:46:50--00:46:54] 同时也面临着转型的压力
[00:46:54--00:46:57] 所以你必须尽最大努力
[00:46:57--00:46:59] 不要打安全牌
[00:46:59--00:47:01] 保全是行不通的
[00:47:01--00:47:05] 在投资新技术方面也要大胆
[00:47:05--00:47:07] 而且你必须提高效率
[00:47:07--00:47:09] 这就像参加体育运动
[00:47:09--00:47:11] 如果你是一名足球运动员
[00:47:11--00:47:14] 你必须为比赛做好准备
[00:47:14--00:47:16] 你必须练习
[00:47:16--00:47:18] 让自己时刻处于竞技状态
[00:47:18--00:47:21] 并确保队友都处于竞技状态
[00:47:21--00:47:22] 对我们来说
[00:47:22--00:47:24] 我们试图做同样的事情
[00:47:24--00:47:27] 我们正在以公司历史上最高的水平
[00:47:27--00:47:29] 投资新的技术费用来做好这些事
[00:47:29--00:47:31] 我们也在提高了我们的工程人员
[00:47:31--00:47:38] 研发 工厂和技术合作伙伴关系
[00:47:38--00:47:39] 与此同时
[00:47:39--00:47:41] 我们正在加倍提高效率
[00:47:41--00:47:43] 我们审视整个架构
[00:47:43--00:47:45] 使流程更精简 更智能
[00:47:45--00:47:48] 结构上也要更精简
[00:47:48--00:47:50] 如果厨房里有太多的厨师
[00:47:50--00:47:52] 效率会变得很慢
[00:47:52--00:47:55] 但你可以结合利用各种优势
[00:47:55--00:47:57] 因此对于一家成熟的公司来说
[00:47:57--00:48:00] 你必须两者兼顾
[00:48:00--00:48:03] 你说要让梅塞德斯奔驰更精简
[00:48:03--00:48:05] 更快 更强
[00:48:05--00:48:07] 为什么把精简这个词放在第一位
[00:48:07--00:48:09] 我也可以要求更快
[00:48:09--00:48:12] 更快 更简单 更具创业精神
[00:48:12--00:48:15] 我认为这三点都非常重要
[00:48:15--00:48:18] 尤其是如果你是一家大公司
[00:48:18--00:48:21] 有很多层级结构之类的东西要考虑
[00:48:21--00:48:25] 那你该如何在各个层面解锁创业精神
[00:48:25--00:48:26] 不仅在管理层
[00:48:26--00:48:28] 而且在各个层面
[00:48:28--00:48:31] 所以我认为更快 更精简 更高效
[00:48:31--00:48:33] 这些都要做到
[00:48:33--00:48:36] 但是你们现在正在启动一项多车型战略
[00:48:36--00:48:37] 这是否明智
[00:48:37--00:48:41] 这似乎与精简的想法相悖
[00:48:41--00:48:43] 在产品方面
[00:48:43--00:48:46] 未来三年内我们要保持领先地位
[00:48:46--00:48:50] 推出比以往任何时候都多的车型
[00:48:50--00:48:52] 此外我们希望有所拓展
[00:48:52--00:48:54] 以确保我们在市场上的地位
[00:48:54--00:48:55] 或者去确保我们的地位
[00:48:55--00:48:57] 或者去建立新的市场地位
[00:48:57--00:48:59] 这就好像一支足球队
[00:48:59--00:49:00] 在一场比赛中
[00:49:00--00:49:03] 你必须要有一个试图进球的前锋
[00:49:03--00:49:04] 这是必须要有的
[00:49:04--00:49:06] 你不能只有防守
[00:49:06--00:49:07] 如果你只有守门员
[00:49:07--00:49:09] 你就要撤退了
[00:49:09--00:49:11] 你不能只靠防守球员赢得比赛
[00:49:11--00:49:13] 你也必须有前锋
[00:49:13--00:49:15] 从效率的角度来看
[00:49:15--00:49:16] 更高的速度
[00:49:16--00:49:19] 更好的效率是必须的
[00:49:19--00:49:21] 但同时也要控制成本
[00:49:21--00:49:23] 你是否感受到过
[00:49:23--00:49:26] 这位139岁的巨人转型缓慢呢
[00:49:26--00:49:34] 一家拥有16到17万员工的公司
[00:49:34--00:49:37] 和初创公司时的150到200人相比
[00:49:37--00:49:39] 显然不同
[00:49:39--00:49:41] 正如我之前提到的
[00:49:41--00:49:44] 你也必须重新琢磨架构和流程
[00:49:44--00:49:47] 即使你有一台运行良好的机器
[00:49:47--00:49:51] 即使它已经顺利运转了几年甚至几十年
[00:49:51--00:49:52] 在转型过程中
[00:49:52--00:49:54] 你的机器足够快吗
[00:49:54--00:49:56] 它足够敏捷和高效吗
[00:49:56--00:49:58] 你也必须在这方面努力
[00:49:58--00:50:00] 我很好奇
[00:50:00--00:50:01] 作为汽车发明者
[00:50:01--00:50:03] 最古老的汽车企业
[00:50:03--00:50:05] 这种转型一定是非常痛苦的吧
[00:50:05--00:50:08] 很令人兴奋
[00:50:08--00:50:11] 我在汽车行业工作了32年
[00:50:11--00:50:14] 整个职业生涯都在奔驰度过
[00:50:14--00:50:18] 我从来没有像现在这么激动的时刻
[00:50:18--00:50:21] 虽然也有不确定性
[00:50:21--00:50:23] 所以你必须有强大的神经
[00:50:23--00:50:25] 如果你只是想要稳定
[00:50:25--00:50:26] 像我现在这样
[00:50:26--00:50:27] 想预见五年后会发生什么
[00:50:27--00:50:29] 那就不要来汽车行业
[00:50:29--00:50:33] 你必须应对这种不确定性
[00:50:33--00:50:35] 你要有一定的灵活性
[00:50:35--00:50:37] 现在的技术发展速度
[00:50:37--00:50:39] 比十年或者十五年前
[00:50:39--00:50:40] 我们经历的要快得多
[00:50:40--00:50:44] 因此灵活性也是全部要素中的一部分
[00:50:44--00:50:46] 我一直认为
[00:50:46--00:50:48] 汽车行业是世界上最令人兴奋的行业
[00:50:48--00:50:51] 汽车这种高科技产品
[00:50:51--00:50:53] 它的存在如此重要
[00:50:53--00:50:54] 它给了人们自由的空间
[00:50:54--00:50:56] 你可以随时随地去用它
[00:50:56--00:50:58] 去任何你想去的地方
[00:50:58--00:51:00] 自从我们成立以来
[00:51:00--00:51:03] 从未有过比现在更激动人心的时刻
[00:51:03--00:51:06] 你个人如何定义成功的转型呢
[00:51:06--00:51:08] 是市场份额 利润率
[00:51:08--00:51:10] 还是技术的领先程度
[00:51:10--00:51:12] 在哪个指标上失败了
[00:51:12--00:51:14] 意味着你们输了
[00:51:14--00:51:24] 我的职责是梅塞德斯奔驰品牌的监护人
[00:51:24--00:51:26] 作为公司的监护人
[00:51:26--00:51:27] 在这一段时间
[00:51:27--00:51:28] 我一直在努力
[00:51:28--00:51:29] 在这一段时间
[00:51:29--00:51:30] 我一直在努力
[00:51:30--00:51:31] 在这一段时间
[00:51:31--00:51:32] 我的工作是确保
[00:51:32--00:51:33] 当我将品牌移交给下一任时
[00:51:33--00:51:34] 我的工作是确保
[00:51:34--00:51:35] 当我将品牌移交给下一任时
[00:51:35--00:51:36] 公司状态比我接管时更好
[00:51:36--00:51:37] 公司状态比我接管时更好
[00:51:37--00:51:38] 不仅是技术层面
[00:51:38--00:51:39] 不仅是技术层面
[00:51:39--00:51:40] 还有品牌的价值
[00:51:40--00:51:41] 还有品牌的价值
[00:51:41--00:51:42] 客户对产品的看法
[00:51:42--00:51:43] 客户对产品的看法
[00:51:43--00:51:44] 还有财务上的成功
[00:51:44--00:51:45] 还有财务上的成功
[00:51:45--00:51:46] 你必须有财务实力
[00:51:46--00:51:47] 你必须有财务实力
[00:51:47--00:51:48] 才能有创新实力
[00:51:48--00:51:49] 才能有创新实力
[00:51:49--00:51:50] 才能有创新实力
[00:51:50--00:51:51] 如果你只关注技术方面
[00:51:51--00:51:52] 如果你只关注技术方面
[00:51:52--00:51:53] 但不去赚钱
[00:51:53--00:51:54] 但不去赚钱
[00:51:54--00:51:55] 这是不可持续的
[00:51:55--00:51:56] 也许这就是戴姆勒先生
[00:51:56--00:51:57] 也许这就是戴姆勒先生
[00:51:57--00:51:58] 在公司创始阶段所做的
[00:51:58--00:51:59] 在公司创始阶段所做的
[00:51:59--00:52:00] 将技术
[00:52:00--00:52:01] 品牌
[00:52:01--00:52:02] 体验
[00:52:02--00:52:03] 客户体验
[00:52:03--00:52:04] 以及奔驰的每一个触点
[00:52:04--00:52:05] 以及奔驰的每一个触点
[00:52:05--00:52:06] 提升到一个新的水平
[00:52:06--00:52:07] 提升到一个新的水平
[00:52:07--00:52:08] 提升到一个新的水平
[00:52:08--00:52:09] 提升到一个新的水平
[00:52:09--00:52:10] 让奔驰
[00:52:10--00:52:11] 在世界各地的客户和粉丝
[00:52:11--00:52:12] 在世界各地的客户和粉丝
[00:52:12--00:52:13] 看到我们如何提升体验
[00:52:13--00:52:14] 看到我们如何提升体验
[00:52:14--00:52:15] 提升自己的品牌产品力
[00:52:15--00:52:16] 提升自己的品牌产品力
[00:52:16--00:52:17] 同时拥有稳健的财务表现
[00:52:17--00:52:18] 同时拥有稳健的财务表现
[00:52:18--00:52:19] 同时拥有稳健的财务表现
[00:52:19--00:52:20] 这是我们衡量自己
[00:52:20--00:52:21] 这是我们衡量自己
[00:52:21--00:52:22] 成功与否的方式
[00:52:22--00:52:23] 成功与否的方式
[00:52:23--00:52:24] 成功与否的方式
[00:52:24--00:52:25] 你从竞争对手身上
[00:52:25--00:52:26] 你从竞争对手身上
[00:52:37--00:52:51] 但对我来说,无论我是在欧洲、中国还是美国,我会时不时地开一下竞争对手的车型,看看其他人在做什么,弄清楚他们是如何解决问题的,他们在想什么等等。
[00:52:53--00:53:03] 这种专业方面的求知语会让我们观察其他人在做什么,但你不能用相互对比来取代原创性思维,你必须有独到的见解。
[00:53:03--00:53:14] 你要设想一下,下一款奔驰是什么样子的,三年或四年后,我们的客户会喜欢什么样的车型,这也是我职务中的一部分。
[00:53:19--00:53:31] 如果你在汽车行业,你必须拥有的是保持对下一步的好奇心,不要过于执着,不要向后看,永远向前看,这是一个终身学习的行业。
[00:53:32--00:53:33] 能否评价一下?
[00:53:33--00:53:48] 我认识他们中的许多人,当一个行业经历转型,甚至颠覆时,这并不罕见,几十年来,我们无数次地看到了这一点。
[00:53:51--00:53:55] 通常,新的竞争对手会说,我可以,我想重新定义行业。
[00:53:57--00:53:59] 我们现在看到的是转型现象。
[00:54:01--00:54:03] 如果你是像奔驰这一类的,你会觉得,我可以,我想重新定义行业。
[00:54:03--00:54:09] 像奔驰这样,有着悠久传统、历史和血统的企业,你肯定是有前期优势的。
[00:54:09--00:54:18] 但是,在现代的环境下,你需要从这个心态中脱离出来,回到奔驰最开始创立时,那种开拓进取的精神。
[00:54:18--00:54:31] 在竞争激烈的环境中,不仅要注意现有的老牌竞争对手,也许其中一些是你认识一百多年的竞争对手,他们不容小觑,但是对新的对手也不能掉以轻心。
[00:54:31--00:54:43] 所以,如果你是一家老牌公司,你有一个特定身份的品牌,这种情感和智慧、心灵和思想是奔驰的完美融合。
[00:54:44--00:54:54] 你必须知道你是谁,你不能同时追赶五个不同的对手,你可以看看其他人在基础上在做什么,但你必须知道自己的身份。
[00:54:55--00:55:01] 你需要将这种身份和你的品牌承诺带入未来,这是我们应该关注的焦点。
[00:55:01--00:55:14] 当你做出每一个重大决策时,有没有觉得奔驰的创始人卡尔本茨先生在远处关注着你,这会让你有很大的压力吗?
[00:55:14--00:55:26] 我认为作为一家管理公司,有我们的历史和品牌,你必须要保持冷静的头脑。
[00:55:26--00:55:31] 这是一个特定的时期,市场上发生很多动态变化。
[00:55:31--00:55:42] 你必须做好准备,适应潮流,不要失去理智,要保持冷静和专注,保持求知欲,下决心,实现目标。
[00:55:43--00:55:47] 如果能问卡尔本茨先生一个问题,你最想问什么?
[00:55:47--00:55:52] 你觉得这款全新CLA如何?我很好奇他会怎么说。
[00:55:53--00:55:55] 好了,现在来到我的最后一个问题。
[00:55:55--00:55:59] 梅夏德斯奔驰是第一家发明了汽油动力汽车的公司。
[00:56:00--00:56:01] 那在你看来
[00:56:01--00:56:03] 汽油车会完全消失吗
[00:56:03--00:56:05] 如果那一天到来
[00:56:05--00:56:08] 梅赛德斯奔驰将会变成什么样
[00:56:08--00:56:10] 梅赛德斯奔驰将会是谁
[00:56:10--00:56:18] 我们的确正在走向零排放
[00:56:18--00:56:19] 奔驰成立以来
[00:56:19--00:56:21] 技术总是在变化
[00:56:21--00:56:23] 但奔驰一直都存在
[00:56:23--00:56:27] 所以你永远不会捆绑在任何一种特定的技术
[00:56:27--00:56:28] 话虽如此
[00:56:28--00:56:30] 我认为引擎
[00:56:30--00:56:32] 尤其是高科技的电动化引擎
[00:56:32--00:56:34] 将在市场上继续存在
[00:56:34--00:56:37] 这对奔驰车迷来说是个好消息
[00:56:37--00:56:39] 不论纯电还是发动机
[00:56:39--00:56:40] 在可预见的未来
[00:56:40--00:56:42] 这些都可以拥有
[00:56:42--00:56:48] 好了
[00:56:48--00:56:49] 这期节目就是这样
[00:56:49--00:56:51] 如果你喜欢我的节目
[00:56:51--00:56:53] 欢迎前往小宇宙
[00:56:53--00:56:54] 腾讯新闻
[00:56:54--00:56:55] 苹果podcast
[00:56:55--00:56:56] 喜马拉雅
[00:56:56--00:56:57] QQ音乐
[00:56:57--00:56:59] 订阅张小军商业访谈录
[00:56:59--00:57:01] 如果你有其他想邀请的嘉宾
[00:57:01--00:57:02] 想听的内容
[00:57:02--00:57:05] 或者你有任何想探讨的话题
[00:57:05--00:57:08] 都欢迎各位听众朋友们在评论区里留言
[00:57:08--00:57:10] 那我们下期再见
[00:57:10--00:57:10] 拜拜
