[00:00:04--00:00:06] 我觉得给通用Editor换个描述方式
[01:20:50--01:20:51] 然后要变成真正的
[01:20:51--01:20:53] 我们有这样的课程能力
[01:20:53--01:20:55] 我们有这样的这个一线力量
[01:20:55--01:20:56] 我们有这样的训练的能力
[01:20:56--01:20:57] 然后并且去作战
[01:20:57--01:20:58] 我觉得是一样的
[01:20:58--01:20:59] 一模一样的一个方式
[01:20:59--01:21:02] 什么是一个好的司机大模型的北京指标
[01:21:02--01:21:04] 我觉得还是把司机大模型和agent放在一起
[01:21:04--01:21:07] 它是一个真正用户能够使用的一个产品
[01:21:07--01:21:08] 如果是一个
[01:21:08--01:21:09] 我觉得如果是一个司机大模型好的
[01:21:09--01:21:10] 我觉得跟人的判断是一样
[01:21:10--01:21:12] 就我判断一个司机
[01:21:12--01:21:14] 我们家雇佣了一个司机
[01:21:14--01:21:16] 第一是他开车水平好不好
[01:21:16--01:21:18] 其实他模型能力强不强
[01:21:18--01:21:21] 第二个还是说他是否职业
[01:21:21--01:21:23] 然后我觉得那他是否职业
[01:21:23--01:21:24] 很重要的一点
[01:21:24--01:21:25] 其实就是我们的
[01:21:25--01:21:27] 一对齐这方面的工作
[01:21:27--01:21:28] 包括强化训练
[01:21:28--01:21:29] 然后是否做的足够的好
[01:21:29--01:21:31] 我觉得第三个是
[01:21:31--01:21:33] 然后他跟我之间的信任的关系
[01:21:33--01:21:36] 我是跟他说什么他都听不明白
[01:21:36--01:21:37] 还是我说上半句
[01:21:37--01:21:38] 他就知道下半句
[01:21:38--01:21:39] 甚至我很多东西不说
[01:21:39--01:21:41] 他已经对我的记忆里边
[01:21:41--01:21:43] 都可以独自去完成了
[01:21:43--01:21:46] 其实我们如何去通过agent和记忆
[01:21:46--01:21:48] 来构建一个更好的信任的一个关系
[01:21:48--01:21:50] 和理解的一个关系
[01:21:50--01:21:51] 如果我什么都不说
[01:21:51--01:21:53] 他都知道我要干什么了
[01:21:53--01:21:54] 这个司机要同时又满足了
[01:21:54--01:21:55] 他才能够
[01:21:55--01:21:56] 开车不错
[01:21:56--01:21:57] 然后又很职业
[01:21:57--01:21:58] 他又对我特别了解
[01:21:58--01:21:59] 特别理解
[01:21:59--01:22:01] 我就会一直雇佣他
[01:22:01--01:22:05] 然后他每年定期给他涨工资
[01:22:05--01:22:07] 我觉得最后我们对司机的agent
[01:22:07--01:22:09] 对整个的这一个司机弹幕型
[01:22:09--01:22:11] 司机agent的判断也是一样的
[01:22:11--01:22:12] 我觉得以后所有的AI的
[01:22:12--01:22:13] 或者agent的判断
[01:22:13--01:22:14] 都应该是这样的
[01:22:14--01:22:15] 他的专业能力
[01:22:15--01:22:17] 他的职业能力
[01:22:17--01:22:19] 然后以及他给你构建信任的能力
[01:22:19--01:22:22] 你觉得agent应该怎么定价呢
[01:22:22--01:22:24] 我们雇佣人类费用的
[01:22:24--01:22:25] 几分之一吧
[01:22:25--01:22:27] 这几分之一最后还是看
[01:22:27--01:22:29] 把成本都算出来以后
[01:22:29--01:22:31] 我觉得比如说我一个月
[01:22:31--01:22:32] 我雇佣司机一万块钱
[01:22:32--01:22:35] 我是否愿意2000到3000
[01:22:35--01:22:36] 雇佣一个司机
[01:22:36--01:22:37] 那可能你对车而言
[01:22:37--01:22:39] 你可能也不需要付保险费了
[01:22:39--01:22:40] 保险费也包在这里边了
[01:22:40--01:22:42] 财产险的费用也包含在里边了
[01:22:42--01:22:44] 也可能一定的这种
[01:22:44--01:22:46] 因为他可能会自动去充电
[01:22:46--01:22:48] 可能一定的充电的金额
[01:22:48--01:22:50] 对应一定里程的充电金额
[01:22:50--01:22:51] 也放在里面了
[01:22:51--01:22:53] 所以可能到最后算下来
[01:22:53--01:22:54] 可能一定是个肯定的
[01:22:54--01:22:55] 更划算的一个事情
[01:22:55--01:22:57] 你之前对内说过一句话
[01:22:57--01:22:59] 说理想的制价原创性超过了增成
[01:22:59--01:23:00] 这句话是不是太自信了
[01:23:00--01:23:02] 我自己觉得
[01:23:02--01:23:04] 就我们在这方面的
[01:23:04--01:23:06] 然后研究工作真的做的很深
[01:23:06--01:23:08] 所以你看到我们的各种的论文
[01:23:08--01:23:10] 而且我们为了
[01:23:10--01:23:12] 然后我们为了做好这个智能驾驶
[01:23:12--01:23:13] 我们还做了操作系统
[01:23:13--01:23:15] 然后我们为了做智能驾驶
[01:23:15--01:23:17] 我们构建了完整的训练体系
[01:23:17--01:23:19] 我们为了然后做智能驾驶
[01:23:19--01:23:21] 甚至我们自己去直接去改芯片的
[01:23:21--01:23:23] 然后这个
[01:23:23--01:23:24] 第3个
[01:23:24--01:23:25] 就是这个
[01:23:25--01:23:26] 就是这个
[01:23:26--01:23:27] 就是这一层的软件
[01:23:27--01:23:28] 对吧
[01:23:28--01:23:29] 然后
[01:23:29--01:23:30] 我觉得我们做了很多
[01:23:30--01:23:31] 这方面的这些工作
[01:23:31--01:23:32] 对
[01:23:32--01:23:33] 然后
[01:23:33--01:23:34] 那这方面工作肯定
[01:23:34--01:23:35] 比增成做的工作量更多
[01:23:35--01:23:36] 对
[01:23:36--01:23:37] 然后我觉得还有一个
[01:23:37--01:23:38] 比较好的一个评价方式
[01:23:38--01:23:39] 就是
[01:23:39--01:23:40] 我们历史上
[01:23:40--01:23:41] 从来没有遇到过
[01:23:41--01:23:42] 然后任何一个周期
[01:23:42--01:23:43] 比如2024年
[01:23:43--01:23:44] 和今年年初
[01:23:44--01:23:45] 对
[01:23:45--01:23:46] 然后
[01:23:46--01:23:47] 我觉得我们每一个
[01:23:47--01:23:48] 自动驾驶团队的核心人员
[01:23:48--01:23:49] 可能基本都
[01:23:49--01:23:51] 会接到20个以上的猎头电话
[01:23:51--01:23:53] VLA架构会怎么改变L3和L4的进程
[01:23:53--01:23:54] 回到刚才那个方面讲的
[01:23:54--01:23:56] 我觉得一个是模型的能力
[01:23:56--01:23:58] 比如今天其实
[01:23:58--01:23:59] 在车上
[01:23:59--01:24:00] 然后放一个
[01:24:00--01:24:02] 3.2B的MOE
[01:24:02--01:24:03] 对吧
[01:24:03--01:24:04] 然后如果把Action
[01:24:04--01:24:05] 然后都算下来
[01:24:05--01:24:06] 大概是个4B的
[01:24:06--01:24:07] 然后一个模型
[01:24:07--01:24:08] 嗯
[01:24:08--01:24:09] 其实它对于
[01:24:09--01:24:10] 对应的能力而言
[01:24:10--01:24:12] 可能还是会有一个上限
[01:24:12--01:24:13] 因为今天算力就这么多了
[01:24:13--01:24:14] 对吧
[01:24:14--01:24:15] 然后
[01:24:15--01:24:16] 虽然
[01:24:16--01:24:17] 两颗AuronX
[01:24:17--01:24:18] 或者一个SolarU
[01:24:18--01:24:19] 有64G的显存
[01:24:19--01:24:20] 然后能够
[01:24:20--01:24:22] 最大跑一个30B的一个模型
[01:24:22--01:24:23] 对吧
[01:24:23--01:24:25] 但是它的帧数是达不到的
[01:24:25--01:24:27] 然后如果你想要达到其实
[01:24:27--01:24:28] 然后交通
[01:24:28--01:24:29] 就是一个机器人
[01:24:29--01:24:31] 或者讲一个自动驾驶所需要的帧数
[01:24:31--01:24:32] 然后你得把模型规模
[01:24:32--01:24:33] 其实然后往下压
[01:24:33--01:24:35] 那这时候其实
[01:24:35--01:24:37] 在端上的模型规模就受限
[01:24:37--01:24:38] 那如果有一天
[01:24:38--01:24:40] 我们可以把一个32B的
[01:24:40--01:24:42] 然后模型直接放在端侧
[01:24:42--01:24:44] 那可能L4就实现了
[01:24:44--01:24:46] 可能云端的那个模型也会扩大到
[01:24:46--01:24:47] 320B
[01:24:47--01:24:48] 它是个3000亿的一个
[01:24:48--01:24:50] 然后VL的模型
[01:24:50--01:24:52] 所以我觉得模型的规模
[01:24:52--01:24:53] 基本上会
[01:24:53--01:24:54] 然后云端的模型规模
[01:24:54--01:24:55] 和这个
[01:24:55--01:24:56] 和端侧的
[01:24:56--01:24:58] 然后这个模型规模
[01:24:58--01:24:59] 然后基本上会限制的
[01:24:59--01:25:02] 然后L3和L4的能力的上限
[01:25:02--01:25:04] 今年能看到L4吗
[01:25:04--01:25:05] 或者是明年
[01:25:05--01:25:07] 我觉得这代算力不行
[01:25:07--01:25:10] 这代算力基本上就是L3的水平
[01:25:10--01:25:11] 那今年能看到L3
[01:25:11--01:25:13] 大概也没有一些时间点
[01:25:13--01:25:16] 我觉得还跟法规一些东西相关
[01:25:16--01:25:19] 但是我觉得这个能力达到的话
[01:25:19--01:25:20] 我认为
[01:25:20--01:25:22] 然后今年的三季度
[01:25:22--01:25:23] 最快三季度
[01:25:23--01:25:24] 最晚四季度
[01:25:24--01:25:25] 基本上就能看到
[01:25:25--01:25:27] 然后真正的L3的
[01:25:27--01:25:29] 然后这样的能力性的产品了
[01:25:29--01:25:30] 但是可能法规啊
[01:25:30--01:25:32] 然后包括后边很多东西
[01:25:32--01:25:33] 还会有一些
[01:25:33--01:25:34] 其实需要去
[01:25:34--01:25:36] 问题需要去解决
[01:25:36--01:25:38] 刚才一直调用的是
[01:25:38--01:25:40] CEO大模型的技术专家
[01:25:40--01:25:42] 接下来调用一下战略专家
[01:25:42--01:25:43] 前几天你们不是刚开完了
[01:25:43--01:25:45] 2025的燕西湖战略会吗
[01:25:45--01:25:47] 达成了什么新共识
[01:25:47--01:25:49] 我觉得从战略上的一个
[01:25:49--01:25:52] 核心的共识还是继续延续
[01:25:52--01:25:53] 然后去年的
[01:25:53--01:25:55] 秋季战略会做的一些判断
[01:25:55--01:25:57] 但是我们延伸出来一些
[01:25:57--01:25:58] 关键的想象
[01:25:58--01:26:00] 一些如果往后看三年
[01:26:00--01:26:01] 往后看六年
[01:26:01--01:26:03] 然后大家可以去思考和探索的
[01:26:03--01:26:04] 一些关键的点
[01:26:04--01:26:06] 还是我讲的说
[01:26:06--01:26:09] 其实我们如果来看战略的话
[01:26:09--01:26:11] 然后中间的圈其实是规模
[01:26:11--01:26:13] 这个圈外边有三个变量
[01:26:13--01:26:14] 是当规模发生变化以后
[01:26:14--01:26:15] 这三个变量也会发生变化
[01:26:15--01:26:17] 一个其实是用户需求
[01:26:17--01:26:19] 然后一个是技术产品
[01:26:19--01:26:22] 然后我也一个是组织能力
[01:26:22--01:26:25] 那我觉得这是然后这里边的一个核心
[01:26:25--01:26:27] 所以呢我们今天其实
[01:26:27--01:26:29] 今年会有一千大几亿的收入
[01:26:29--01:26:31] 去年有1450亿的收入
[01:26:31--01:26:33] 那我们如果往后走
[01:26:33--01:26:35] 这些对于规模的限制会在哪里
[01:26:35--01:26:37] 然后以及我们想获得贵大规模
[01:26:37--01:26:39] 或者哪些东西是限制
[01:26:39--01:26:41] 比如从用户的需求角度来看
[01:26:41--01:26:43] 我们会面临什么样的一个限制
[01:26:43--01:26:45] 比如我们今天主力收益都是SUV
[01:26:45--01:26:47] 那我们可不可以
[01:26:47--01:26:49] 然后靠买SUV
[01:26:49--01:26:51] 然后卖到对然后3000亿
[01:26:51--01:26:52] 5000亿
[01:26:52--01:26:54] 或者更高的收入
[01:26:54--01:26:56] 那这时候就是一个很大的一个挑战
[01:26:56--01:26:58] 那因为像路虎啊这样的
[01:26:58--01:27:00] 其实并没有做到
[01:27:00--01:27:02] 那也包含我们的用户群
[01:27:02--01:27:04] 今天我们是去年是50万辆
[01:27:04--01:27:06] 今年要多一些
[01:27:06--01:27:08] 如果我们要做到100万辆以上
[01:27:08--01:27:10] 我们的用户群的规模就意味着
[01:27:10--01:27:12] 跟BBA是一样大的规模了
[01:27:12--01:27:14] 那意味着我们用户群要快大好多倍
[01:27:14--01:27:16] 那这些用户群的沟通
[01:27:16--01:27:18] 其实也是不一样的
[01:27:18--01:27:20] 那这时候我们就想一个很重要的问题
[01:27:20--01:27:21] 那就会产生两个
[01:27:21--01:27:23] 往更大的规模走
[01:27:23--01:27:25] 我们要去覆盖哪些过去
[01:27:25--01:27:27] 我们没有覆盖的用户群
[01:27:27--01:27:29] 对他们应该怎么去沟通
[01:27:29--01:27:31] 然后另外从产品的角度而言
[01:27:31--01:27:33] 家庭定位是个非常好的定位
[01:27:33--01:27:35] 但如果只做家庭定位的SUV
[01:27:35--01:27:37] 包含面向全球是不是有问题的
[01:27:37--01:27:39] 那所以呢
[01:27:39--01:27:41] 我说了一个我们做了一个
[01:27:41--01:27:43] 分析说我们有必要其实
[01:27:43--01:27:45] 然后在面向全球
[01:27:45--01:27:47] 在面向更大范围群体的时候
[01:27:47--01:27:49] 我们应该去然后做校车
[01:27:49--01:27:50] 对吧
[01:27:50--01:27:52] 我们应该是做好的家庭轿车
[01:27:52--01:27:53] 不是运动轿车
[01:27:53--01:27:54] 对吧
[01:27:54--01:27:55] 然后那另外一方面
[01:27:55--01:27:57] 然后我们作为家庭用户而言
[01:27:57--01:27:58] 我们的空间更有优势
[01:27:58--01:27:59] 对吧
[01:27:59--01:28:00] 那我们其实应该做
[01:28:00--01:28:03] 然后再丰富一些的MPV的产品
[01:28:03--01:28:05] 然后这种家庭轿车的
[01:28:05--01:28:07] 大空间的家庭轿车的产品
[01:28:07--01:28:08] 对然后并让这些产品
[01:28:08--01:28:10] 然后面向更广泛的用户群
[01:28:10--01:28:11] 以及面向全球
[01:28:11--01:28:13] 但也不是出很多的车
[01:28:13--01:28:15] 能不能把这些整个的这些车的规模
[01:28:15--01:28:18] 还是有效的一些SKU进行一个有效的控制
[01:28:18--01:28:19] 对吧
[01:28:19--01:28:21] 这些车的机构可能会发生的变化
[01:28:21--01:28:22] 嗯
[01:28:22--01:28:24] 那我另外从技术角度发生的变化
[01:28:24--01:28:25] 那可能我们可以看
[01:28:25--01:28:27] 三年到六年的然后一个距离
[01:28:27--01:28:28] 对吧
[01:28:28--01:28:30] 那当车实现了全自动驾驶以后
[01:28:30--01:28:32] 其实车会是人工智能时代
[01:28:32--01:28:35] 一个营业收入最高的一个终端
[01:28:35--01:28:36] 对吧
[01:28:36--01:28:38] 然后它可能能做到其实
[01:28:38--01:28:40] 然后千亿美金的这样的一个收入
[01:28:40--01:28:41] 一家企业
[01:28:41--01:28:43] 是一个营业收入很高的一个终端
[01:28:43--01:28:44] 可能这个车
[01:28:44--01:28:46] 然后做到这个千亿的这个收入的话
[01:28:46--01:28:48] 你可能会超过中国所有的手机厂商的收入
[01:28:48--01:28:49] 嗯
[01:28:49--01:28:50] 做到千亿美金的话
[01:28:50--01:28:51] 那这时候
[01:28:51--01:28:52] 然后那我在想
[01:28:52--01:28:54] 这为什么它是个人工智能时代的终端
[01:28:54--01:28:55] 它具备着哪些特点
[01:28:55--01:28:56] 嗯
[01:28:56--01:28:57] 比如说
[01:28:57--01:28:58] 我说人工智能时代的一个终端
[01:28:58--01:29:01] 跟移动互联网跟PC时代的终端
[01:29:01--01:29:02] 然后差异什么呢
[01:29:02--01:29:03] 我说它有四个特点
[01:29:03--01:29:04] 然后第一个特点是
[01:29:04--01:29:08] 它要有360度对物理世界感知的能力
[01:29:08--01:29:09] 然后我觉得第二个
[01:29:09--01:29:13] 然后它要有这种认知决策的能力
[01:29:13--01:29:14] 我觉得第三个
[01:29:14--01:29:16] 它必须有Action的能力
[01:29:16--01:29:18] 它可以去去操作一个终端上的软件
[01:29:18--01:29:19] 也可以直接去
[01:29:19--01:29:20] 去操作一个机器人
[01:29:20--01:29:21] 嗯
[01:29:21--01:29:22] 是吧
[01:29:22--01:29:23] 我觉得第四个
[01:29:23--01:29:25] 然后它要有自己的反思反馈的一个能力
[01:29:25--01:29:26] 对
[01:29:26--01:29:28] 然后像人是一样的
[01:29:28--01:29:29] 我觉得具备这四个的
[01:29:29--01:29:31] 可能我觉得就是AGI时代的终端
[01:29:31--01:29:32] 对吧
[01:29:32--01:29:34] 汽车从一个智能终端
[01:29:34--01:29:36] 变成了一个人工智能终端
[01:29:36--01:29:37] 对
[01:29:37--01:29:38] 然后这是我们要做的事情
[01:29:38--01:29:39] 那我们还要再想一想
[01:29:39--01:29:40] 其实
[01:29:40--01:29:41] 然后在我们的生活范围里
[01:29:41--01:29:42] 在家里
[01:29:42--01:29:43] 在工作中
[01:29:43--01:29:44] 在我们身上
[01:29:44--01:29:45] 是否还会出现
[01:29:45--01:29:47] 然后新的符合刚才我说的四个特点的
[01:29:47--01:29:48] AGI时代的
[01:29:48--01:29:49] 然后终端
[01:29:49--01:29:50] 嗯
[01:29:50--01:29:51] 对
[01:29:51--01:29:52] 那我觉得
[01:29:52--01:29:53] 那那个可能又会形成我们未来的机会
[01:29:53--01:29:55] 因为苹果也并不是只卖Mac
[01:29:55--01:29:56] 苹果发展一定阶段的时候
[01:29:56--01:29:57] 也做了iPod
[01:29:57--01:29:58] 也做了iPhone
[01:29:58--01:29:59] 嗯
[01:29:59--01:30:00] 而且也都非常的成功
[01:30:00--01:30:01] 对吧
[01:30:01--01:30:02] 然后微软也
[01:30:02--01:30:03] 微软也不是只做操控
[01:30:03--01:30:04] 也做了office
[01:30:04--01:30:05] 也做了语音服务
[01:30:05--01:30:06] 嗯
[01:30:06--01:30:07] 小米也做了IOT
[01:30:07--01:30:08] 也做了汽车
[01:30:08--01:30:10] 当你到了那个规模的时候
[01:30:10--01:30:13] 比如当你到了五千亿以上规模的时候
[01:30:13--01:30:14] 你必须得去考虑这样的事情
[01:30:14--01:30:15] 对
[01:30:15--01:30:17] 然后因为你的用户群也变得更大
[01:30:17--01:30:18] 你的用户需求也更完善
[01:30:18--01:30:19] 我们现在
[01:30:19--01:30:22] 我们能不能去满足用户工作生活中
[01:30:22--01:30:23] 那些最主要的场景
[01:30:23--01:30:26] 推出最有竞争力的AGS终端产品
[01:30:26--01:30:27] 嗯
[01:30:27--01:30:28] 我觉得这是技术产品的角度而言
[01:30:28--01:30:31] 可能这是我们要去看六年的事情
[01:30:31--01:30:33] 一直看到2030年会有哪些可能性
[01:30:33--01:30:34] 对吧
[01:30:34--01:30:36] 那我觉得第三个是组织能力方面的话
[01:30:36--01:30:37] 嗯
[01:30:37--01:30:38] 对
[01:30:38--01:30:40] 那我们想做到三千亿收入
[01:30:40--01:30:42] 我们想做到然后七千亿收入
[01:30:42--01:30:43] 对
[01:30:43--01:30:45] 然后这时候你的能力需要哪些提升
[01:30:45--01:30:47] 你小的时候你可以招个人就带来能力了
[01:30:47--01:30:49] 但你变成千亿的规模的时候
[01:30:49--01:30:50] 很多能力
[01:30:50--01:30:53] 然后你怎么去选择其实就变得很关键了
[01:30:53--01:30:54] 嗯
[01:30:54--01:30:55] 比如这个阶段的时候
[01:30:55--01:30:57] 我觉得我们在小的时候没有看明白
[01:30:57--01:30:58] 没有看懂苹果
[01:30:58--01:31:00] 那这个阶段的时候我们可能
[01:31:00--01:31:01] 又去认真研究苹果
[01:31:01--01:31:04] 发现苹果还有很多能力其实值得我们去学习的
[01:31:04--01:31:05] 嗯
[01:31:05--01:31:06] 到今天为止你去看一个苹果
[01:31:06--01:31:07] 当你做到千亿收入
[01:31:07--01:31:09] 你再去看这种万亿收入公司的能力的时候
[01:31:09--01:31:11] 你开始模模糊糊能看懂一些了
[01:31:11--01:31:12] 好
[01:31:12--01:31:13] 但是我小的时候
[01:31:13--01:31:14] 我们很小规模的时候
[01:31:14--01:31:15] 我们看不懂苹果为什么这么做
[01:31:15--01:31:17] 我觉得这个其实
[01:31:17--01:31:19] 还是说最后其实是规模的
[01:31:19--01:31:20] 对
[01:31:20--01:31:22] 因为规模是一个可以确定衡量的
[01:31:22--01:31:23] 嗯
[01:31:23--01:31:24] 的变化也会带来了用户规模
[01:31:24--01:31:25] 和用户需求的变化
[01:31:25--01:31:26] 对
[01:31:26--01:31:27] 技术和产品的变化
[01:31:27--01:31:28] 对
[01:31:28--01:31:30] 也会带来组织和能力的变化
[01:31:30--01:31:33] 学习苹果会带来你们什么改变吗
[01:31:33--01:31:35] 我们我们一直在学习
[01:31:35--01:31:36] 就是在组织和能力上
[01:31:36--01:31:37] 我们一直在学习
[01:31:37--01:31:38] 对
[01:31:38--01:31:39] 因为组织能力上挺难自己发明的
[01:31:39--01:31:40] 嗯
[01:31:40--01:31:41] 除非我们大到一定程度
[01:31:41--01:31:42] 我们没的可学了
[01:31:42--01:31:43] 对吧
[01:31:43--01:31:44] 我们最开始的时候
[01:31:44--01:31:45] 我们先是学的
[01:31:45--01:31:48] 然后我们认真地学习丰田的工作法
[01:31:48--01:31:49] 对
[01:31:49--01:31:51] 然后学习GM的
[01:31:51--01:31:53] 然后整个的研发的流程的方式
[01:31:53--01:31:54] 嗯
[01:31:54--01:31:55] 对
[01:31:55--01:31:57] 然后也学习了Google的OKR
[01:31:57--01:31:58] 嗯
[01:31:58--01:31:59] 把不同的业务团队对齐的方式
[01:31:59--01:32:02] 那这个帮我们其实很好的完成了第一个阶段
[01:32:02--01:32:05] 就是理想ONE的这个研发和交付
[01:32:05--01:32:07] 并且理想ONE也帮我们创造了超过100亿美金的收入
[01:32:07--01:32:08] 嗯
[01:32:08--01:32:09] 卖了20多万辆
[01:32:09--01:32:11] 我们第二个阶段其实很重要的一点
[01:32:11--01:32:13] 其实是我们在想
[01:32:13--01:32:16] 我们从一个做到了百亿的收入
[01:32:16--01:32:18] 怎么往千亿收入去走
[01:32:18--01:32:19] 我们又认真地学习
[01:32:19--01:32:21] 我们这个行业更像什么
[01:32:21--01:32:22] 对吧
[01:32:22--01:32:23] 然后我们当时也研究过苹果
[01:32:23--01:32:24] 我们觉得我们人才密度不够
[01:32:24--01:32:25] 嗯
[01:32:25--01:32:27] 甚至也没看懂苹果
[01:32:27--01:32:28] 所以我们当时说
[01:32:28--01:32:29] 哎
[01:32:29--01:32:30] 有很多的华为的书
[01:32:30--01:32:31] 对吧
[01:32:31--01:32:32] 也有很多的
[01:32:32--01:32:33] 华为非常愿意把这些能力
[01:32:33--01:32:35] 然后写成书向外去分享
[01:32:35--01:32:37] 包括IPD啊
[01:32:37--01:32:40] 然后那我们第二阶段其实又向华为学习了
[01:32:40--01:32:42] 很重要的学习了组织的能力
[01:32:42--01:32:43] 对
[01:32:43--01:32:44] 包括IPD
[01:32:44--01:32:46] 包括整个的财务
[01:32:46--01:32:49] 然后流程和人力资源的这种三支柱
[01:32:49--01:32:50] 对
[01:32:50--01:32:51] 我觉得这个对我们帮助很大
[01:32:51--01:32:52] 所以呢
[01:32:52--01:32:53] 这就配合着我们的
[01:32:53--01:32:55] 然后理想L系列的平台化的研发能力
[01:32:55--01:32:56] 嗯
[01:32:56--01:32:57] 包括后边我们的整个的
[01:32:57--01:32:59] 更大规模的销售团队的管理能力
[01:32:59--01:33:01] 然后销售团队背后还有
[01:33:01--01:33:04] 三支柱的这种赋能和约束
[01:33:04--01:33:05] 对
[01:33:05--01:33:06] 所以呢
[01:33:06--01:33:07] 我们就快速的在新势力里面
[01:33:07--01:33:08] 借着L系列的产品
[01:33:08--01:33:09] 然后做到了超过一千亿的收入
[01:33:09--01:33:11] 那这个过程大概就是
[01:33:11--01:33:12] 然后是我们的第二个阶段
[01:33:12--01:33:14] 那我们做到一千多亿收入了
[01:33:14--01:33:15] 然后我们也知道
[01:33:15--01:33:16] 靠这个能力还能做到
[01:33:16--01:33:17] 两千亿三千亿
[01:33:17--01:33:18] 那三千亿以上怎么办
[01:33:18--01:33:19] 对吧
[01:33:19--01:33:20] 这是几年后的事情
[01:33:20--01:33:22] 这三年之内的事情吧
[01:33:22--01:33:23] 他们是否经历过
[01:33:23--01:33:25] 跟我们相同的阶段
[01:33:25--01:33:26] 对
[01:33:26--01:33:27] 然后我觉得
[01:33:27--01:33:28] 这时候我们就发现
[01:33:28--01:33:30] 苹果又是个更好的一个榜样了
[01:33:30--01:33:31] 为什么是学苹果呢
[01:33:31--01:33:32] 它也不是一家AI公司啊
[01:33:32--01:33:36] 我觉得最主要是学能力
[01:33:36--01:33:37] 对
[01:33:37--01:33:39] 苹果最开始也不是个手机公司啊
[01:33:39--01:33:42] 苹果也不是一个MP3播放器的公司
[01:33:42--01:33:44] 苹果就是个电脑公司啊
[01:33:44--01:33:45] 嗯
[01:33:45--01:33:46] 那其实
[01:33:46--01:33:47] 它能从一个电脑公司
[01:33:47--01:33:48] 变成一个
[01:33:48--01:33:49] 然后
[01:33:49--01:33:50] 有一个音乐播放器
[01:33:50--01:33:52] 到后边其实变成一个手机公司
[01:33:52--01:33:54] 变成一个软件的服务生态的公司
[01:33:54--01:33:56] 它也在不停的在变化啊
[01:33:56--01:33:57] 理想是谁啊
[01:33:57--01:33:58] 嗯
[01:33:58--01:33:59] 如果往后讲的话
[01:33:59--01:34:00] 我们其实
[01:34:00--01:34:01] 会变
[01:34:01--01:34:02] 在人工智能未来
[01:34:02--01:34:03] 越来越清楚
[01:34:03--01:34:04] 然后我觉得
[01:34:04--01:34:05] 如果回答
[01:34:05--01:34:06] 如果
[01:34:06--01:34:07] 看到2030年的话
[01:34:07--01:34:08] 我觉得一个比较好的回答
[01:34:08--01:34:10] 是我们希望能够成为全球领先的
[01:34:10--01:34:11] 人工智能终端企业
[01:34:11--01:34:12] 哦
[01:34:12--01:34:13] 这现在加了终端
[01:34:13--01:34:14] 对
[01:34:14--01:34:15] 这是一个变化
[01:34:15--01:34:16] 相比去年我们聊的时候
[01:34:16--01:34:17] 我觉得
[01:34:17--01:34:18] 它不是个变化
[01:34:18--01:34:19] 是因为过去没做这个选择
[01:34:19--01:34:20] 对吧
[01:34:20--01:34:22] 那但是今天这个选择很清楚了
[01:34:22--01:34:24] 那我也跟团队讲明白说
[01:34:24--01:34:25] 我们
[01:34:25--01:34:26] 因为团队也要知道
[01:34:26--01:34:27] 为什么做这样的选择
[01:34:27--01:34:28] 对吧
[01:34:28--01:34:29] 这是今年的选择吗
[01:34:29--01:34:30] 今年年底
[01:34:30--01:34:31] 今年年初
[01:34:31--01:34:32] 开始来做的选择
[01:34:32--01:34:33] 也是相互碰撞出来
[01:34:33--01:34:34] 我们到底是谁
[01:34:34--01:34:35] 我们要不停的
[01:34:35--01:34:36] 因为
[01:34:36--01:34:37] 我们希望知道我们要成为谁
[01:34:37--01:34:38] 但是更重要要回答我们是谁
[01:34:38--01:34:39] 嗯
[01:34:39--01:34:40] 对吧
[01:34:40--01:34:41] 那我觉得
[01:34:41--01:34:42] 我跟团队讲了说
[01:34:42--01:34:43] 其实1975年
[01:34:43--01:34:44] 出现了Apple II
[01:34:44--01:34:45] 后来又出现了Mac
[01:34:45--01:34:46] 这是苹果这家公司
[01:34:46--01:34:47] 它在做终端
[01:34:47--01:34:48] 对吧
[01:34:48--01:34:49] 它做的是软硬件结合
[01:34:49--01:34:51] 那同一时期也会出现微软
[01:34:51--01:34:52] 嗯
[01:34:52--01:34:53] 它先做了DOS
[01:34:53--01:34:54] 后来又出现了Windows
[01:34:54--01:34:55] 对吧
[01:34:55--01:34:56] 它做的其实是操作系统
[01:34:56--01:34:57] 和一个软件生态
[01:34:57--01:34:58] 对
[01:34:58--01:34:59] 那这是两种完全不同的取向
[01:34:59--01:35:00] 没有什么对错之分
[01:35:00--01:35:02] 但是在那个阶段的时候
[01:35:02--01:35:03] 很显然
[01:35:03--01:35:04] 然后微软赢了
[01:35:04--01:35:05] 嗯
[01:35:05--01:35:06] 苹果遇到了很多的挑战
[01:35:06--01:35:07] 那苹果至少活了下来
[01:35:07--01:35:08] 对
[01:35:08--01:35:09] 因为它是有自己独特的价值的
[01:35:09--01:35:10] 嗯
[01:35:10--01:35:11] 那2007年
[01:35:11--01:35:12] 然后同样
[01:35:12--01:35:13] 然后出现了iPhone
[01:35:13--01:35:14] 这是苹果做的
[01:35:14--01:35:16] 苹果又想到做终端
[01:35:16--01:35:17] 然后只是这次
[01:35:17--01:35:18] 除了软件和硬件结合
[01:35:18--01:35:19] 之外
[01:35:19--01:35:22] 还加了整个的服务的结合
[01:35:22--01:35:23] 除了有软件
[01:35:23--01:35:24] 有硬件
[01:35:24--01:35:25] 还有服务
