[00:00:02--00:00:04] 就在京都在鸭川边上
[01:43:42--01:43:44] 真的想明白的事情
[01:43:44--01:43:44] 就长期去做
[01:43:44--01:43:46] 就比如我们做游戏这件事
[01:43:46--01:43:47] 一开始就想得很明白
[01:43:47--01:43:48] 包括我们对这个事
[01:43:48--01:43:49] 怎么IP构建
[01:43:49--01:43:51] 然后这个游戏该怎么做
[01:43:51--01:43:52] 都想得很明白
[01:43:52--01:43:54] 为什么不只做游戏这个事
[01:43:54--01:43:55] 有两个原因
[01:43:55--01:43:57] 第一个原因是
[01:43:57--01:43:58] 游戏这件事情
[01:43:58--01:43:59] 一定是一个注定
[01:43:59--01:44:02] 长周期慢反馈的东西
[01:44:02--01:44:03] 这也是我们做这个的
[01:44:03--01:44:03] 刚才我说
[01:44:03--01:44:05] 其实一二三
[01:44:05--01:44:06] 第三个理由
[01:44:06--01:44:07] 就是游戏是一个
[01:44:07--01:44:09] 天然和巨头竞争
[01:44:09--01:44:10] 比较舒适的
[01:44:10--01:44:11] 比较舒适的区域
[01:44:11--01:44:12] 比较舒适的区域
[01:44:12--01:44:13] 为什么呢
[01:44:13--01:44:15] 因为游戏本质是个内容产业
[01:44:15--01:44:16] 它不是互联网产业
[01:44:16--01:44:19] 所有的内容型游戏
[01:44:19--01:44:22] 它都注定是长周期的
[01:44:22--01:44:22] 今天你让
[01:44:22--01:44:23] 比如字节这样的
[01:44:23--01:44:25] 这么年轻有活力的团队
[01:44:25--01:44:27] 去做一件快的事情
[01:44:27--01:44:27] 它是不怕的
[01:44:28--01:44:29] 就是你上了一个东西
[01:44:29--01:44:30] OK我也要上一个
[01:44:30--01:44:32] 一个礼拜给你干一个出来
[01:44:32--01:44:33] 但如果这个事说
[01:44:33--01:44:34] 两年后才能上线
[01:44:34--01:44:36] 做两年上线
[01:44:36--01:44:37] 每两年绝对上不了线
[01:44:38--01:44:39] 是很难做的
[01:44:40--01:44:42] 因为所有大厂的管理机制
[01:44:42--01:44:45] 都非常的天然会不利
[01:44:45--01:44:46] 半年要考核绩效
[01:44:46--01:44:47] 因为这是一群人的事
[01:44:47--01:44:49] 底下的人要给中层
[01:44:49--01:44:50] 中层还要给高层
[01:44:50--01:44:51] 一层的又一层
[01:44:51--01:44:53] 你总不能弄得很模糊
[01:44:53--01:44:54] 你这儿模糊
[01:44:54--01:44:55] 那其他的团队怎么办
[01:44:55--01:44:56] 大家都模糊
[01:44:56--01:44:58] 所以清晰这个事
[01:44:58--01:45:00] 对大厂是很重要的
[01:45:00--01:45:01] 清晰必然意味着你要快反馈
[01:45:01--01:45:03] 而内容这个产业
[01:45:03--01:45:05] 它就是蛮反馈
[01:45:05--01:45:07] 就是不清晰
[01:45:07--01:45:07] 你拍个电影
[01:45:07--01:45:09] 两年中间就是很模糊的
[01:45:09--01:45:10] 你也说不清楚
[01:45:10--01:45:10] 到底
[01:45:10--01:45:11] 对还是不对
[01:45:11--01:45:12] 不然不会这么多烂片
[01:45:12--01:45:13] 你就要拍两年
[01:45:13--01:45:14] 你是什么电影
[01:45:14--01:45:14] 两年后见
[01:45:14--01:45:16] 拍好了就OK
[01:45:16--01:45:17] 拍不好就是不OK
[01:45:17--01:45:19] 所以包括你像
[01:45:19--01:45:20] 比如我们刚刚
[01:45:20--01:45:21] 进行了第一次的内测
[01:45:21--01:45:22] 效果非常好
[01:45:22--01:45:23] 我不怕大厂看到
[01:45:23--01:45:25] 你想做一年后见
[01:45:25--01:45:26] 至少一年半后见
[01:45:26--01:45:28] 你可以做一个比我更好的
[01:45:28--01:45:29] 你可以比我做一个更大的
[01:45:29--01:45:29] 更贵的
[01:45:29--01:45:31] 但你不可能压缩这个时间
[01:45:31--01:45:33] 所以这是一个天然
[01:45:33--01:45:35] 在大厂不舒适区域的地方
[01:45:35--01:45:37] 但反过来
[01:45:37--01:45:39] 它就是注定是个慢的东西
[01:45:40--01:45:42] 我们的第一个游戏的内容
[01:45:42--01:45:44] 也一定不能是一个
[01:45:44--01:45:45] 很高投入的东西
[01:45:45--01:45:47] 就不能一口气吃个胖子
[01:45:47--01:45:48] 因为你会发现
[01:45:48--01:45:49] 所有的游戏公司
[01:45:49--01:45:50] 其实基本都是这样的
[01:45:50--01:45:51] 一个路径成长起来
[01:45:51--01:45:52] 你要从零开始的话
[01:45:52--01:45:53] 先做一个小一点的内容
[01:45:53--01:45:55] 去验证你的基本模式
[01:45:55--01:45:56] 打磨你的管线
[01:45:56--01:45:57] 打磨你的团队
[01:45:57--01:45:59] 比如说崩坏一崩坏三
[01:45:59--01:46:00] 直到做出原神
[01:46:00--01:46:02] 包括以你这个赛道的话
[01:46:02--01:46:03] 比如叠纸
[01:46:03--01:46:04] 先从暖暖开始
[01:46:04--01:46:05] 暖暖完了之后
[01:46:05--01:46:06] 是炼狱制作人
[01:46:06--01:46:08] 又是闪耀暖暖
[01:46:08--01:46:09] 再下来又是炼狱生物
[01:46:09--01:46:09] 它也是一样
[01:46:09--01:46:11] 它投入越来越大
[01:46:11--01:46:12] 因为你需要积累
[01:46:12--01:46:13] 你的内容的感知
[01:46:13--01:46:15] 以及核心的团队
[01:46:15--01:46:17] 所以我们在第一个内容上
[01:46:17--01:46:17] 游戏这个事情上
[01:46:17--01:46:19] 一定是一个又长周期
[01:46:19--01:46:20] 慢反馈
[01:46:20--01:46:21] 同时又不会投入
[01:46:21--01:46:22] 特别大资源的东西
[01:46:22--01:46:23] 投入了多少资源
[01:46:23--01:46:25] 具体数字就不好讲了
[01:46:25--01:46:27] 但它一定不会特别的贵
[01:46:27--01:46:29] 因为你需要控制变量
[01:46:29--01:46:31] 这个游戏是跟AI的关系
[01:46:31--01:46:32] 是什么
[01:46:32--01:46:33] 为什么不就直接做一个游戏
[01:46:33--01:46:34] 为什么要做AI游戏
[01:46:34--01:46:36] 这就是一个很有意思的问题
[01:46:36--01:46:37] 首先刚才我对AI陪伴
[01:46:37--01:46:39] 这个事有那几个判断
[01:46:39--01:46:39] 还有另外一个
[01:46:39--01:46:40] 反面
[01:46:40--01:46:41] 就是说OK
[01:46:41--01:46:42] 那AI加到游戏里面
[01:46:42--01:46:43] 就加到女性
[01:46:43--01:46:44] 比如以女这个事情
[01:46:44--01:46:46] 到底能不能带来新机会
[01:46:46--01:46:46] 你也不能说
[01:46:46--01:46:48] 就两个东西强绑到一起
[01:46:48--01:46:49] 这个逻辑是这样的
[01:46:49--01:46:50] 就是以女游戏
[01:46:50--01:46:52] 它背后作为一个内容产业
[01:46:52--01:46:53] 它本质是造IP的过程
[01:46:53--01:46:56] 造以女游戏造IP
[01:46:56--01:46:58] 和造星其实是很像的
[01:46:58--01:46:59] 你比如说今天的
[01:46:59--01:47:00] 炼狱升空的几个男主
[01:47:00--01:47:02] 他就是明星
[01:47:02--01:47:02] 就是idol
[01:47:02--01:47:05] 他的用户的很多体验和心理
[01:47:05--01:47:06] 都是非常近似的
[01:47:06--01:47:08] 而任何一个IP
[01:47:08--01:47:09] 任何一个IP
[01:47:09--01:47:09] 任何一个IP
[01:47:09--01:47:10] 都一定会有四个要素
[01:47:10--01:47:13] 其中第一个要素就是
[01:47:13--01:47:14] 价值观和态度
[01:47:14--01:47:15] 是它的内核
[01:47:15--01:47:16] 任何一个IP都是这样
[01:47:16--01:47:18] 包括你比如说爱马仕
[01:47:18--01:47:19] 他的精神内核
[01:47:19--01:47:20] 老钱
[01:47:20--01:47:21] 贵族
[01:47:21--01:47:22] 他的态度
[01:47:22--01:47:23] 他的价值观
[01:47:23--01:47:24] 另外三个要素就是
[01:47:24--01:47:25] 围绕着这个东西的
[01:47:25--01:47:27] 三个表象
[01:47:27--01:47:28] 第一个表象
[01:47:28--01:47:29] 叫做视觉包装
[01:47:29--01:47:31] 你长啥样
[01:47:31--01:47:32] 你能贴合你这个价值观
[01:47:32--01:47:33] 爱马仕城
[01:47:33--01:47:35] 那些条文格
[01:47:35--01:47:35] 等等这些东西
[01:47:35--01:47:37] 或者你比如一个明星
[01:47:37--01:47:37] 一个王一博
[01:47:37--01:47:39] 很酷的一个长相
[01:47:39--01:47:39] 非常酷
[01:47:39--01:47:41] 墨绿的这样的颜色
[01:47:41--01:47:44] 它一定是要表达他的精神内核的
[01:47:44--01:47:45] 第一视觉包装
[01:47:45--01:47:48] 第二作品表达
[01:47:48--01:47:48] 你一定要有作品
[01:47:48--01:47:50] 这个作品是打双眼号
[01:47:50--01:47:51] 你比如说一个明星艺人
[01:47:51--01:47:53] 需要他的歌
[01:47:53--01:47:55] 或者是他的电视剧
[01:47:55--01:47:55] 或者他的电影
[01:47:55--01:47:57] 爱马仕需要有他的包
[01:47:57--01:47:58] 有他的商品
[01:47:58--01:47:59] 所有的IP
[01:47:59--01:48:01] 第二层叫作品
[01:48:01--01:48:02] 作品表达
[01:48:02--01:48:03] 这个作品表达也一定要
[01:48:03--01:48:05] 紧扣你的价值观
[01:48:05--01:48:06] 第三个东西
[01:48:06--01:48:07] 叫做用户交互
[01:48:07--01:48:09] 你如何跟你的用户进行互动
[01:48:09--01:48:13] 比如说一个主播
[01:48:13--01:48:15] 比如一个直播主播
[01:48:15--01:48:18] 它肯定就是一个互动为核心的IP
[01:48:18--01:48:20] 我每天都要跟用户在直播间
[01:48:20--01:48:21] 去跟你进行互动
[01:48:21--01:48:22] 或者有一些专门的互动形式
[01:48:22--01:48:24] 这是任何一个IP
[01:48:24--01:48:26] 必须有的几个要素
[01:48:26--01:48:27] 而有一个很有意思的一个点
[01:48:27--01:48:30] 是一个IP的视觉包装和内容表达
[01:48:30--01:48:32] 和他的用户交互
[01:48:32--01:48:33] 一定会有一个翘翘版效应
[01:48:33--01:48:35] 一定会有一个翘翘版效应
[01:48:35--01:48:36] 什么意思呢
[01:48:36--01:48:37] 越贵的IP
[01:48:37--01:48:39] 它一定要更低的
[01:48:39--01:48:40] 低品次
[01:48:40--01:48:42] 更高质量的内容表达
[01:48:42--01:48:45] 但要降低自己的用户交互品次
[01:48:45--01:48:45] 为什么
[01:48:45--01:48:47] 这很简单
[01:48:47--01:48:48] 说人的话
[01:48:48--01:48:49] 大明星不能老出来
[01:48:49--01:48:51] 不然人设就崩了
[01:48:51--01:48:52] 大品牌
[01:48:52--01:48:54] 爱马仕永远不会上电商直播的
[01:48:54--01:48:56] 永远不会上电商直播
[01:48:56--01:48:58] 大明星也不会上什么直播间里
[01:48:58--01:48:59] 没事跟你互动的
[01:48:59--01:49:01] 包括很多大明星
[01:49:01--01:49:02] 比如开一个什么小红书
[01:49:02--01:49:03] 你会发现
[01:49:03--01:49:05] 没有当红大明星开小红书的
[01:49:05--01:49:06] 没有持续营业的
[01:49:06--01:49:08] 都是拿小红书去做卖货等等
[01:49:08--01:49:08] 这些东西的
[01:49:09--01:49:11] 今天最顶流的不会这么干的
[01:49:11--01:49:12] 会开官方微博
[01:49:12--01:49:14] 但它是单项输出
[01:49:14--01:49:15] 微博本身是个单项输出
[01:49:15--01:49:16] 它不是个交互
[01:49:16--01:49:19] 他们绝对也不会去开直播的
[01:49:19--01:49:20] 不如我们举个极端的例子
[01:49:20--01:49:23] 比如说给顶流明星复刻一个AI人设
[01:49:23--01:49:25] 让用户能跟他聊天
[01:49:25--01:49:26] 这个事情很简单
[01:49:26--01:49:28] 但这个事注定一定不成立
[01:49:28--01:49:29] 一定不成立
[01:49:29--01:49:30] 因为你一个真的顶流的明星
[01:49:30--01:49:31] 干了这个事情
[01:49:31--01:49:34] 只会破坏你的整个用户交互体验
[01:49:34--01:49:36] 你一定要把每次亮相
[01:49:36--01:49:38] 你的每次亮相都要很慎重
[01:49:38--01:49:39] 都要足够牛
[01:49:39--01:49:41] 才能保证你是一个顶级的IP
[01:49:41--01:49:43] 是一个贵的豪华的IP
[01:49:43--01:49:45] 而另外也有一部分IP
[01:49:45--01:49:47] 天然是以互动性为优先
[01:49:47--01:49:49] 这就是为什么会有直播间主播
[01:49:49--01:49:52] 为什么会有AKB48
[01:49:52--01:49:54] 这是最典型的
[01:49:54--01:49:54] 就明明有大明星
[01:49:54--01:49:56] 但为什么还会有AKB48
[01:49:56--01:49:58] 这样的一种形式的明星出现
[01:49:58--01:50:01] 它天然就是以互动为生的
[01:50:01--01:50:02] 今天的疑女游戏
[01:50:02--01:50:05] 全部都是造大明星的东西
[01:50:05--01:50:07] 全部都是造大明星的东西
[01:50:07--01:50:08] 它是单项给你输出内容
[01:50:08--01:50:09] 内容是一个
[01:50:09--01:50:11] 用的量也不会很大
[01:50:11--01:50:12] 但是确实非常昂贵
[01:50:12--01:50:13] 越做越贵
[01:50:13--01:50:14] 在这条路上
[01:50:14--01:50:15] 你是一定卷不赢
[01:50:15--01:50:17] 今天最头部的公司
[01:50:17--01:50:19] 它就是做最贵的就好了
[01:50:19--01:50:21] 我做一个IP十个亿
[01:50:21--01:50:22] 你有十个亿吗
[01:50:22--01:50:23] 这个游戏很简单
[01:50:23--01:50:25] AI带来的一个变数就是
[01:50:25--01:50:28] 你可以创造以互动性为优先的IP
[01:50:28--01:50:30] 让用户看得见摸得着
[01:50:30--01:50:31] 能每天够得到它
[01:50:31--01:50:32] 那么这种IP呢
[01:50:32--01:50:35] 最终一定要有更多的内容表达
[01:50:35--01:50:37] 更多的用户接触
[01:50:37--01:50:38] 包括它的定位
[01:50:38--01:50:40] 一定是不可能是高高在上的
[01:50:40--01:50:41] 甚至包括你说
[01:50:41--01:50:44] 一个淫女游戏里的人物的设定
[01:50:44--01:50:46] 我知道你估计你不玩淫女游戏这种东西
[01:50:46--01:50:47] 这一般比较常见的
[01:50:47--01:50:48] 比如说巴总
[01:50:48--01:50:50] 这个酷哥等等这些东西
[01:50:50--01:50:52] 你甚至都大概率上
[01:50:52--01:50:54] 不能把它做成一个高高在上的定位
[01:50:54--01:50:55] 你一定是个服务型
[01:50:55--01:50:57] 所以我觉得AI带入到
[01:50:57--01:51:00] 淫女游戏游戏的行业里来
[01:51:00--01:51:00] 它是可以
[01:51:00--01:51:02] 它可以做一件
[01:51:02--01:51:03] 今天的比如说
[01:51:03--01:51:04] OK很多人会说
[01:51:04--01:51:06] 淫女游戏自己加个这个功能不就得了吗
[01:51:06--01:51:08] 它加个聊天没多难
[01:51:08--01:51:08] 不可能
[01:51:08--01:51:09] 为什么
[01:51:09--01:51:11] 因为很
[01:51:11--01:51:12] 他们也在想怎么做AI的
[01:51:12--01:51:12] 对
[01:51:12--01:51:13] 他们再怎么想
[01:51:13--01:51:15] 他们绝对不会在自己的游戏里
[01:51:15--01:51:17] 把这些人做成可以AI聊天
[01:51:17--01:51:19] 他不能这么做
[01:51:19--01:51:20] 口号人设
[01:51:20--01:51:21] 因为他做的就是大明星
[01:51:21--01:51:24] 这就和你把王一博做了个AI聊天
[01:51:24--01:51:26] 可以大家随便去聊是一样的
[01:51:26--01:51:28] 不会干这个事的
[01:51:28--01:51:29] 他可以再开一条线来
[01:51:29--01:51:30] 对那是另外一个产品
[01:51:30--01:51:31] 他可以再开一个产品
[01:51:31--01:51:33] 换句话说
[01:51:33--01:51:35] 以AI为内核的
[01:51:35--01:51:37] 以互动性为内核的
[01:51:37--01:51:38] 淫女游戏和
[01:51:38--01:51:40] 淫女IP和以表现为核心的
[01:51:40--01:51:42] 以头部明星打造为核心的
[01:51:42--01:51:44] 它就是两种东西
[01:51:44--01:51:45] 它没有办法做在一个产品
[01:51:45--01:51:47] 所以这不是一个今天炼狱升空
[01:51:47--01:51:48] 炼狱升空不就是炼狱升空
[01:51:48--01:51:49] 加一个AI聊天
[01:51:49--01:51:50] 不是这样的
[01:51:50--01:51:51] 你没有办法这样补
[01:51:51--01:51:52] 他想做的话
[01:51:52--01:51:53] 他也需要再专门做一个
[01:51:53--01:51:56] 以AI互动为优先的IP
[01:51:56--01:52:00] 这两种的用户画像会不会不一样吗
[01:52:00--01:52:02] 其实本质是一回事
[01:52:02--01:52:03] 是一拨人
[01:52:03--01:52:03] 还是一拨人
[01:52:03--01:52:05] 是一个大的人群
[01:52:05--01:52:07] 但是在一个大的人群当中
[01:52:07--01:52:08] 是有更细分的
[01:52:08--01:52:08] 画像
[01:52:08--01:52:10] 我举几个简单的例子
[01:52:10--01:52:11] 有的人就会喜欢
[01:52:11--01:52:13] 这个idol要离自己更近一些
[01:52:13--01:52:14] 我能够看得见摸得着
[01:52:14--01:52:16] 讲究这个idol
[01:52:16--01:52:17] 跟自己的互动性和陪伴性
[01:52:17--01:52:18] 可得感
[01:52:18--01:52:18] 有的人
[01:52:18--01:52:20] 我就喜欢仰望大明星
[01:52:20--01:52:22] 首先这两个需求
[01:52:22--01:52:24] 是可以发生在同一个人身上的
[01:52:24--01:52:24] 你可以喜欢
[01:52:24--01:52:25] 同时喜欢两种明星
[01:52:25--01:52:27] 但确实也有一些人
[01:52:27--01:52:27] 不喜欢大明星
[01:52:27--01:52:30] 有些人就是喜欢互动性的IP
[01:52:30--01:52:31] 就是这样
[01:52:31--01:52:32] 总体来讲
[01:52:32--01:52:34] 这是一个大的淫女用户群体
[01:52:34--01:52:35] 但是他们会有
[01:52:35--01:52:36] 各自更强的倾向性
[01:52:37--01:52:38] 比如说我们的
[01:52:38--01:52:38] 这个方向上
[01:52:38--01:52:40] 它一定是二次元的
[01:52:40--01:52:42] 更二次元的用户
[01:52:42--01:52:44] 而不是更三次元的用户
[01:52:44--01:52:45] 比如今天由于
[01:52:45--01:52:46] 恋与生空3D的出现
[01:52:46--01:52:49] 其实淫女游戏已经破圈了
[01:52:49--01:52:50] 很多原来三次元的用户
[01:52:50--01:52:53] 被拉成了淫女游戏的用户
[01:52:53--01:52:54] 但这部分用户
[01:52:54--01:52:56] 天然一定更喜欢的是大明星
[01:52:56--01:52:57] 一定是更喜欢大明星
[01:52:57--01:52:59] 而讲究每天的可得感
[01:52:59--01:53:00] 互动感
[01:53:00--01:53:01] 一定是更二次元的
[01:53:01--01:53:02] 包括你看我们其实
[01:53:02--01:53:03] 做的是2D
[01:53:03--01:53:04] 都是有这些考虑
[01:53:05--01:53:06] 我们做的是2D
[01:53:06--01:53:07] Live2D的东西
[01:53:07--01:53:08] 除了我们
[01:53:08--01:53:10] 上一次我在原音创业的
[01:53:10--01:53:11] 整个情怀以外
[01:53:11--01:53:13] 都是提前考虑过这个东西
[01:53:13--01:53:13] 我们要做的是
[01:53:13--01:53:14] 更二次元的用户
[01:53:15--01:53:16] 你们这个游戏团队有多少人
[01:53:16--01:53:18] 一半
[01:53:18--01:53:18] 20人
[01:53:18--01:53:20] 这其中有做游戏的人多
[01:53:20--01:53:21] 还是做AI的人多
[01:53:21--01:53:21] 肯定是
[01:53:21--01:53:23] 基本上都是做游戏的人
[01:53:23--01:53:24] 整个游戏的所有东西的设计
[01:53:24--01:53:26] 都是围绕着AI来的
[01:53:26--01:53:28] 但是这里面并不是说
[01:53:28--01:53:29] 堆人的问题
[01:53:29--01:53:30] 因为AI的
[01:53:30--01:53:31] 其实大家都知道
[01:53:31--01:53:32] AI今天这个行业里
[01:53:32--01:53:33] 如果你想做一个事情
[01:53:33--01:53:34] 核心不在于人有多少
[01:53:34--01:53:37] 它不是需要堆人的部分
[01:53:38--01:53:39] 但所有游戏的工艺
[01:53:39--01:53:42] 它就是一个纯堆人的事情
[01:53:42--01:53:43] 它就是一个纯堆人
[01:53:43--01:53:45] 你不可能省略掉
[01:53:45--01:53:46] 中间的这些环境
[01:53:46--01:53:48] 大家经常讲
[01:53:48--01:53:49] AI给游戏做降本增效
[01:53:49--01:53:50] 对吧
[01:53:50--01:53:51] 但实际上它只能给
[01:53:51--01:53:52] 微信小游戏降本增效
[01:53:52--01:53:54] 内容性游戏
[01:53:54--01:53:55] 是非常难降本增效的
[01:53:55--01:53:56] 比如说乙女游戏
[01:53:56--01:53:57] 这个和圈层的
[01:53:57--01:53:59] 最大最大的忌讳
[01:53:59--01:54:00] 两个东西
[01:54:00--01:54:01] 第一个东西就是AI
[01:54:01--01:54:04] 第二个是抄袭
[01:54:04--01:54:06] 最忌讳这两个东西
[01:54:06--01:54:08] 就是你的这个人物
[01:54:08--01:54:08] 长得跟别人像
[01:54:08--01:54:09] 撞脸
[01:54:09--01:54:10] 这是不可以
[01:54:10--01:54:11] 这是一个原创意识
[01:54:11--01:54:13] 特别强的一个人
[01:54:13--01:54:14] 因为二次元人群都是这样
[01:54:14--01:54:17] 二次元用户有更强的
[01:54:17--01:54:18] 比如说保护画师
[01:54:18--01:54:20] 保护原创这样的意识
[01:54:20--01:54:22] 你新推出的男人
[01:54:22--01:54:23] 长得像以前的男人
[01:54:23--01:54:24] 这是非常不能接受的
[01:54:24--01:54:26] 第二个就是
[01:54:26--01:54:27] 不能用AI画画
[01:54:27--01:54:29] 其实还是版权的问题
[01:54:29--01:54:30] 还是版权的问题
[01:54:30--01:54:32] 就是对画师的不尊重
[01:54:32--01:54:34] 以及对用户的不尊重
[01:54:34--01:54:35] 所以这部分
[01:54:35--01:54:37] 是不可以用任何AI的东西
[01:54:37--01:54:37] 我们一点
[01:54:37--01:54:38] 你第一次做内容
[01:54:38--01:54:40] 因为你以前虽然接触内容
[01:54:40--01:54:42] 也是通过平台的身份去接触
[01:54:42--01:54:44] 你第一次做内容
[01:54:44--01:54:45] 尤其是做游戏
[01:54:45--01:54:46] 你觉得有什么想法
[01:54:46--01:54:47] 跟你之前想的不一样
[01:54:47--01:54:49] 首先我不是第一次做内容
[01:54:49--01:54:50] 我在优酷的时候
[01:54:50--01:54:52] 我自己就会感兴趣去做一些内容
[01:54:52--01:54:53] 我会深入一些项目
[01:54:53--01:54:55] 比如我曾经一起帮着
[01:54:55--01:54:58] 写和改过互动影游的剧本
[01:54:58--01:55:00] 它现在还在steam上
[01:55:00--01:55:01] 卖的还可以
[01:55:01--01:55:04] 我在离开优酷前的最后一年里
[01:55:04--01:55:07] 其实除了苗牙以外
[01:55:07--01:55:07] 我从来没有做过
[01:55:07--01:55:09] 我同时还在管另外一个事情
[01:55:09--01:55:10] 就是我在成立一个游戏工作室
[01:55:10--01:55:11] 所以那个时候
[01:55:11--01:55:13] 我就已经建立游戏工作室
[01:55:13--01:55:15] 所以不是第一次做内容
[01:55:15--01:55:17] 我觉得没有特别
[01:55:17--01:55:19] 和我预想中不一样的东西
[01:55:19--01:55:20] 没有特别不一样的东西
[01:55:20--01:55:22] 因为我们更多是讨论的是
[01:55:22--01:55:25] 刚才我说的那些偏理论的东西
[01:55:25--01:55:26] 再到往下
[01:55:26--01:55:28] 比如说具体这个故事应该是怎样的
[01:55:28--01:55:29] 这个设定是怎样的
[01:55:29--01:55:30] 美术是怎样的
[01:55:30--01:55:31] 我是完全不参与
[01:55:31--01:55:34] 因为我根本就不是目标用户
[01:55:34--01:55:35] 这个男人帅不帅
[01:55:35--01:55:36] 他的性格有没有魅力
[01:55:36--01:55:37] 这个故事
[01:55:37--01:55:38] 看了之后有没有感觉
[01:55:38--01:55:40] 我没法评价
[01:55:40--01:55:43] 所以到这一层我就完全不参与
[01:55:43--01:55:44] 他和比如说我在
[01:55:44--01:55:45] 我们做应用探索
[01:55:45--01:55:47] 或者比如我们去做工具这件事情
[01:55:47--01:55:49] 我的定位是很不一样的
[01:55:49--01:55:51] 所以游戏是谁在利点
[01:55:51--01:55:52] 在你们公司内
[01:55:52--01:55:54] 也是我们的公司一个很核心的成员
[01:55:54--01:55:55] 也是之前
[01:55:55--01:55:56] 是游戏背景
[01:55:56--01:55:57] 不是游戏背景
[01:55:57--01:55:59] 但确实也是跟我比较长时间
[01:55:59--01:56:00] 我们也合作了比较多年
[01:56:00--01:56:02] 这个游戏产品什么时候正式上线
[01:56:02--01:56:04] 你现在是内测了
[01:56:04--01:56:05] 对我们进行了第一次内测
[01:56:05--01:56:06] 测结果怎么样
[01:56:06--01:56:07] 非常好
[01:56:07--01:56:08] 非常好
[01:56:08--01:56:09] 非常好
[01:56:09--01:56:11] 对我们内测2000个用户
[01:56:11--01:56:13] 一天就秒报满
[01:56:13--01:56:15] 我们在小红书上开了一个官方的账号
[01:56:15--01:56:16] 当天就有1万份
[01:56:16--01:56:17] 一个官方商业账号
[01:56:17--01:56:19] 其实万份还是不错的
[01:56:19--01:56:22] 我们内测了7天之后的内测数据
[01:56:22--01:56:24] 就留存非常非常惊人
[01:56:24--01:56:25] 非常惊人
[01:56:25--01:56:26] 具体数字不说
[01:56:26--01:56:28] 但是是一个非常夸张的数字
[01:56:28--01:56:29] 用户时长也非常下降
[01:56:29--01:56:31] 用户口碑也非常好
[01:56:31--01:56:32] 非常好
[01:56:32--01:56:33] 你去看小红书你去搜就好了
[01:56:33--01:56:35] 相关的话题都是在百万阅读量以上
[01:56:35--01:56:36] 都是用户自发的
[01:56:36--01:56:37] 在那发帖
[01:56:37--01:56:38] 有没有头发
[01:56:38--01:56:39] 没有头发
[01:56:39--01:56:40] 不需要头发
[01:56:40--01:56:41] 其实是这样的
[01:56:41--01:56:42] 内容产品的一个好处
[01:56:42--01:56:44] 是因为它本身带有态度
[01:56:44--01:56:46] 它能激起用户自身
[01:56:46--01:56:49] 对于一些美好的情绪的东西
[01:56:49--01:56:51] 所以用户会自发帮你传播
[01:56:51--01:56:53] 它不像比如工具这样的东西
[01:56:53--01:56:54] 有用
[01:56:54--01:56:56] 它的传播率是没有那么高的
[01:56:56--01:56:59] 尤其还是以女用户这样的群体的话
[01:56:59--01:57:00] 他们是天然一群
[01:57:00--01:57:01] 特别爱传播的
[01:57:01--01:57:03] 但反而它的副相效应也很明显
[01:57:03--01:57:05] 以女用户也是非常挑剔的人
[01:57:05--01:57:07] 如果你做了一些不太对的事情的话
[01:57:07--01:57:09] 它每次骂你骂得最狠的
[01:57:09--01:57:11] 所以内测效果确实非常不错
[01:57:11--01:57:13] 我们估计下半年就上了
[01:57:13--01:57:14] 对 还有半年
[01:57:14--01:57:15] 一个游戏这样很慢
[01:57:15--01:57:19] 所以上次我在有一次一个分享当中
[01:57:19--01:57:20] 我也提到这个问题
[01:57:20--01:57:22] 当我们完成首次内测的时候
[01:57:22--01:57:23] 我告诉大家我做了这个事情
[01:57:23--01:57:24] 一点都不用担心
[01:57:24--01:57:25] 有人什么再做一个
[01:57:25--01:57:28] 你做之后也一年半会减
[01:57:28--01:57:30] 所以这是一个
[01:57:30--01:57:31] 我觉得你知道
[01:57:31--01:57:33] 我在这个产品上
[01:57:33--01:57:34] 我们在内测的时候
[01:57:34--01:57:35] 最后一天要官服
[01:57:35--01:57:37] 七天结束要官服
[01:57:37--01:57:38] 内测结束
[01:57:38--01:57:39] 又一次出现了
[01:57:39--01:57:42] 当时我让我记忆很深刻的那种场景
[01:57:42--01:57:44] 所有的人都守在手机前面
[01:57:44--01:57:46] 去跟我们男主角叫新年
[01:57:46--01:57:48] 在跟他聊天告别
[01:57:48--01:57:50] 声泪俱下
[01:57:50--01:57:51] 我们就看后端
[01:57:51--01:57:52] 后面聊天数据在这儿
[01:57:52--01:57:54] 往上涨
[01:57:54--01:57:55] 所有人都在跟他说话
[01:57:55--01:57:56] 一官服
[01:57:56--01:57:57] 所有人都去小欧说说发帖子
[01:57:57--01:57:59] 发各种聊天截图
[01:57:59--01:58:01] 以及各种感情
[01:58:01--01:58:02] 非常感慨
[01:58:02--01:58:03] 非常喜欢
[01:58:03--01:58:06] 又有那种看到了很多人
[01:58:06--01:58:08] 活生生的人
[01:58:08--01:58:10] 对你的产品有感情的
[01:58:10--01:58:11] 那种感觉就很好
[01:58:11--01:58:13] 所以不管是从用户的
[01:58:13--01:58:14] 对我们的反馈
[01:58:14--01:58:15] 还是说真实的数据
[01:58:15--01:58:17] 就内部的看到的数据
[01:58:17--01:58:20] 所以我觉得AI陪伴这个事
[01:58:20--01:58:22] 去用游戏化的方式做
[01:58:22--01:58:23] 很大概率应该是
[01:58:23--01:58:25] 这个猜想应该是没有猜错
