[00:00:01--00:00:03] 为什么你做这件事情比大部分人都早
[01:21:50--01:21:52] 它不能下象棋
[01:21:52--01:21:53] 但是你现在比如你学的数学
[01:21:53--01:21:54] 你可以去做创意写作
[01:21:54--01:21:57] 我觉得这是一个本质的区别
[01:21:57--01:22:01] 你觉得你训练打这一类游戏强了
[01:22:01--01:22:04] 它可以泛化到打其他游戏都很强吗
[01:22:04--01:22:06] 你比如说打dota很强吧
[01:22:06--01:22:08] 它是不是打所有的游戏都很强
[01:22:08--01:22:10] 我觉得不好说
[01:22:10--01:22:13] 就是说即使是推理
[01:22:13--01:22:15] 它在不同环境下
[01:22:15--01:22:17] 它的泛化可能也不一样
[01:22:17--01:22:19] 比如说可能这些基于逻辑的推理
[01:22:19--01:22:21] 它可能从数学到coding的潜移会更容易
[01:22:21--01:22:24] 然后基于比如人情世故的推理
[01:22:24--01:22:29] 它可能在另一些task上潜移的更好
[01:22:29--01:22:31] 但我觉得可能重要的事情是说
[01:22:31--01:22:35] 你现在终于有一个可能的single model
[01:22:35--01:22:38] 可以去做所有task了
[01:22:38--01:22:41] 之前我们认为这个事情是不太可能的
[01:22:41--01:22:43] 但我觉得现在是有可能的
[01:22:43--01:22:46] 就是说你可以同时在很多
[01:22:46--01:22:48] 你可以在很多不同的任务上去做rl
[01:22:48--01:22:51] 并且它能够去transfer到更多任务
[01:22:51--01:22:52] 但当然就是说
[01:22:52--01:22:54] 你如果只考虑task和task之间
[01:22:54--01:22:58] 它肯定潜移的程度是和它的task的性质有关系
[01:22:58--01:23:02] 代码和数学之所以能容易泛化
[01:23:02--01:23:04] 你有想过背后的原因吗
[01:23:04--01:23:07] 是因为它没有思考过程吗
[01:23:07--01:23:10] 我觉得只是因为它是最早开始做的事情
[01:23:10--01:23:13] 它最早开始做是因为它比较简单
[01:23:13--01:23:15] 就是说它有一个很好的reward
[01:23:15--01:23:17] 然后它不需要一个环境
[01:23:17--01:23:18] 它就是reasoning
[01:23:18--01:23:21] 现在来看可能很多其他事情也是可以泛化的
[01:23:21--01:23:23] 只是我们一开始做的是这个事情
[01:23:23--01:23:26] 所以大家现在对这事情讨论比较多
[01:23:26--01:23:28] 有一个agent的创业者想问你
[01:23:28--01:23:30] agent如何skill up
[01:23:30--01:23:32] 因为现在的瓶颈主要是算力
[01:23:32--01:23:33] agent token用料非常的可怕
[01:23:33--01:23:36] 单个用户的消耗可能是chatbot的500到1000倍
[01:23:36--01:23:38] 再叠加几百万用户
[01:23:38--01:23:41] 所以你觉得agent怎么skill up
[01:23:41--01:23:45] 我觉得可能最重要的点是要找到一个好的应用
[01:23:45--01:23:48] 就是说我觉得cost本身不是问题
[01:23:48--01:23:50] 问题是你的cost不justify你的performance
[01:23:50--01:23:52] 或者你的value
[01:23:52--01:23:54] 就如果这个很有value的事情
[01:23:54--01:23:55] 我花了500刀
[01:23:55--01:23:57] 但我可以给我赚1000刀
[01:23:57--01:23:58] that's not a problem
[01:23:58--01:23:59] 它不是一个问题
[01:23:59--01:24:02] 我觉得可能现在来说最重要的事情是
[01:24:02--01:24:04] 找到有价值的应用
[01:24:04--01:24:06] 然后cost我觉得总会降低的
[01:24:06--01:24:08] 就这个模型的能力会提升
[01:24:08--01:24:10] cost会降低
[01:24:10--01:24:15] 但是找到好的应用有价值的应用是最本质的
[01:24:15--01:24:17] 当然不同的应用就是说
[01:24:17--01:24:21] 你去做的方式可能也不一样
[01:24:21--01:24:23] 就是可能你去做一个简单的任务
[01:24:23--01:24:25] 那我可以去训练这个模型
[01:24:25--01:24:26] 我去做一个小模型
[01:24:26--01:24:31] 我可以让它更快更便宜
[01:24:32--01:24:34] 更针对这个task
[01:24:34--01:24:37] 我如果做一个像更难的
[01:24:37--01:24:40] 比如我去做投资或者去做deep research
[01:24:40--01:24:43] 我可能需要一个大的model
[01:24:43--01:24:47] 我可能有不同的方法去平衡cost和value
[01:24:47--01:24:49] 但是我觉得最重要的事情是
[01:24:49--01:24:51] 先找到一个东西有value
[01:24:51--01:24:54] 这个事情找到之后cost总会有办法下降
[01:24:54--01:24:57] 你感觉agent的创业者
[01:24:57--01:25:00] 他的背景里头一定要有research出身的人吗
[01:25:00--01:25:01] researcher
[01:25:02--01:25:04] 这个有什么优势或劣势
[01:25:04--01:25:05] 我觉得不好说
[01:25:05--01:25:06] 我觉得还是挺看人的
[01:25:06--01:25:10] 我觉得很难把人分成researcher和researcher两类
[01:25:10--01:25:12] 然后这两类有很强的区别
[01:25:12--01:25:14] 我觉得人和人之间还是区别很大
[01:25:14--01:25:19] 然后我觉得可能最重要一点还是找到value
[01:25:19--01:25:21] 大家把它称为product market fit
[01:25:21--01:25:24] 或者称为产品的sense
[01:25:24--01:25:25] 或者什么都好
[01:25:25--01:25:28] 我觉得找到这个value是最重要的
[01:25:28--01:25:30] 技术目前来说只是一个手段
[01:25:30--01:25:32] 最重要的事情是解决问题
[01:25:32--01:25:33] 找到好的问题
[01:25:33--01:25:39] 然后可能反而你有很强的research背景
[01:25:39--01:25:40] 或者自然语言处理
[01:25:40--01:25:42] 或者别的这些背景反而是个坏事
[01:25:42--01:25:44] 因为你会太执念于这个技术
[01:25:44--01:25:47] 你会拿着这个锤子去找钉子对吧
[01:25:47--01:25:51] 现在来看最成功的这些应用
[01:25:51--01:25:56] 创业者似乎都不是比如说做NLP
[01:25:56--01:25:59] 或者AI的东西吧
[01:25:59--01:26:02] 我感觉比如cursor它是四个本科生人
[01:26:02--01:26:07] 然后当然professor好像创业者是一个researcher
[01:26:07--01:26:09] 我觉得这还是挺看人的
[01:26:09--01:26:12] 和你们做research可能关系没有那么强
[01:26:12--01:26:15] 你怎么看minus james park这些产品
[01:26:15--01:26:17] 和他们的foundry
[01:26:17--01:26:19] 我试过minus
[01:26:19--01:26:21] 但我还没有试过james park
[01:26:21--01:26:23] 我觉得minus还是挺有意思的
[01:26:23--01:26:26] 我觉得还是给我一些启发的
[01:26:26--01:26:28] 我觉得他们产品sense很好
[01:26:28--01:26:30] 他们有打磨产品的技术
[01:26:30--01:26:31] 他们有打磨产品的技术
[01:26:31--01:26:33] 他们有打磨产品的基因吧
[01:26:33--01:26:34] 我觉得对
[01:26:34--01:26:37] 这个产品应该是openAI的主线上的产品吧
[01:26:37--01:26:39] you will see
[01:26:39--01:26:41] 就gminus我再讲一点吧
[01:26:41--01:26:46] 就是说我觉得很有意思一点是说
[01:26:46--01:26:49] 传统上大家认为发生的事情是
[01:26:49--01:26:52] 比如我大厂先做出来一个东西
[01:26:52--01:26:55] 然后创业公司就可以开始抄对吧
[01:26:55--01:26:56] 比如说我做出来拆gpt
[01:26:56--01:26:58] 那我可以去抄拆gpt
[01:26:58--01:26:59] 或者去做一个类似的事情
[01:26:59--01:27:00] 但现在来看
[01:27:01--01:27:03] 似乎反过来事情也是可以成立的
[01:27:03--01:27:06] 就是说可以先小厂做一个事情
[01:27:06--01:27:09] 他创造出来一个交互的创新或者产品的创新
[01:27:09--01:27:14] 那做模型的公司也可以去借鉴或者应用对吧
[01:27:14--01:27:18] 就是我觉得这点还是挺有意思的
[01:27:18--01:27:20] 就是说很多时候大家会说
[01:27:20--01:27:23] 比如模型做的越来越好了
[01:27:23--01:27:26] 感觉就是给创业公司做嫁衣了对吧
[01:27:26--01:27:28] 因为你创造这个很好的模型
[01:27:28--01:27:30] 你如果没有自己运用特别好的话
[01:27:30--01:27:33] 那直接创业公司就应用好了
[01:27:33--01:27:34] 但可以反过来说
[01:27:34--01:27:37] 比如如果你创造了一个非常好的交互方式
[01:27:37--01:27:40] 但是你没有能力把他的模型能力
[01:27:40--01:27:42] 或者底层能力做得特别好
[01:27:42--01:27:47] 那大公司也可以反过来借鉴你的交互方式
[01:27:47--01:27:49] 然后再加上他的模型能力
[01:27:49--01:27:51] 把这事情做得也特别好对吧
[01:27:51--01:27:54] 所以可能这世界是个相互潮的关系
[01:27:54--01:27:56] 而不是一个单向潮的关系
[01:27:56--01:27:59] 我个人的观点对
[01:28:00--01:28:02] 如果你是Mindus的创始人CEO
[01:28:02--01:28:06] 你今天要走向垂直方向吗
[01:28:06--01:28:09] 我觉得Mindus的一个价值就是说
[01:28:09--01:28:13] 他给人一个非常general的通用的感觉对吧
[01:28:13--01:28:17] 但我觉得有一个非常通用的感觉的
[01:28:17--01:28:19] 或者交互方式的agent
[01:28:19--01:28:23] 和你有一些killer f是不矛盾的
[01:28:23--01:28:26] 就是我觉得一个比较理想的情况是
[01:28:26--01:28:29] 你有一个非常通用的交互方式
[01:28:29--01:28:33] 这个交互方式的上限或者说想象力可以足够大
[01:28:33--01:28:35] 就比如说Cursor虽然它
[01:28:35--01:28:37] 就它是个IDE对吧
[01:28:37--01:28:39] 就是说如果它只做IDE的话
[01:28:39--01:28:41] 它想象空间是有上限的
[01:28:41--01:28:42] 就在IDE里面
[01:28:42--01:28:45] 但如果你做一个非常general的通用的产品形态
[01:28:45--01:28:48] 比如Mindus它想象空间上限是很高的
[01:28:48--01:28:51] 但是我觉得并不矛盾的事情是
[01:28:51--01:28:54] 你能有一些每个阶段的killer f
[01:28:54--01:28:56] 比如说他做PPT特别好
[01:28:56--01:28:58] 或者做deep research特别好
[01:28:58--01:29:00] 或者这个东西做特别好
[01:29:00--01:29:04] 就有点像我觉得很多伟大的产品都是这样
[01:29:04--01:29:07] 就是说iPhone它是一个非常
[01:29:07--01:29:09] 感觉让人非常通用的产品形态
[01:29:09--01:29:12] 但它一开始或者iPad它都有一些killer f
[01:29:12--01:29:14] 支持它有这个momentum
[01:29:14--01:29:17] 有这个增长的趋势
[01:29:17--01:29:19] 或者说包括拆GBT
[01:29:19--01:29:24] 包括微信
[01:29:24--01:29:26] 我觉得很多伟大的产品都是这样
[01:29:26--01:29:29] 就是你有一个足够通用
[01:29:29--01:29:32] 或者简单或者第一性的这样的交互方式
[01:29:32--01:29:34] 它有很多想象空间
[01:29:34--01:29:35] 但是你去维护它
[01:29:35--01:29:37] 或者这个路径设计的时候
[01:29:37--01:29:39] 你能有各种各样的应用
[01:29:39--01:29:42] 能够使它能够不停的增长
[01:29:42--01:29:44] 你觉得deep seek在过年这一波之后
[01:29:44--01:29:47] 对于你们对于硅谷的AI researcher
[01:29:47--01:29:49] 有什么带来什么变化吗
[01:29:49--01:29:50] 叙事上的变化
[01:29:50--01:29:53] 我觉得从OpenAI的角度来说
[01:29:53--01:29:55] 我觉得大家好像讨论有几点
[01:29:55--01:30:00] 一点是说chain of thought的review
[01:30:00--01:30:03] 就是说显示这样的一个长的思维链
[01:30:03--01:30:05] 似乎是一个很重要的事情
[01:30:05--01:30:08] 它是一个产品形态上的突破
[01:30:08--01:30:10] 就是说很多时候
[01:30:10--01:30:16] 世界就是像有很多技术的积累
[01:30:16--01:30:18] 已经到了就像一个洪水达到闸口
[01:30:18--01:30:22] 你需要一个时刻让这东西发闸
[01:30:22--01:30:25] 让普通人让大多数人能够感受到这个技术
[01:30:25--01:30:26] 对吧
[01:30:26--01:30:28] 就是我们会说有iPhonemoment
[01:30:28--01:30:29] 有ChatGPTmoment
[01:30:29--01:30:31] 然后可能有deep seekmoment
[01:30:31--01:30:33] 然后这个moment可能就是说
[01:30:33--01:30:36] 有一个非常大的这种交互方式的这种冲击
[01:30:36--01:30:39] 然后我觉得ChatGPT之所以
[01:30:39--01:30:40] 就ChatGPTmoment
[01:30:40--01:30:42] 因为它的交互方式是一个非常新的
[01:30:42--01:30:44] 非常让人感到magical的这样的一个事情
[01:30:44--01:30:45] 然后我觉得partly
[01:30:45--01:30:47] 这个deep seek之所以非常火
[01:30:47--01:30:51] 是因为就它的这个长思维链
[01:30:51--01:30:53] 给人的一种新的交互方式
[01:30:53--01:30:55] 或者新的magical的体验
[01:30:55--01:30:57] 当然我觉得deep seek成功是一个非常复杂的
[01:30:57--01:30:59] 有很多原因的事情
[01:30:59--01:31:00] 但我觉得这是一点
[01:31:00--01:31:02] 我觉得另一点就是重新思考开源
[01:31:02--01:31:06] 就是Sam他在推特上也讲了很多
[01:31:06--01:31:10] 就是说这事情open就忽视了
[01:31:10--01:31:14] 但这个事情仔细想想看是有价值的
[01:31:14--01:31:17] 然后可能应该做的
[01:31:17--01:31:19] 我们就是默认的会认为
[01:31:19--01:31:21] 就是开源会落后避免很多
[01:31:21--01:31:22] 对吧
[01:31:22--01:31:24] 因为这个事情就是说
[01:31:25--01:31:27] 不像Linux
[01:31:27--01:31:28] 像操作系统一样
[01:31:28--01:31:29] 就是说我有一千个人
[01:31:29--01:31:31] 我可以每个人出一份力
[01:31:31--01:31:32] 我就可以使这个东西变得非常好
[01:31:32--01:31:34] 它有非常好的分布的性质
[01:31:34--01:31:37] 就是感觉造这个模型更像是
[01:31:37--01:31:39] 我有20个特别厉害的人
[01:31:39--01:31:40] 然后我有很多很多钱
[01:31:40--01:31:42] 我只需要20个很强的人
[01:31:42--01:31:43] 把这个事情做好就行
[01:31:43--01:31:44] 我需要一个非常特殊的组织
[01:31:44--01:31:46] 非常特殊的资源集中
[01:31:46--01:31:48] 非常特殊的人
[01:31:48--01:31:51] 那这种情况下开源可能
[01:31:51--01:31:53] 就传统的开源的优势并不大
[01:31:53--01:31:54] 对吧
[01:31:54--01:31:56] 就包括像Facebook
[01:31:56--01:31:57] 可能开源做的没有那么好
[01:31:57--01:32:01] 在美国可能大家就习惯性的忽视的这个事情
[01:32:01--01:32:03] 从某种程度来说
[01:32:03--01:32:06] 做好开源是一个很not trivial的事情
[01:32:06--01:32:08] 因为首先你要有足够多资源
[01:32:08--01:32:10] 你要有很强的人
[01:32:10--01:32:12] 你要有个很好的组织文化
[01:32:12--01:32:16] 然后你还要有商业上的justification
[01:32:16--01:32:18] 那当然最好的情况就是你是个慈善家
[01:32:18--01:32:19] 你有几百亿
[01:32:19--01:32:22] 然后你就去做这个事情造福世界
[01:32:22--01:32:23] 那这个事情是很小概率的事情
[01:32:23--01:32:24] 但是小概率的事情发生了
[01:32:24--01:32:25] 就是有这样一个人
[01:32:25--01:32:26] 做了这样一个事情
[01:32:26--01:32:27] 对吧
[01:32:27--01:32:29] 我觉得这个事情还是值得反思的
[01:32:29--01:32:31] 我觉得我也会思考吧
[01:32:31--01:32:33] 就是说DeepSig
[01:32:33--01:32:35] 我觉得有很多包括组织架构
[01:32:35--01:32:38] 包括它的工程的
[01:32:38--01:32:41] 包括基础设施的
[01:32:41--01:32:43] 我觉得有很多值得称道的地方
[01:32:43--01:32:45] 一个AI研究员想问你
[01:32:45--01:32:48] 他说他对agent的想象是有限的
[01:32:48--01:32:49] 所以希望你能畅想一下
[01:32:49--01:32:52] 以及你说你的终极理想是打造一个世界上最强的agent
[01:32:52--01:32:53] 我看你之前说过
[01:32:53--01:32:55] 你觉得他会是什么样的
[01:32:55--01:32:57] 我什么时候说过
[01:32:57--01:32:59] 你是在一个智源的访谈里说过
[01:32:59--01:33:01] 智源社区
[01:33:01--01:33:02] OK
[01:33:02--01:33:07] 对我觉得就是传统上或者说
[01:33:07--01:33:10] 大多数人对agent的想象就是一个模型
[01:33:10--01:33:11] 对吧
[01:33:11--01:33:12] 他就像这个世界上最聪明的人一样
[01:33:12--01:33:15] 然后他拥有所有知识
[01:33:15--01:33:16] 拥有所有能力
[01:33:16--01:33:17] 他比我们都聪明
[01:33:17--01:33:20] 他是个最强的智能体
[01:33:20--01:33:22] 我现在想想
[01:33:22--01:33:24] 我现在感觉可能是
[01:33:24--01:33:27] 就不同的交互方式下有不同的
[01:33:27--01:33:29] 有不同的好的定义
[01:33:29--01:33:32] 或者说有不同的强的这个边界
[01:33:32--01:33:34] 可能最终智能的边界
[01:33:34--01:33:36] 是有不同的交互方式决定的
[01:33:36--01:33:38] 而不是一个single model决定的
[01:33:38--01:33:40] 那从这个角度来说
[01:33:40--01:33:42] 我觉得想象空间非常大
[01:33:42--01:33:46] 就现在大家只想象到做助手这件事情
[01:33:46--01:33:48] 像这个事情很明显有很大的想象空间
[01:33:48--01:33:49] 有很大的进步空间
[01:33:49--01:33:52] 那还有很多没有诞生的交互方式了
[01:33:52--01:33:55] 那就像一开始互联网刚诞生的时候
[01:33:55--01:33:56] 可能最早superapp
[01:33:56--01:33:58] 就是说我把mail
[01:33:58--01:34:00] 升级成email
[01:34:00--01:34:01] 对吧
[01:34:01--01:34:02] 然后我把
[01:34:02--01:34:04] 我把这个
[01:34:04--01:34:06] 甚至就amazon已经是个非常创新的东西了
[01:34:06--01:34:07] 对吧
[01:34:07--01:34:09] 那我觉得现在就有点像那个时候吧
[01:34:09--01:34:11] 就是说我们想象力
[01:34:11--01:34:15] 还是被以往的交互方式所限制了
[01:34:15--01:34:16] 那这个东西
[01:34:16--01:34:19] 我觉得很显然会创造很多种新的交互方式
[01:34:19--01:34:21] 来改变我们的这个世界
[01:34:21--01:34:22] 对
[01:34:22--01:34:24] 你觉得最强的agent应该是什么样
[01:34:24--01:34:26] 还是没想好
[01:34:26--01:34:28] 我觉得
[01:34:28--01:34:31] 对于不同的任务和交互方式
[01:34:31--01:34:35] 会需要不同的agent的系统
[01:34:35--01:34:37] 或者系统去解决
[01:34:37--01:34:39] 我现在的感觉是这样
[01:34:39--01:34:40] 就是很多很大程度上
[01:34:40--01:34:41] 这个模型是可以
[01:34:41--01:34:42] 也许是可以share的
[01:34:42--01:34:45] 但是如果你讨论这样的一个系统的话
[01:34:45--01:34:46] 我觉得它会
[01:34:46--01:34:47] 就像你问
[01:34:47--01:34:49] 这个世界上最强的互联网网站
[01:34:49--01:34:51] 或者最强的互联网
[01:34:51--01:34:53] 是什么互联网的网站
[01:34:53--01:34:54] 或者公司是什么
[01:34:54--01:34:55] 这事情很难回答
[01:34:55--01:34:56] 对吧
[01:34:56--01:34:57] 因为它是一个multifacet
[01:34:57--01:34:59] 它是有很多不同面的事情
[01:34:59--01:35:03] 我觉得AI也是有可能变成这样的
[01:35:03--01:35:05] 就可能openai会成为一个google
[01:35:05--01:35:09] 它会成为这个新的世界里面很重要的一环
[01:35:09--01:35:13] 但是我觉得并不代表这个世界就会被
[01:35:13--01:35:14] 它不是单极
[01:35:14--01:35:16] 被这样一个单极的东西垄断
[01:35:16--01:35:17] 我觉得这样的话
[01:35:17--01:35:19] 那这个世界就会变得很灰暗
[01:35:19--01:35:20] 对吧
[01:35:20--01:35:21] 就没有什么价值了
[01:35:21--01:35:25] 你对未来的agent生态的构想会是什么样的
[01:35:25--01:35:27] 现在我觉得有点像当年
[01:35:27--01:35:29] 大家都在创业做app的那个时候
[01:35:29--01:35:31] 可能11年12年
[01:35:31--01:35:32] 那个时候
[01:35:32--01:35:34] 如果再往后推几年
[01:35:34--01:35:35] 你觉得会是什么样
[01:35:35--01:35:36] 这个世界
[01:35:36--01:35:38] 我觉得很难说
[01:35:38--01:35:39] 对吧
[01:35:39--01:35:43] 但是我觉得肯定会有很多不同的交互方式
[01:35:43--01:35:44] 创造出来不同的系统
[01:35:44--01:35:46] 就是说openai
[01:35:46--01:35:47] 像openai这样的公司
[01:35:47--01:35:49] 它肯定会想继续推进
[01:35:49--01:35:51] 这样一个中心化的助手一样的系统
[01:35:51--01:35:53] 然后有更多的环境
[01:35:53--01:35:54] 有更强的能力
[01:35:54--01:35:56] 去做更多事情
[01:35:56--01:36:00] 那我觉得也会有不同的生态系统
[01:36:00--01:36:03] 然后有不同的交互方式
[01:36:03--01:36:06] 然后可能会训练完全不同的模型
[01:36:06--01:36:08] 可能甚至从pre-training开始
[01:36:08--01:36:10] 需要的能力或者很多东西是不一样的
[01:36:10--01:36:11] 就比如说
[01:36:11--01:36:13] 那也许另一种交互方式
[01:36:13--01:36:15] 就是我想造一个我的朋友
[01:36:15--01:36:17] 那我的朋友可能不需要数学这么强
[01:36:17--01:36:18] 或者物理这么强
[01:36:18--01:36:19] 或者说他数学这么强
[01:36:19--01:36:20] 就反而有点假了
[01:36:20--01:36:21] 对吧
[01:36:21--01:36:23] 那他可能也不是记忆特别好
[01:36:23--01:36:24] 他可能也会出错
[01:36:24--01:36:25] 他有感情
[01:36:25--01:36:27] 他也不是特别rational
[01:36:27--01:36:29] 那可能造这个东西也是有价值的
[01:36:29--01:36:30] 那可能会有人做这个事情
[01:36:30--01:36:35] 那可能做这个事情
[01:36:35--01:36:36] 你又很难去说
[01:36:36--01:36:37] 他和training比起来更强
[01:36:37--01:36:38] 对吧
[01:36:38--01:36:39] 因为它是不同的应用
[01:36:39--01:36:40] 它有不同的价值
[01:36:40--01:36:44] 那也有可能会有比如说
[01:36:44--01:36:46] 一个agent组成的社会
[01:36:46--01:36:47] 对吧
[01:36:47--01:36:48] 比如说
[01:36:48--01:36:51] 如果你认为中心化的极限是
[01:36:51--01:36:52] 这个context
[01:36:52--01:36:53] delimitation的话
[01:36:53--01:36:55] 那或者这么说
[01:36:55--01:36:57] 就为什么这个世界上有很多人有价值
[01:36:57--01:36:59] 并不是因为他的数学能力
[01:36:59--01:37:00] 或者科技能力比别人强
[01:37:00--01:37:02] 是因为他有一些自己的信息
[01:37:02--01:37:04] 这个信息是他有别人没有的
[01:37:04--01:37:05] 对吧
[01:37:05--01:37:06] 比如说
[01:37:06--01:37:07] 有很多中间商
[01:37:07--01:37:08] 他本质上他就是拥有这个信息差
[01:37:08--01:37:09] 对吧
[01:37:09--01:37:10] 那拥有这个信息差的人
[01:37:10--01:37:14] 他还是会想去
[01:37:14--01:37:15] 去维持自己的这个权利
[01:37:15--01:37:17] 或者维持自己的这个资源
[01:37:17--01:37:18] 对吧
[01:37:18--01:37:19] 那也许这样的人
[01:37:19--01:37:21] 他会发明出来一个更multi agent的
[01:37:21--01:37:23] 或者更distributed的network
[01:37:23--01:37:24] 对吧
[01:37:24--01:37:25] 就比如说
[01:37:25--01:37:27] 也许在交易的世界里面
[01:37:27--01:37:29] 这个信息是很重要的
[01:37:29--01:37:30] 对吧
[01:37:30--01:37:32] 那每个人他可能只有拥有信息的一小部分
[01:37:32--01:37:33] 那这种情况下
[01:37:33--01:37:37] 可能又会有新的不同的这个形态
[01:37:37--01:37:39] 他可能是一个multi agent的
[01:37:39--01:37:41] 就每个人我们有一个自己的agent
[01:37:41--01:37:42] 然后agent之间
[01:37:42--01:37:44] 我和100万个人交换信息
[01:37:44--01:37:46] 或者去做交易
[01:37:46--01:37:50] 或者去达成某些事情
[01:37:50--01:37:52] 那我觉得fundamentally
[01:37:52--01:37:53] 就是说
[01:37:53--01:37:56] 现在非常强的巨头
[01:37:56--01:37:58] 非常强的这些节点
[01:37:58--01:37:59] 他是有motivation
[01:37:59--01:38:02] 去继续把这事情变得更中心化的
[01:38:02--01:38:07] 但是不在这个中心化以外的这个力量
[01:38:07--01:38:08] 他也是有motivation
[01:38:08--01:38:11] 去做一些非中心化的事情
[01:38:11--01:38:12] 对
[01:38:12--01:38:13] 我觉得这个世界
[01:38:13--01:38:16] 可能不会是一方超过另一方
[01:38:16--01:38:19] 我觉得两方都会有自己的力量
[01:38:19--01:38:20] 都会有自己的
[01:38:20--01:38:23] 两种力量在博弈
[01:38:23--01:38:24] 很有意思
[01:38:24--01:38:26] 在你脑海中的未来的世界
[01:38:26--01:38:27] 还不是单极的
[01:38:27--01:38:28] 也不是中心化的
[01:38:28--01:38:29] Again就是我说的
[01:38:29--01:38:30] 就是可能会
[01:38:30--01:38:31] 它变得更中心化
[01:38:31--01:38:32] 很难变得更diverse
[01:38:32--01:38:33] 并不矛盾
[01:38:33--01:38:34] 对吧
[01:38:34--01:38:36] 我觉得刚刚我们之前提到
[01:38:36--01:38:39] 就是历史的演变有两个因素
[01:38:39--01:38:41] 一个是它的中心化程度
[01:38:41--01:38:42] 或者贫富差距的拉大
[01:38:42--01:38:44] 另一个方面是我完成阶级跨越
[01:38:44--01:38:45] 或者我
[01:38:45--01:38:49] 我去从一个边缘到中心的
[01:38:49--01:38:51] 这样一个速度或者可能性
[01:38:51--01:38:54] 但可能第三个性质
[01:38:54--01:38:56] 就是说这个网络本身diversity
[01:38:56--01:38:57] 或者它的复杂程度
[01:38:57--01:38:59] 或者它的多样性
[01:38:59--01:39:02] 这个事情历史上来说也是越来越好的
[01:39:02--01:39:03] 对吧
[01:39:03--01:39:05] 虽然世界上最大的公司
[01:39:05--01:39:07] 对这个世界的经济的支配
[01:39:07--01:39:08] 变得越来越强了
[01:39:08--01:39:11] 但世界上的产业总是越来越多了
[01:39:11--01:39:13] 这两个事情可以同时存在
[01:39:13--01:39:14] 是
[01:39:14--01:39:18] 更关键的就是大模型技术没有垄断性
[01:39:18--01:39:20] 硅谷的头三次家
[01:39:20--01:39:22] 好像都能追到一定的水平
[01:39:22--01:39:24] 如果欧凯有垄断性
[01:39:24--01:39:26] 那是比较可怕的
[01:39:26--01:39:28] 我觉得暂时没有垄断性
[01:39:28--01:39:32] 但是如果你能找到一个产品形态
[01:39:32--01:39:34] 在那里面就是研究的优势
[01:39:34--01:39:37] 能够转换成商业优势
[01:39:37--01:39:39] 那就会产生弊的
[01:39:39--01:39:42] 我觉得可能现在对于差GP来说
[01:39:42--01:39:46] 可能一个比较好的事情是memory
[01:39:46--01:39:50] 我觉得这是一个可能产生弊的地方
[01:39:50--01:39:51] 因为如果没有memory
[01:39:51--01:39:54] 其实就是大家在拼谁的模型更强
[01:39:54--01:39:56] 但有了memory之后
[01:39:56--01:39:57] 我拼的不仅是谁的模型更强
[01:39:57--01:40:01] 而是用户用哪个更多
[01:40:01--01:40:02] 哪个联系更强
[01:40:02--01:40:05] 我在这里面有了更多积累的context
[01:40:05--01:40:07] 他能够给我更好的体验之后
[01:40:07--01:40:09] 我就会有这个联系
[01:40:09--01:40:12] 那可能是一种研究优势处理
[01:40:12--01:40:14] 然后是商业优势的方式
[01:40:14--01:40:16] 在差GP里他会出现灰色提示词
[01:40:16--01:40:17] 说记忆更新嘛
[01:40:17--01:40:19] 这个更新到底是什么呀
[01:40:19--01:40:20] 这就是你说的
[01:40:20--01:40:22] 那个他增加年薪那种方式
[01:40:22--01:40:25] 我其实最近没有怎么用memory这个feature
[01:40:25--01:40:29] 但是好像最近就做了一些提升
[01:40:29--01:40:31] 我怀疑就是他产生
[01:40:31--01:40:34] 或者使用记忆的方式变得更好
[01:40:34--01:40:35] 对
[01:40:35--01:40:37] 就包括可能他能够更有效的
[01:40:37--01:40:41] 从很多的用户的对话中
[01:40:41--01:40:43] 提炼出来
[01:40:43--01:40:45] 或者说retrieve
[01:40:45--01:40:48] 就是搜索出来跟相关的东西
[01:40:48--01:40:50] 这个我不是特别了解细节
[01:40:50--01:40:51] 对
[01:40:51--01:40:53] 但是我觉得intuitively它是一个
[01:40:53--01:40:57] 可能会产生联系或者B类的一个东西
[01:40:57--01:41:00] 你觉得mcp本质也是memory吗
[01:41:00--01:41:02] 因为我的很多的context
[01:41:02--01:41:05] 在我很多的个人软件企业软件里头
[01:41:05--01:41:10] 那mcp本质也是hack我的context的一种方法
[01:41:10--01:41:12] 我觉得从某种程度上来说是的
[01:41:12--01:41:16] 就是说从某种程度上来说
[01:41:16--01:41:20] 这个世界有很有一个memory hierarchy
[01:41:20--01:41:22] 就从一个agent角度
[01:41:22--01:41:25] 但是这个memory hierarchy最外层永远是环境
[01:41:25--01:41:29] 就有点像你考虑一个电脑
[01:41:29--01:41:31] 它有个memory hierarchy
[01:41:31--01:41:36] 就是我从cpu的这个缓存到内存到这个硬盘
[01:41:36--01:41:39] 但是最外层的memory
[01:41:39--01:41:41] 永远是这个外部世界
[01:41:41--01:41:43] 这个世界的环境对吧
[01:41:43--01:41:47] 比如我插一个U盘拔一个U盘
[01:41:47--01:41:50] 或者我把一个东西上传到互联网上
[01:41:50--01:41:54] 或者我做一个音乐把它变成一个光盘
[01:41:54--01:41:56] 然后把它给对吧
[01:41:56--01:42:03] 就是外部世界永远是memory hierarchy的最后面一层
[01:42:03--01:42:09] 这个是我前年冬天
