[00:00:03--00:00:04] Hello 大家好,我是小骏
[00:00:04--00:00:07] 2026年除了嘉宾访谈
[01:18:22--01:18:23] 是你们找他们还是他们找你们
[01:18:23--01:18:25] 他们来找我们
[01:18:25--01:18:26] 对所以这个是一个
[01:18:26--01:18:27] 有谁啊
[01:18:27--01:18:28] 这就不方便说了
[01:18:28--01:18:30] 对但是这个我觉得是一个很
[01:18:30--01:18:32] 很有意思的一个信号
[01:18:32--01:18:34] 就是实话说当时
[01:18:34--01:18:35] 最早的时候我是
[01:18:35--01:18:37] 主动的给他们发了很多的邮件
[01:18:37--01:18:39] 那他们说
[01:18:39--01:18:40] 我知道你们是仿真最棒的
[01:18:40--01:18:42] 如果我要做仿真
[01:18:42--01:18:43] 我一定会来找你
[01:18:43--01:18:45] 但是我现在可能还没有到这个时间点
[01:18:47--01:18:48] 但是可能
[01:18:48--01:18:48] 过去的
[01:18:48--01:18:49] 三个月
[01:18:49--01:18:50] 都来找了我们
[01:18:50--01:18:52] 他们共同遇到的问题是什么
[01:18:52--01:18:55] 他们没有办法去规模化他们的评测了
[01:18:55--01:18:56] 这个是他们的核心的问题
[01:18:56--01:18:57] 就是
[01:18:57--01:19:00] 他们认为他们的算法已经做的足够好了
[01:19:00--01:19:02] 他们之前都是通过真机数据
[01:19:02--01:19:04] 之前都是通过真机数据
[01:19:04--01:19:06] 或者通过一些仿真的
[01:19:06--01:19:09] 就是评测级就是这些学数据的benchmark
[01:19:09--01:19:10] 去打但是在
[01:19:10--01:19:12] 真正industry
[01:19:12--01:19:14] 其实没有太大的一个意义
[01:19:14--01:19:15] 因为他们太简单了
[01:19:15--01:19:17] 他们不够规模化
[01:19:17--01:19:21] 比如说可能我们有一些去落地家庭场景的这些的大脑
[01:19:21--01:19:22] 的团队
[01:19:22--01:19:23] 他们可能
[01:19:23--01:19:26] 叠衣服他们可能做家务
[01:19:26--01:19:27] 已经做得很好了
[01:19:27--01:19:29] 那他们希望就是说
[01:19:29--01:19:30] 能够有1000个
[01:19:30--01:19:32] 不同的家居的场景
[01:19:32--01:19:35] 可以随时的去评价他们
[01:19:35--01:19:36] 包括这些
[01:19:36--01:19:37] 最关键不是场景
[01:19:37--01:19:38] 而是这些任务
[01:19:38--01:19:40] 以及这些评价标准
[01:19:40--01:19:41] 可以帮助他们去
[01:19:41--01:19:44] 随时的去评价他们自己
[01:19:44--01:19:45] 这个是他们
[01:19:45--01:19:46] 不可能通过真机
[01:19:46--01:19:48] 去获得的
[01:19:48--01:19:49] 听上去
[01:19:49--01:19:51] 想要做大脑的
[01:19:51--01:19:55] 那一拨人可能是最早拥抱仿真的对吗
[01:19:55--01:19:56] 没错然后那些
[01:19:56--01:19:59] 就是一开始是从一个场景里走出来的
[01:19:59--01:20:00] 公司
[01:20:00--01:20:03] 可能是比如说是叠衣服或者是
[01:20:03--01:20:05] 在商超里
[01:20:05--01:20:07] 他们有一个做什么事情的机器人的
[01:20:07--01:20:12] 公司是比较慢拥抱仿真的当他们需要放话的时候他需要仿真是这个意思吗
[01:20:12--01:20:15] 我认为就是说仿真有两种比方说
[01:20:15--01:20:16] 比较传统的
[01:20:16--01:20:18] 就是这种支持的RL
[01:20:18--01:20:18] 对吧
[01:20:18--01:20:20] 这种仿真那比方说
[01:20:20--01:20:22] 可能全身的
[01:20:22--01:20:24] 就是full body control
[01:20:24--01:20:25] 或者local motion
[01:20:25--01:20:27] 就是说如何让一个
[01:20:27--01:20:29] 人型机器人更有效的去行走
[01:20:29--01:20:31] 让他能够站得比较稳
[01:20:31--01:20:33] 让他可以去做一些
[01:20:33--01:20:34] 全身控制的任务
[01:20:34--01:20:36] 这个时候可能
[01:20:36--01:20:40] 这些机器人公司会去很拥抱仿真他们其实是最早用仿真的一批
[01:20:40--01:20:43] 只不过这块的仿真的需求量比较小
[01:20:43--01:20:44] 他可能在一台
[01:20:44--01:20:45] 本地的机器上
[01:20:45--01:20:47] 去跑RL
[01:20:47--01:20:49] 就可以实现去跑强化器就可以实现
[01:20:49--01:20:50] 而不是一个大规模的需求
[01:20:50--01:20:54] 而我认为对于大规模的需求就会如你所说
[01:20:54--01:20:55] 更多的是这类大模型商
[01:20:55--01:20:56] 大脑公司
[01:20:56--01:20:58] 他们需要去放话
[01:20:58--01:21:00] 他们需要去规模化他们的数据
[01:21:00--01:21:02] 或者规模化他们的评测
[01:21:02--01:21:05] 那在这两个点上他一定会被一个点至少一个点卡住
[01:21:05--01:21:07] 那他一定会用仿真
[01:21:07--01:21:09] 所以他们是最早拥抱那批人
[01:21:09--01:21:10] 没错
[01:21:10--01:21:15] 那你刚才说近三个月开始出现变化的应该是在垂直场景做机器人的公司是吧
[01:21:15--01:21:17] 也不是就是说
[01:21:17--01:21:18] 大模型
[01:21:18--01:21:20] 团队其实也会分为
[01:21:20--01:21:21] 就是
[01:21:21--01:21:25] 一上来就是坚定的仿真派的团队
[01:21:25--01:21:27] 也会有一些就是最早的时候就是真机派
[01:21:27--01:21:29] 我就相信真机的数据
[01:21:29--01:21:32] 但是可能到了一定阶段他会发现我压根走不通这件事
[01:21:32--01:21:34] 那我一定要仿真
[01:21:34--01:21:36] 所以我认为就是说过去三个月我们
[01:21:36--01:21:39] 最多的增长我觉得第一是
[01:21:39--01:21:41] 基本上可能所有大模型
[01:21:41--01:21:43] 团队以及他们的世界模型团队
[01:21:43--01:21:45] 在这可能就是
[01:21:45--01:21:45] 一个公司
[01:21:45--01:21:48] 可能不只是一个团队在跟我们合作
[01:21:48--01:21:50] 可能有VLA的团队
[01:21:50--01:21:51] 有世界模型团队
[01:21:51--01:21:52] 都在跟我们合作
[01:21:52--01:21:55] 因为其实某种层面上可能
[01:21:55--01:21:58] 有很多VLA团队他们可能在基于世界模型的基座
[01:21:58--01:21:58] 对吧
[01:21:58--01:22:01] 那到这个时候没准世界模型团队用我们
[01:22:01--01:22:02] 可能能够用得更好
[01:22:02--01:22:03] 对
[01:22:03--01:22:06] 那可能VLA用我们的评测世界模型用我们的数据
[01:22:06--01:22:08] 这个是一个我们可能看到的
[01:22:08--01:22:09] 很多的一个现象
[01:22:09--01:22:13] 这三个团队对数据需求不一样吗
[01:22:13--01:22:14] 不太一样
[01:22:14--01:22:15] 比如说可能世界模型团队
[01:22:15--01:22:18] 并不见得一定要需要去有
[01:22:18--01:22:20] 那么强行动的数据
[01:22:20--01:22:21] 对那他也有
[01:22:21--01:22:23] 更好的物理的这种
[01:22:23--01:22:25] 限制对吧这种光定
[01:22:25--01:22:26] 然后
[01:22:26--01:22:30] 他需要有这种可以帮助他们可以更好的去预测
[01:22:30--01:22:32] 在物理世界
[01:22:32--01:22:34] 这个下一件事情的发生
[01:22:34--01:22:36] 但是他并不见得一定要
[01:22:36--01:22:40] 有第一人视角或者第一个这个机器人的这个视角
[01:22:40--01:22:41] 在里头去
[01:22:41--01:22:43] 与物理去交互的数据
[01:22:43--01:22:45] 而VLA可能更多的是一个行动派
[01:22:45--01:22:46] 他必须得有这种
[01:22:46--01:22:47] 行动的数据
[01:22:47--01:22:52] 那可能是他自己的本体可能是其他的本体跨本体甚至是人
[01:22:52--01:22:53] 的行动的数据
[01:22:53--01:22:55] 所以这个呢我觉得还会有些的区别
[01:22:55--01:22:57] 但是整体上的就是说
[01:22:57--01:22:59] 从评价角度来讲呢
[01:22:59--01:23:01] 他们可能也都很需要
[01:23:01--01:23:03] 仿真因为他们需要在这些
[01:23:03--01:23:05] 足够物理真实的
[01:23:05--01:23:06] 环境中
[01:23:06--01:23:07] 能够要不然去
[01:23:07--01:23:09] 确认他们的预测能力足够准确
[01:23:09--01:23:11] 要不然他们的行动能力
[01:23:11--01:23:13] 可以实现这些不同的任务
[01:23:13--01:23:14] 你知道中国也有很多就是要有这种行动的数据来说
[01:23:14--01:23:15] 你知道中国也有很多就是要有这种行动的数据来说
[01:23:15--01:23:16] 叫做
[01:23:16--01:23:19] 机器人大脑的不管是大公司也好还是创业公司也好
[01:23:19--01:23:23] 我跟他们交流下来我直观上感觉好像
[01:23:23--01:23:25] 仿真派要小于真机派
[01:23:25--01:23:27] 因为他们普遍给出的理由是因为
[01:23:27--01:23:29] 真机数据好放话
[01:23:29--01:23:31] 仿真数据不好放话
[01:23:31--01:23:33] 你觉得为什么会出现这个现象为什么
[01:23:33--01:23:35] 在中国的机器人团队
[01:23:35--01:23:36] 仿真派似乎不多
[01:23:36--01:23:38] 我认为其实
[01:23:38--01:23:40] 几个点啊
[01:23:40--01:23:41] 第一就是说我认为
[01:23:41--01:23:45] 这个就这类公司本质上来讲他们还是机器人公司
[01:23:45--01:23:48] 机器人公司呢我觉得咱们去看他们的商业模式
[01:23:48--01:23:50] 他的底层还是要去卖本体
[01:23:50--01:23:56] 所以如果他要是一个仿真派我觉得他就很难去
[01:23:56--01:23:57] 来
[01:23:57--01:24:00] 肯定是他的客户去买他们的本体
[01:24:00--01:24:00] 为什么
[01:24:00--01:24:02] 他们的客户其实
[01:24:02--01:24:03] 很多的就是
[01:24:03--01:24:08] 我觉得国内很多的这个真机派的这个商业模式还是去卖一个
[01:24:08--01:24:10] 蔬菜中心
[01:24:10--01:24:13] 我买过来用你的
[01:24:13--01:24:15] 机器人来采集数据
[01:24:15--01:24:16] 来采集数据
[01:24:16--01:24:17] 然后来不断的去提升
[01:24:17--01:24:18] 所以他需要
[01:24:18--01:24:21] 相信真机数据才能卖本体
[01:24:21--01:24:23] 对
[01:24:23--01:24:25] 就是否则我认为就是说
[01:24:25--01:24:27] 他其实我觉得本质上来讲还是一个
[01:24:27--01:24:29] 屁股决定脑袋的事情
[01:24:29--01:24:30] 我觉得他需要去
[01:24:30--01:24:32] 真正的提倡一个真机派
[01:24:32--01:24:34] 才能够更有效的去把这些
[01:24:34--01:24:36] 基于真机素材
[01:24:36--01:24:38] 这样的一个商业模式去跑通
[01:24:38--01:24:43] 那当然其实提到真机素材我认为真机素材一定是需要的
[01:24:43--01:24:45] 我并不否认真机素材
[01:24:45--01:24:46] 我认为现在的量也是需要的
[01:24:46--01:24:48] 我认为它再增长10倍
[01:24:48--01:24:50] 可能这个量也是必须的
[01:24:50--01:24:53] 但是关键就看它会增长到什么一个阶段
[01:24:53--01:24:54] 我觉得根据数据侦查
[01:24:54--01:24:57] 其实最小的量应该是真机的
[01:24:57--01:24:58] 实操的
[01:24:58--01:24:59] 机器人的本体的数据
[01:24:59--01:25:00] 真机数据
[01:25:00--01:25:01] 没错
[01:25:01--01:25:02] 它的成本最贵
[01:25:02--01:25:05] 它的成本最贵但是最关键的是它最难规模化
[01:25:05--01:25:09] 它都不是成本的事比如说你怎么去进入到不同的场景
[01:25:09--01:25:11] 很快速的去规模化这件事
[01:25:11--01:25:12] 这个是很难的一件事
[01:25:12--01:25:14] 你如何去换新的场景
[01:25:14--01:25:14] 很多
[01:25:14--01:25:17] 我觉得大部分的真机的素材
[01:25:17--01:25:20] 现在如果你去他们的素材中心你会看到他们
[01:25:20--01:25:21] 他们也在用仿真啊
[01:25:21--01:25:23] 怎么去理解他在用现实世界的仿真
[01:25:23--01:25:26] 他拿的是一个假的香蕉
[01:25:26--01:25:28] 他拿的是一个假的苹果
[01:25:28--01:25:31] 他并不是拿的是一个真的香蕉一个真的苹果
[01:25:31--01:25:33] 他的场景可能
[01:25:33--01:25:35] 变换很小
[01:25:35--01:25:38] 可能都是在这个桌面级
[01:25:38--01:25:41] 可能或者说一些宜家的这种的方式的搭建
[01:25:41--01:25:43] 他很难像仿真一样
[01:25:43--01:25:44] 去规模化到可能
[01:25:44--01:25:46] 更加广阔的
[01:25:46--01:25:48] 多变的
[01:25:48--01:25:49] 足够物理真实的这些
[01:25:49--01:25:51] 场景的应用
[01:25:51--01:25:53] 对所以我觉得这个是一个我觉得
[01:25:53--01:25:55] 就核心的一个不同点
[01:25:55--01:25:56] 另外呢其实
[01:25:56--01:25:58] 从我们的角度呢
[01:25:58--01:26:00] 我认为就是说
[01:26:00--01:26:03] 真机派真正在做预训练级的大模型
[01:26:03--01:26:05] 其实我也听了就是
[01:26:05--01:26:08] 谭杰的那一期我比较同意谭杰的看法
[01:26:08--01:26:10] 就是说我觉得可能
[01:26:10--01:26:12] 不太合理就是说
[01:26:12--01:26:13] 纯粹的
[01:26:13--01:26:14] 做一个巨深的大模型
[01:26:14--01:26:16] 他一定是基于一个机座的
[01:26:16--01:26:17] 对吧
[01:26:17--01:26:20] 那在这个时候我认为就是说
[01:26:20--01:26:23] 更应该是一个大模型公司
[01:26:23--01:26:24] 来去
[01:26:24--01:26:25] 基于他们
[01:26:25--01:26:26] 机座的能力
[01:26:26--01:26:28] 再基于更多的数据
[01:26:28--01:26:30] 先是预训练再是后训练
[01:26:30--01:26:31] 来做出更好的WLA来
[01:26:31--01:26:35] 所以我觉得从这个点上我觉得可能
[01:26:35--01:26:36] 机器人公司可能
[01:26:36--01:26:38] 也没有多少机器人公司
[01:26:38--01:26:39] 真正在做这件事
[01:26:39--01:26:42] 就真正在做一个预训练级的一个大模型
[01:26:42--01:26:44] 所以他需要的数据可能就没有
[01:26:44--01:26:45] 那么多
[01:26:45--01:26:46] 他需要的数据没有那么多
[01:26:46--01:26:48] 谭杰说的一个观点我印象很深
[01:26:48--01:26:50] 因为我也是跟他说就是
[01:26:50--01:26:52] 国内侦缉派会说
[01:26:52--01:26:54] 侦缉数据有更好的放话性
[01:26:54--01:26:55] 他说
[01:26:55--01:26:57] 仿真数据带来的是sim2real的问题
[01:26:57--01:26:58] 不是放话的问题
[01:26:58--01:27:00] 放话的问题应该通过生成
[01:27:00--01:27:02] 极大量的仿真数据来解决
[01:27:02--01:27:03] 你同意他这个观点吗
[01:27:03--01:27:04] 我是同意的
[01:27:04--01:27:06] 说到这里我们定义一下仿真吧
[01:27:06--01:27:08] 因为仿真的定义现在也是模糊的
[01:27:08--01:27:10] 以前可能是说的是
[01:27:10--01:27:11] 物理仿真
[01:27:11--01:27:14] 现在也把一部分的视频生成认为是仿真
[01:27:14--01:27:15] 你怎么定义仿真
[01:27:15--01:27:19] 我其实还是希望更加严格的去定义一下
[01:27:19--01:27:21] 那么我认为仿真的话呢
[01:27:21--01:27:23] 我认为他更多的是需要在一个
[01:27:23--01:27:26] 足够物理准确的
[01:27:26--01:27:29] 一个环境中可以可复现的
[01:27:29--01:27:31] 就以及可以可修正的
[01:27:31--01:27:33] 去产生相应的行动
[01:27:33--01:27:35] 并且观测到其结果
[01:27:35--01:27:37] 我认为这个才需要是一个仿真
[01:27:37--01:27:39] 那我当然解释一下就是说
[01:27:39--01:27:41] 物理准确就是说它的环境
[01:27:41--01:27:44] 以及你所交互的这些物体
[01:27:44--01:27:44] 我认为
[01:27:44--01:27:46] 他们需要足够的
[01:27:46--01:27:48] 与真实世界的物理去对标
[01:27:48--01:27:50] 那这个对标不只是一个看起来像
[01:27:50--01:27:53] 不只是一个在几何上像
[01:27:53--01:27:54] 它的可能摩擦力
[01:27:54--01:27:56] 它的可能更多的这些物理参数
[01:27:56--01:27:57] 也要足够的
[01:27:57--01:27:58] 去对齐
[01:27:58--01:27:59] 这是第一
[01:27:59--01:28:00] 第二可复现
[01:28:00--01:28:01] 就是说
[01:28:01--01:28:04] 假如说我去跑100遍仿真
[01:28:04--01:28:05] 我有一个
[01:28:05--01:28:06] 足够高的一个
[01:28:06--01:28:07] 系数
[01:28:07--01:28:08] 不见得一定是100
[01:28:08--01:28:10] 可能是95
[01:28:10--01:28:11] 99
[01:28:11--01:28:12] 我的这个结果
[01:28:12--01:28:14] 是相同的
[01:28:14--01:28:15] 我觉得这个是很关键的一件事
[01:28:15--01:28:17] 另外一个呢就是说
[01:28:17--01:28:18] 当我去
[01:28:18--01:28:20] 在我相同的环境
[01:28:20--01:28:21] 相同的其实点
[01:28:21--01:28:23] 改变我的行动
[01:28:23--01:28:24] 我可以看到
[01:28:24--01:28:27] 可能这个所改变的这个结果
[01:28:27--01:28:30] 我觉得这几个点都是足够需要的
[01:28:30--01:28:33] 那咱们再看一下视频模型
[01:28:33--01:28:35] 那视频模型我认为就是说
[01:28:35--01:28:38] 它可能更多的是一个对下一针的一个预测
[01:28:38--01:28:39] 它可以看到一些
[01:28:39--01:28:41] 我觉得世界的变换
[01:28:41--01:28:43] 对吧但是一
[01:28:43--01:28:45] 它可能很难去复现
[01:28:45--01:28:46] 它可能很难去复现
[01:28:46--01:28:48] 那如果很难去复现
[01:28:48--01:28:52] 我就很难去做大规模的可靠的评测
[01:28:52--01:28:54] 第二呢就是说
[01:28:54--01:28:55] 它没有行动
[01:28:55--01:28:58] 它很难有足够准确的行动
[01:28:58--01:28:59] 那这个点呢我也
[01:28:59--01:29:02] 很难去要不然就做评测要不然就产生数据
[01:29:02--01:29:03] 对
[01:29:03--01:29:05] 第三呢就是当我改变了一些
[01:29:05--01:29:07] 在初始状态的条件的时候
[01:29:07--01:29:09] 它是否可以产生其他的这些
[01:29:09--01:29:10] 行动
[01:29:10--01:29:12] 这个也是很难的一件事
[01:29:12--01:29:13] 所以我觉得普遍的事情
[01:29:13--01:29:16] 视频模型现在还不能称之为仿真
[01:29:16--01:29:18] 当然就是
[01:29:18--01:29:19] 我认为世界模型
[01:29:19--01:29:21] 是有机会
[01:29:21--01:29:22] 真正的
[01:29:22--01:29:24] 成为仿真的一类的
[01:29:24--01:29:26] 世界模型成为仿真的一类
[01:29:26--01:29:26] 对
[01:29:26--01:29:29] 那么怎么去理解这件事就是说
[01:29:29--01:29:33] 我认为世界模型它的底层其实是一个生成模型
[01:29:33--01:29:37] 所以它的优势是可以更加广泛的
[01:29:37--01:29:38] 生成
[01:29:38--01:29:42] 相对真实没有我觉得没有仿真的物理真实
[01:29:42--01:29:43] 但是相对
[01:29:43--01:29:44] 真实
[01:29:44--01:29:45] 这样的
[01:29:45--01:29:46] 对于世界的预测
[01:29:46--01:29:48] 甚至是我认为
[01:29:48--01:29:48] 后面
[01:29:48--01:29:50] 接触了机器人
[01:29:50--01:29:51] 对于这个
[01:29:51--01:29:53] 下一步的这个本体的行动
[01:29:53--01:29:54] 我觉得这个是
[01:29:54--01:29:55] 可行的
[01:29:55--01:29:56] 就这件事
[01:29:56--01:29:58] 在未来的可能
[01:29:58--01:29:59] 一段时间
[01:29:59--01:30:00] 是可行的
[01:30:00--01:30:00] 对
[01:30:00--01:30:04] 但是呢就是说我认为
[01:30:04--01:30:08] 仿真和世界模型我认为他们并不是一个
[01:30:08--01:30:09] 谁会取代谁
[01:30:09--01:30:10] 的一个关系
[01:30:10--01:30:13] 我认为他们两者更多的会是一个共生的一个关系
[01:30:13--01:30:16] 怎么去理解这件事
[01:30:16--01:30:17] 比如说
[01:30:17--01:30:22] 我们其实服务的客户里头可能有一个很大比例都是世界模型的客户
[01:30:22--01:30:22] 那
[01:30:22--01:30:23] 其实
[01:30:23--01:30:25] 世界模型的客户
[01:30:25--01:30:26] 他们的
[01:30:26--01:30:28] 他们为了他们的预测能力
[01:30:28--01:30:30] 逐步的去提升
[01:30:30--01:30:32] 就物理的grounding能力逐步的去提升
[01:30:32--01:30:34] 他需要有更好的物理的数据
[01:30:34--01:30:36] 来帮助他们去提升
[01:30:36--01:30:39] 对吧他需要有更加真实的物理
[01:30:39--01:30:40] 他需要有更加
[01:30:40--01:30:42] 贴近人的行为
[01:30:42--01:30:43] 的行动
[01:30:43--01:30:44] 来帮助他们去提升
[01:30:44--01:30:48] 所以在这的话呢其实仿真会去帮助他们
[01:30:48--01:30:50] 另外一方面呢其实呢
[01:30:50--01:30:54] 由于世界模型呢他可能具备更好的一个生成能力
[01:30:54--01:30:55] 所以呢
[01:30:55--01:30:57] 他又可以帮助仿真的数据
[01:30:57--01:30:59] 帮助的仿真的结果
[01:30:59--01:31:01] 去做更好的一个泛化
[01:31:01--01:31:05] 或者说呢用仿真基于世界模型去做更好的一个grounding
[01:31:05--01:31:06] 两者结合
[01:31:06--01:31:09] 有更加准确的生成式的一个输出
[01:31:09--01:31:12] 那从我们的角度呢我们可能
[01:31:12--01:31:15] 过去几个月我们和我们的
[01:31:15--01:31:16] 世界模型的客户
[01:31:16--01:31:20] 可能越来越多的形成了一个共生的一个关系
[01:31:20--01:31:21] 共生的一个关系就是说
[01:31:21--01:31:22] 他们在用我们的数据
[01:31:22--01:31:25] 我们在用他们的模型
[01:31:25--01:31:26] 两者一块
[01:31:26--01:31:28] 能够把这件事做的更大
[01:31:28--01:31:30] 我觉得这个可能是一个
[01:31:30--01:31:31] 后面就是说
[01:31:31--01:31:32] 仿真
[01:31:32--01:31:34] 世界模型他们两者相互的一个关系
[01:31:34--01:31:37] 我听起来仿真是世界模型的一种手段
[01:31:37--01:31:41] 我觉得其实很难说谁是谁的一个手段
[01:31:41--01:31:42] 我觉得
[01:31:42--01:31:42] 仿真
[01:31:42--01:31:45] 并不是世界模型的一个子集
[01:31:45--01:31:47] 或者世界模型也不是仿真的一个子集
[01:31:47--01:31:50] 我觉得他们俩可能应该是共同去
[01:31:50--01:31:52] 达到更大的一件事情
[01:31:52--01:31:54] 这件事就是为了智能
[01:31:54--01:31:56] 去提供更好的学习的能力
[01:31:56--01:31:57] 现在这三个团队
[01:31:57--01:31:59] 哪个团队跟你们合作最多
[01:31:59--01:32:01] 世界模型VLA和LLM
[01:32:01--01:32:04] 我觉得世界模型和VLA合作更多
[01:32:04--01:32:06] 是因为你们做的是robotic相关的数据
[01:32:06--01:32:09] 没错因为我们更多的还是关注在一个
[01:32:09--01:32:11] 物理的环境
[01:32:11--01:32:12] 里头
[01:32:12--01:32:14] 这个行动的经验
[01:32:14--01:32:16] 以及相应的这些的评价的准则
[01:32:16--01:32:17] 在这
[01:32:17--01:32:19] 那我觉得我们做的
[01:32:19--01:32:22] 相对比较少的是比较说一个数字化的一个环境
[01:32:22--01:32:23] 就是LLM就这一些
[01:32:23--01:32:25] 世界模型和VLA会相互吞并吗
[01:32:25--01:32:28] 我觉得他们其实在短期是一个很共生
[01:32:28--01:32:30] 我觉得就是相互依赖的一个关系
[01:32:30--01:32:31] 我觉得将来
[01:32:31--01:32:32] 我觉得
[01:32:32--01:32:35] 有可能在有一天两者可能会合而为一
[01:32:35--01:32:37] 但是其实本质上来讲我觉得
[01:32:37--01:32:39] 可能在很长的一段时间
[01:32:39--01:32:41] 我觉得他们两者都是相互依赖的一个关系
[01:32:41--01:32:42] 我们能不能把robotic
[01:32:42--01:32:46] 这个行业对标以前的智能驾驶来想
[01:32:46--01:32:47] 因为以前在自动驾驶
[01:32:47--01:32:50] vmo和特斯拉之争也延续了很长时间
[01:32:50--01:32:52] 今天的这些
[01:32:52--01:32:54] robotic的大脑公司似乎都在走vmo那条路
[01:32:54--01:32:56] 但是今天来看好像
[01:32:56--01:32:58] 特斯拉成为一个更主流的路线
[01:32:58--01:33:00] 当然vmo也做得很好
[01:33:00--01:33:01] 你是怎么看待这个问题的
[01:33:01--01:33:03] 以及你觉得机器人领域的
[01:33:03--01:33:04] vmo和特斯拉是谁
[01:33:04--01:33:08] 你为什么觉得这个现在可能大脑公司更像vmo这条路
[01:33:08--01:33:09] 因为他们
[01:33:09--01:33:12] 轻本体
[01:33:12--01:33:13] 收集很多的数据
[01:33:13--01:33:15] 感觉机器人公司更像特斯拉
[01:33:15--01:33:16] 理解你的意思
[01:33:16--01:33:19] 我可能观察到的情况就是说我先说一下就是
[01:33:19--01:33:21] 我觉得可能这件事会跟
[01:33:21--01:33:23] 自动驾驶很不一样
[01:33:23--01:33:25] 就是我认为可能
[01:33:25--01:33:27] 就不见得会follow
[01:33:27--01:33:29] 特斯拉或者followvmo
[01:33:29--01:33:31] 我觉得这个原因就是说刚才我提到的他的
[01:33:31--01:33:33] 底层的数据逻辑
[01:33:33--01:33:38] 如果底层的数据逻辑是基于一个基于本体的
[01:33:38--01:33:39] 数据闭环
[01:33:39--01:33:40] 作为
[01:33:40--01:33:41] 99%
[01:33:41--01:33:42] 90%
[01:33:42--01:33:43] 以上的数据量
[01:33:43--01:33:46] 那么我认为他一定会follow要不然就是特斯拉
[01:33:46--01:33:48] 要不然就是vmo的逻辑
[01:33:48--01:33:48] 那么我觉得
[01:33:48--01:33:52] 他们是在一个相对更垂直的场景里在做这个事情
[01:33:52--01:33:53] 没错
[01:33:53--01:33:57] 相对更垂直的场景且他们的智能相对有限
[01:33:57--01:34:00] 就是我觉得自动驾驶的智能还是相对有限的
[01:34:00--01:34:02] 他更多是一个端侧的模型对吗
[01:34:02--01:34:04] 端侧的模型然后他的任务
[01:34:04--01:34:05] 其实
[01:34:05--01:34:06] 比较单一
[01:34:06--01:34:08] 对吧就是把车开好了
[01:34:08--01:34:11] 对比如说他遇到这样的一个杯子他的
[01:34:11--01:34:12] 反应就是
[01:34:12--01:34:13] 我要避开他
[01:34:13--01:34:14] 但是在机器人领域他
[01:34:14--01:34:17] 需要根据这个杯子是什么材质
[01:34:17--01:34:18] 他是一个多袋的杯子
[01:34:18--01:34:20] 然后来决定他的手的力度所以他的
[01:34:20--01:34:21] 复杂系数有更高
[01:34:21--01:34:22] 没错
[01:34:22--01:34:27] 就是他的就场景更加单一他的唯一的物理就是
[01:34:27--01:34:28] 这个车和地面的物理
[01:34:28--01:34:32] 他不希望去撞到任何的东西对所以所以就是说
[01:34:32--01:34:33] 我认为他的
[01:34:33--01:34:35] 智能水平低一些
[01:34:35--01:34:36] 对就他的智能水平会低一些
[01:34:36--01:34:40] 当然我认为有两种方式去解决自动驾驶问题
[01:34:40--01:34:41] 一种方式就是
[01:34:41--01:34:43] 不是VLA就是直接VA
[01:34:43--01:34:45] VA是VLA的下一代吗
[01:34:45--01:34:46] 就我觉得不是
[01:34:46--01:34:48] 就VA我觉得就更多
[01:34:48--01:34:49] 就是就行动输出
[01:34:49--01:34:51] 对吧那他其实
[01:34:51--01:34:55] 我觉得他其实更多是因为我在端册上可能算力没有那么大
[01:34:55--01:34:55] 对吧
[01:34:55--01:34:59] 且有可能就是说这件事所需要的智能是相对有限的
[01:34:59--01:35:03] 且呢就是说我有足够的数据了以后我可以基于模仿学习
[01:35:03--01:35:07] 就是把这个模型压到
[01:35:07--01:35:10] 就是更加贴近于这个司机的行为上
[01:35:10--01:35:10] 就够了
[01:35:10--01:35:11] 对吧那很有可能
[01:35:11--01:35:13] VA有可能
[01:35:13--01:35:15] 就是这件事的终局
[01:35:15--01:35:16] 这是有可能的一件事
[01:35:16--01:35:20] 但是呢还有一种方式就是说我做一个更加通用的VLA
[01:35:20--01:35:22] 我再让他去开车
[01:35:22--01:35:24] 这件事一定也是可行的将来
[01:35:24--01:35:29] 对吧所以我的意思就是说自动驾驶这件事我觉得它的一个
[01:35:29--01:35:29] 我其实
[01:35:29--01:35:31] 没有太想清楚的一个点就是
[01:35:31--01:35:34] 会不会有两条路线都能通
[01:35:34--01:35:36] 一条路线就是
[01:35:36--01:35:38] 由于他的智能上限没有那么高
[01:35:38--01:35:40] 因此我VA就通了
[01:35:40--01:35:40] 对吧
[01:35:40--01:35:41] 还有一条路径就是
[01:35:41--01:35:43] 我做了一个VA他也能做
[01:35:43--01:35:45] 但是这个VA有可能他还能做其他的事
[01:35:45--01:35:47] 我觉得这两条路径
[01:35:47--01:35:49] 有可能都是成的
[01:35:49--01:35:49] 对
[01:35:49--01:35:50] 没有了语言
[01:35:50--01:35:54] 在VA里面没有语言你觉得他的智能水平肯定是会降低的
[01:35:54--01:35:55] 他的智能水平会大大的降低
[01:35:55--01:35:57] 那当然这个我觉得是从
[01:35:57--01:36:00] 智能的角度从学习范式的角度
[01:36:00--01:36:01] 去讨论
[01:36:01--01:36:03] 那另外一方面我觉得从数据的角度
[01:36:03--01:36:04] 一样就是说
[01:36:04--01:36:05] 可能
[01:36:05--01:36:07] 自动驾驶
[01:36:07--01:36:10] 本质上来讲还是去用模仿学习
