[00:00:00--00:00:08] 那接下来我们把时间交给马晓彤博士,来给我们分享他们在这个方向上最新的观点。
[00:47:01--00:47:02] 然后maybe it's stream,
[00:47:02--00:47:04] 然后我们每天去整理一次,
[00:47:04--00:47:06] 然后所有我需要记住concept,
[00:47:06--00:47:08] 然后train一下这个模型,
[00:47:08--00:47:12] 然后我觉得这些都可能是在之前觉得很不可思议,
[00:47:12--00:47:16] 然后很那个无法实现的东西,
[00:47:16--00:47:20] 但是在现在就是随着这个技术的发展变得都make sense起来的,
[00:47:20--00:47:21] 对。
[00:47:21--00:47:24] 好,非常感谢小丛今天带来的精彩的分享,
[00:47:24--00:47:29] 然后小丛的公司也刚刚拿到美团领头的5000万美金的A轮融资,
[00:47:29--00:47:31] 所以也是一个非常好的时机,
[00:47:31--00:47:32] 去加入他们的公司,
[00:47:32--00:47:33] 不管是作为师生也好,
[00:47:33--00:47:35] 还是作为Fortime Researcher也好,
[00:47:35--00:47:36] 他们有大量的资源,
[00:47:36--00:47:38] 然后有非常独特的见解,
[00:47:38--00:47:40] 可以去做一些很前沿的探索,
[00:47:40--00:47:43] 然后因为今天小丛没有给那个联系方式,
[00:47:43--00:47:44] 可能没有给,
[00:47:44--00:47:48] 然后大家可以通过马卡龙AI的官网或者小丛的主页,
[00:47:48--00:47:50] 然后如果有更多想要探讨的,
[00:47:50--00:47:54] 可以通过这些渠道去跟小丛去进行进一步的一个沟通,
[00:47:54--00:47:57] 对,然后包括是实习啊或者是正式职工啊等等,
[00:47:57--00:48:00] 对,然后再次感谢小丛今天带来的分享,
[00:48:00--00:48:02] 然后我们谢谢小丛,
[00:48:02--00:48:03] 我们下一场,
[00:48:03--00:48:04] 好,
