[00:00:05--00:00:07] Hello大家好,我是小骏
[00:43:36--00:43:38] 规模这么大
[00:43:38--00:43:40] 但是总感觉产品做好
[00:43:40--00:43:42] 那你就要给字节这种文化下
[00:43:42--00:43:44] 做chatGP这种产品
[00:43:44--00:43:46] 我感觉肯定是做的更成功的
[00:43:46--00:43:47] 说回来
[00:43:47--00:43:49] OpenAI可能最大的战略误判还是
[00:43:49--00:43:51] 整个预训练和coding
[00:43:51--00:43:52] 这两个没做好
[00:43:52--00:43:54] 这两个还是最根本的
[00:43:54--00:43:57] 因为之前它是有很强的领先优势的
[00:43:57--00:43:59] 可能领先一年两年
[00:43:59--00:44:01] 因为SAM不是技术出身
[00:44:01--00:44:03] 可能对技术路线或者
[00:44:03--00:44:05] 做哪些技术决策
[00:44:05--00:44:07] 可能还是不如
[00:44:07--00:44:09] 这种技术出身的人更果断
[00:44:09--00:44:12] 其实你刚才说chatGP没有灵魂
[00:44:12--00:44:13] 我在想会不会今天的产品
[00:44:13--00:44:15] 其实不需要人赋予它灵魂
[00:44:15--00:44:17] 因为本质是AI抢
[00:44:17--00:44:19] 就是你要一个产品经理
[00:44:19--00:44:20] 去赋予大家灵魂
[00:44:20--00:44:22] 未必是一种ego
[00:44:22--00:44:24] 我觉得有可能最后只拼GPU了
[00:44:24--00:44:26] 因为最后大家都能卖过那个基点
[00:44:26--00:44:28] 可能全球三五家五六家
[00:44:28--00:44:30] 都能卖过AI的基点
[00:44:30--00:44:32] 有可能就是拼GPU了
[00:44:32--00:44:35] 因为AI自己成长的比人快
[00:44:35--00:44:39] 已经自动化了AI的research整个process
[00:44:39--00:44:42] 有可能研究员插不上手了
[00:44:42--00:44:44] 刚才我问你今天的
[00:44:44--00:44:46] Anthropic被高估了吗
[00:44:46--00:44:48] 今天的OpenAI被低估了吗
[00:44:48--00:44:50] 我觉得阶段性被低估了吧
[00:44:50--00:44:53] 因为最本质的还是模型的进步
[00:44:53--00:44:55] OpenAI这个文化这个组织
[00:44:55--00:44:57] 我觉得还是能继续推出来
[00:44:57--00:44:59] Solta Model
[00:44:59--00:45:01] 我判断OpenAI的coding和agent的能力
[00:45:01--00:45:04] 大概率还是能追上Anthropic
[00:45:04--00:45:06] 因为最近战略大转向
[00:45:06--00:45:08] 我觉得也是个好事吧
[00:45:08--00:45:11] 然后我觉得更多是两个公司的文化
[00:45:11--00:45:12] OpenAI的文化
[00:45:12--00:45:14] OpenAI一直想做爱因斯坦
[00:45:14--00:45:18] Anthropic就是把整个白领工作给automate
[00:45:18--00:45:20] OpenAI想跨过coding
[00:45:20--00:45:21] 以前没那么重视coding
[00:45:21--00:45:23] 想直接去做爱因斯坦
[00:45:23--00:45:24] 但是你发现这条路很难
[00:45:24--00:45:26] 而且没那么实用
[00:45:26--00:45:29] 因为Anthropic做的很实用
[00:45:29--00:45:30] 实战特别好
[00:45:30--00:45:32] 所以revenue爆发也快
[00:45:32--00:45:34] 有可能让他们获取更多资源
[00:45:34--00:45:35] 加速整个AGI
[00:45:35--00:45:38] 有可能是一个特别务实的路线
[00:45:38--00:45:40] 但OpenAI今天也意识到
[00:45:40--00:45:41] 这条路线很重要
[00:45:41--00:45:43] 所以也调转墙头
[00:45:43--00:45:46] 也要把这条路做好吧
[00:45:46--00:45:48] 所以我的判断是
[00:45:48--00:45:50] OpenAI也不会掉队
[00:45:50--00:45:53] 可能跟Anthropic还是齐头并进
[00:45:53--00:45:55] Google肯定也能上来
[00:45:55--00:45:58] 所以取决于coding的难度系数吧
[00:45:58--00:46:01] 所以我是感觉今年的格局肯定还是定不下来
[00:46:01--00:46:03] 还是你追我敢交替领先的呀
[00:46:03--00:46:06] OpenAI马上就要发新模型了
[00:46:06--00:46:08] 对于即将要发布的模型
[00:46:08--00:46:10] 你有哪些观察和预测吗
[00:46:10--00:46:13] 我觉得是真正意义上的GPT-5吧
[00:46:13--00:46:15] 之前GPT-5跳票太多了
[00:46:15--00:46:19] 之前的5.1 5.2到5.4
[00:46:19--00:46:22] 可能更多还是GPT-4 level的model吧
[00:46:22--00:46:25] 我觉得Spark有可能是真正意义上的GPT-5
[00:46:25--00:46:26] 待机上的提升吧
[00:46:26--00:46:27] 这是一个预期吧
[00:46:27--00:46:30] 第二个有可能他们在Sway
[00:46:30--00:46:32] 就是软件开发软件工程
[00:46:32--00:46:35] 有可能还是没有Anthropic强
[00:46:35--00:46:38] 但是其他地方可能都会大幅的提升
[00:46:38--00:46:39] 因为Anthropic在coding
[00:46:39--00:46:43] 在软件工程是优化特别多的
[00:46:43--00:46:44] 但是长期来看
[00:46:44--00:46:47] agent的能力我觉得都是能上来的
[00:46:47--00:46:50] 第三就是我感觉chat和code
[00:46:50--00:46:54] 那个all in one的产品可能是对的策略吧
[00:46:54--00:46:58] 但Spark更多是一个新的平台嘛
[00:46:58--00:47:01] 未来可能每个月都有新的model出来
[00:47:01--00:47:03] 在这个平台上持续迭代
[00:47:03--00:47:04] 有可能会迭代很久
[00:47:04--00:47:07] 我觉得最后可能还是比拼算力了
[00:47:07--00:47:09] OpenAI的算力可能比Anthropic要多很多
[00:47:09--00:47:12] 那取决于后面的迭代速度了
[00:47:12--00:47:16] 那接下来我们来聊聊硅谷育三家的最后一家
[00:47:16--00:47:18] 巨头Google的Gemini
[00:47:18--00:47:21] 对我感觉Gemini 3.0当时是被高估了
[00:47:21--00:47:23] 其实Benchmark刷的很高
[00:47:23--00:47:25] 其实你看C端其实没有持续增长
[00:47:25--00:47:27] 用户也不太买单
[00:47:27--00:47:29] Gemini看起来很好
[00:47:29--00:47:32] 但实际体验用起来也没那么好
[00:47:32--00:47:36] 我感觉Benchmark有点过度优化了
[00:47:36--00:47:37] 产品能力不行
[00:47:37--00:47:38] 其实你看Gemini
[00:47:38--00:47:41] 其实你看Gemini 3.0连PC的桌面版
[00:47:41--00:47:43] 今天都还没有
[00:47:43--00:47:45] 然后它们更多还是一个工程师
[00:47:45--00:47:47] 或者技术驱动的文化
[00:47:47--00:47:51] 其实PM这个文化好像也没有那么强
[00:47:51--00:47:52] 或者没那么强是吧
[00:47:52--00:47:54] 其实你看Gemini 3.0
[00:47:54--00:47:55] 当时热度很高
[00:47:55--00:47:58] 感觉像Google王者归来
[00:47:58--00:48:00] 除了让Google的股价翻倍了
[00:48:00--00:48:02] 证明不是AI的loser了
[00:48:02--00:48:05] 其他好像也没捞到太多好处吧
[00:48:05--00:48:07] 那个3.1好像也没有真的
[00:48:07--00:48:09] 没有真的大的突破
[00:48:09--00:48:14] 我觉得反而让它们沉浸于Gemini 3.0的
[00:48:14--00:48:16] 成功喜悦之下
[00:48:16--00:48:18] 严重误判了coding的重要性
[00:48:18--00:48:21] 这个可能还是一个失误吧
[00:48:21--00:48:24] 然后但我听说最近coding也上到了公司最高月限级
[00:48:24--00:48:27] 但其实已经晚了三四个月了
[00:48:27--00:48:30] 才意识到coding的重要性
[00:48:30--00:48:32] 其实有时候火一个模型
[00:48:32--00:48:34] 其实没啥
[00:48:34--00:48:36] 还是要持续的deliver牛逼的模型
[00:48:36--00:48:40] 其实Gemini之前战略上更重视
[00:48:40--00:48:41] C端和多摩泰
[00:48:41--00:48:43] 其实是忽视了coding的
[00:48:43--00:48:45] 因为25 26年可能是C端
[00:48:45--00:48:47] 格局最关键的两年窗口
[00:48:47--00:48:48] 因为你错过了C端
[00:48:48--00:48:50] 有可能未来也搬不回来了
[00:48:50--00:48:53] 所以就忙着跟ChelseaB征C端
[00:48:53--00:48:57] 反而给了AnswerPick在coding一个非常好的黄金窗口
[00:48:57--00:48:59] AnswerPick过去也抓住了
[00:48:59--00:49:03] 但其实有可能这个时候Google应该降低在多摩泰的投入
[00:49:03--00:49:06] 优先把coding补回来了
[00:49:06--00:49:08] 如果你coding落后三个月
[00:49:08--00:49:10] 以后可能就落后一年
[00:49:10--00:49:11] 因为它会放大
[00:49:11--00:49:13] 我觉得主要还是组织问题吧
[00:49:13--00:49:17] Google的组织文化可能也跟Open这两个更像
[00:49:17--00:49:19] 就是说它是一个自下而上的文化
[00:49:19--00:49:22] 每个人可能都有自己想做的
[00:49:22--00:49:23] 有重要的人
[00:49:23--00:49:25] Signature的人占住位置
[00:49:25--00:49:27] 有些东西可能也不容易被加上去
[00:49:27--00:49:34] 然后反正我感觉Gemini的印度人比例越来越多了
[00:49:34--00:49:36] 我也不知道这是一个好的信号
[00:49:36--00:49:38] 或者坏的信号
[00:49:38--00:49:40] 反正我觉得长期来讲
[00:49:40--00:49:43] 过后还是叫最领先的追随者
[00:49:43--00:49:46] 资源和布局上没啥短板
[00:49:46--00:49:50] 战略上只要跟随AnswerPick和OpenIcon就还可以
[00:49:50--00:49:52] 我觉得掉队的可能性是很低的
[00:49:52--00:49:55] 但短期好像还是需要调整的
[00:49:55--00:49:58] 短期我觉得可能也拿不出太多牛逼的东西
[00:49:58--00:50:00] 拉长看总是能追上去的
[00:50:00--00:50:03] 我觉得拉长看Google可能是最稳的
[00:50:03--00:50:05] 因为算力是最足的
[00:50:05--00:50:07] 现金流是最足的
[00:50:07--00:50:09] 其实Google的Worst case就是
[00:50:09--00:50:11] TPU都可以变成另外一个英伟达
[00:50:11--00:50:12] 对吧
[00:50:12--00:50:17] 然后反正虽然他们有Politics各种组织
[00:50:17--00:50:19] 移动缓慢各种问题
[00:50:19--00:50:23] 但是你看这个公司已经到第三代职业经理人了
[00:50:23--00:50:24] 这个挺厉害的
[00:50:24--00:50:27] 其实很少有科技公司能到第三代职业经理人
[00:50:27--00:50:29] 而且运行的很好
[00:50:29--00:50:32] 它更像是一个机器或者体系化的运转了
[00:50:32--00:50:35] 甚至说你可以任意换掉一两个两三个
[00:50:35--00:50:39] 好像对这个机器都没啥太大的影响
[00:50:39--00:50:41] 而且他们优势有很多
[00:50:41--00:50:44] 有操作系统有Google Workspace
[00:50:44--00:50:45] 对吧
[00:50:45--00:50:46] 然后
[00:50:46--00:50:47] 对
[00:50:47--00:50:49] 你刚才说了一个点很有意思
[00:50:49--00:50:52] 你说八一代非常厉害的模型
[00:50:52--00:50:53] 没啥用
[00:50:53--00:50:55] 要持续的deliver模型
[00:50:55--00:50:58] 那这种持续性你觉得是有什么带来的
[00:50:58--00:51:01] 第一你每年要几百亿美金的投入
[00:51:01--00:51:03] 第二你管理层
[00:51:03--00:51:05] Founder的魄力
[00:51:05--00:51:06] 认知
[00:51:06--00:51:07] 战略的Bet
[00:51:07--00:51:10] 第三你要有牛逼的团队
[00:51:10--00:51:14] 其实我感觉持续deliver牛逼的模型
[00:51:14--00:51:17] 是对所有科技公司的一个大考
[00:51:17--00:51:20] 其实这个考验是巨大的
[00:51:20--00:51:23] 有没有公司每年能投几百亿美金
[00:51:23--00:51:25] 连投三到五年
[00:51:25--00:51:27] 管理层是不是有这个认知
[00:51:27--00:51:30] 有没有这么多人才的吸引力号召力
[00:51:30--00:51:31] 而且要对的团队
[00:51:31--00:51:33] 而且要有战略的Bet
[00:51:33--00:51:34] 今天只有一个模型都不够了
[00:51:34--00:51:36] 而且要跟产品策略结合
[00:51:36--00:51:37] 所有人去做coding
[00:51:37--00:51:40] 你也不能全部都只follow
[00:51:40--00:51:42] 那你肯定也站不到前面
[00:51:42--00:51:44] 肯定要有自己的Bet
[00:51:44--00:51:45] 对吧
[00:51:45--00:51:47] 在callback你之前说的一句话
[00:51:47--00:51:48] 就是你说
[00:51:48--00:51:50] 你提到onthropic的时候说
[00:51:50--00:51:53] 当所有人觉得RL强化学习好的时候
[00:51:53--00:51:55] 他们也没有把强化学习当成神
[00:51:55--00:51:58] 也没有去做所谓的reasoning model
[00:51:58--00:52:00] 而是选择Bet的coding
[00:52:00--00:52:03] 这成就了onthropic今天的地位
[00:52:03--00:52:06] 那同样今天当所有人都在追赶coding
[00:52:06--00:52:08] 我们是不是能够跳过这一幕
[00:52:08--00:52:09] 去直接Bet下一步
[00:52:09--00:52:11] 你觉得还成立吗
[00:52:11--00:52:12] 既然coding都做慢了
[00:52:12--00:52:14] 那跳过它可不可以呢
[00:52:14--00:52:15] 我觉得没必要跳过
[00:52:15--00:52:17] 它可能还是一个基础能力
[00:52:17--00:52:19] 除非有一种可能就是
[00:52:19--00:52:21] C端这个个人助理
[00:52:21--00:52:23] 未来可能真的非常重要
[00:52:23--00:52:25] C端可能跟这个高价值任务是融合的
[00:52:25--00:52:27] 也有可能coding和agentic
[00:52:27--00:52:29] 这种高价值任务的能力
[00:52:29--00:52:31] 最后大家都能追上来
[00:52:31--00:52:32] 但你掌握了C端的分发
[00:52:32--00:52:34] 可能还是很重要
[00:52:34--00:52:36] 除非说你说你去做数学
[00:52:36--00:52:37] 对吧
[00:52:37--00:52:38] 但数学能表达的东西比较有限
[00:52:38--00:52:39] 或者你去做世界模型
[00:52:39--00:52:41] 但世界模型今天还没有proven
[00:52:41--00:52:44] 包括你做下一代范式
[00:52:44--00:52:45] 但下一代范式呢
[00:52:45--00:52:48] 这几个frontier lab都投入很大
[00:52:48--00:52:51] 有可能是在巨人的肩膀上实现的
[00:52:51--00:52:53] 我不知道跳过去做啥
[00:52:53--00:52:55] 就是好像
[00:52:55--00:52:57] 今天这个大惊慌也挖出来了
[00:52:57--00:52:59] 从chatbot第一幕
[00:52:59--00:53:01] 到coding agent第二幕
[00:53:01--00:53:05] 到第三幕就是一个automated AI researcher
[00:53:05--00:53:09] 好像这三幕就是主线
[00:53:09--00:53:12] 你跳出去是不是就偏离主线了
[00:53:12--00:53:14] 那现在来总结一下
[00:53:14--00:53:17] 上面这些硅谷玉三家吧
[00:53:17--00:53:18] 对
[00:53:18--00:53:21] 我觉得硅谷玉三家过去三年
[00:53:21--00:53:23] 有时候你觉得open爱无敌
[00:53:23--00:53:26] 三四个月前又觉得Gemini王者归来
[00:53:26--00:53:29] 今天是AnswerPick春风得意
[00:53:29--00:53:30] 我是感觉每个公司
[00:53:30--00:53:32] 都有自己的窗口吧
[00:53:32--00:53:33] 各领风骚100天
[00:53:33--00:53:35] 还是会交替领先
[00:53:35--00:53:38] 以这三家的人才资源和组织
[00:53:38--00:53:41] 我感觉都不太会轻易掉队
[00:53:41--00:53:42] 短期是被低估了
[00:53:42--00:53:44] 你就买谁的股票就可以
[00:53:44--00:53:47] 因为这些公司年底都IPO了
[00:53:47--00:53:49] 有可能未来就是
[00:53:49--00:53:52] 他们IPO以后
[00:53:52--00:53:54] 投资者会卖其他的所有科技公司
[00:53:54--00:53:56] 去买模型公司
[00:53:56--00:53:59] 模型公司可能就是未来科技投资的主线
[00:53:59--00:54:01] 刚才提到
[00:54:01--00:54:03] 能做好的模型或做好的AI产品
[00:54:03--00:54:06] 是对所有科技公司的一个大考
[00:54:06--00:54:08] 做不好可能就是要被淘汰的
[00:54:08--00:54:13] 做的好可能就是受到投资者喜欢的
[00:54:13--00:54:14] 好的
[00:54:14--00:54:16] 这里不作为投资建议
[00:54:16--00:54:18] 除了硅谷玉三家
[00:54:18--00:54:22] 我们也点评一下MetaTBD和XAI吧
[00:54:22--00:54:25] 你看一季度Meta在重金挖人之后
[00:54:25--00:54:26] 开始交作业了
[00:54:26--00:54:28] 你看好小扎和
[00:54:28--00:54:30] Meta王主导的Meta大模型
[00:54:30--00:54:32] 他们到底在batt什么
[00:54:32--00:54:34] 我觉得Meta是最有机会的挑战者
[00:54:34--00:54:36] 其实已经取代了XAI
[00:54:36--00:54:39] 成为了硅谷四号种子的选手
[00:54:39--00:54:43] 其实MetaTBD这个team人才密度是很高的
[00:54:43--00:54:45] 也知道各家的know-how
[00:54:45--00:54:47] 因为他们从各个AI lab汇聚过来
[00:54:47--00:54:49] 其实进步速度是很陡峭的
[00:54:49--00:54:52] 9到10个月做出了一个还不错的model
[00:54:52--00:54:56] 我觉得长期模型能力上是有机会catch up
[00:54:56--00:54:57] tier1
[00:54:57--00:54:59] 其实你看他们思路也比较简单
[00:54:59--00:55:01] 七八成就学Google
[00:55:01--00:55:02] 对标Gemini
[00:55:02--00:55:03] 对吧
[00:55:03--00:55:05] 也有nono banana
[00:55:05--00:55:07] 他们也有一个mongo
[00:55:07--00:55:08] 文生图的模型
[00:55:08--00:55:09] 多么泰模型
[00:55:09--00:55:12] 另外可能20%也学OpenAI吧
[00:55:12--00:55:15] 就是OpenAI的post-train和R2做的比较好
[00:55:15--00:55:18] 但是我感觉Meta这边的产品战略
[00:55:18--00:55:20] 还不知道是不是清楚
[00:55:20--00:55:23] 即便他未来有一个好的model了
[00:55:23--00:55:25] 但总是要把好的model
[00:55:25--00:55:27] 最后deliver到产品上的
[00:55:27--00:55:29] 以Meta的特点
[00:55:29--00:55:30] 可能还是做个人助理
[00:55:30--00:55:32] 个人朋友会好吧
[00:55:32--00:55:33] 就是更低门槛
[00:55:33--00:55:36] 或者就是把OpenCloud做一个更低门槛的
[00:55:36--00:55:38] 包括你看他们收购了minus
[00:55:38--00:55:39] 如果真的能用好minus
[00:55:39--00:55:42] 有可能也是挺有机会的
[00:55:42--00:55:45] 我觉得是后面比较期待Meta
[00:55:45--00:55:48] 到底推出什么样的agent的产品
[00:55:48--00:55:49] 但说实话
[00:55:49--00:55:50] 我是感觉中国公司的
[00:55:50--00:55:53] 中国团队的产品创新力都比Meta要强的
[00:55:53--00:55:56] 其实硅谷公司是擅长技术模型的
[00:55:56--00:55:58] 这个layer的创新
[00:55:58--00:56:01] 其实中国团队是擅长产品的创新的
[00:56:01--00:56:04] 我是觉得Meta产品创新力
[00:56:04--00:56:06] 并没有字节那么强
[00:56:06--00:56:09] 其实你产品和模型codesign一起做好
[00:56:09--00:56:10] 向下反推模型
[00:56:10--00:56:11] 可能也是一个思路
[00:56:11--00:56:14] 但另外就是长期看
[00:56:14--00:56:16] 我不知道Meta这个团队稳定不稳定吧
[00:56:16--00:56:18] 因为砸钱这个文化
[00:56:18--00:56:20] 也不知道是不是健康的
[00:56:20--00:56:22] 因为你砸钱很多钱
[00:56:22--00:56:24] 很多人就是为了赚钱
[00:56:24--00:56:25] 就在这
[00:56:26--00:56:27] 先苟着
[00:56:27--00:56:29] 先deliver成绩单好了
[00:56:29--00:56:33] 可能就不容易take a risk
[00:56:33--00:56:34] 愿意去冒险
[00:56:34--00:56:37] 我感觉OpenAI还是愿意冒险的一个文化和组织
[00:56:37--00:56:39] 创新力是比较强的
[00:56:39--00:56:41] Minus被吸收进了Meta
[00:56:41--00:56:44] 他们现在有什么整合动作吗
[00:56:44--00:56:45] 对
[00:56:45--00:56:48] 我之前以为会集成到WhatsApp和inst
[00:56:48--00:56:50] 但好像一直还没做
[00:56:50--00:56:53] Minus的收入涨得挺快的
[00:56:53--00:56:54] 非常快
[00:56:54--00:56:55] 因为这个产品
[00:56:55--00:56:58] 一直在喊Harness这个概念
[00:56:58--00:56:59] 其实Minus
[00:56:59--00:57:01] 我感觉是Harness的鼻祖
[00:57:01--00:57:03] 是一个独立团队
[00:57:03--00:57:05] 把Harness这些东西做得很好
[00:57:05--00:57:07] 今天模型公司把Harness这个概念
[00:57:07--00:57:09] 像宗教一样喊出去了
[00:57:09--00:57:13] 其实Minus更像是Harness的鼻祖
[00:57:13--00:57:15] 看看后面能不能整合
[00:57:15--00:57:19] 主要可能是跟TPD的关系
[00:57:19--00:57:22] 你觉得Minus进入到Meta会发展的更好吗
[00:57:22--00:57:24] 不知道
[00:57:24--00:57:27] 你觉得Minus卖便宜了还是卖贵了
[00:57:27--00:57:29] 卖便宜了
[00:57:29--00:57:31] 肯定卖便宜了
[00:57:31--00:57:33] 但是再过一两个月
[00:57:33--00:57:35] Opus都出来了
[00:57:35--00:57:36] Minus还怎么卖呀
[00:57:36--00:57:39] 我是感觉AI的Beta更重要
[00:57:39--00:57:41] 整个大水漫灌
[00:57:41--00:57:43] 每个人都往上涨
[00:57:43--00:57:46] 有可能我们今天不需要想终局问题
[00:57:46--00:57:48] 大水漫灌
[00:57:48--00:57:50] 每个人都涨得很快
[00:57:50--00:57:52] Minus当时如果更快
[00:57:52--00:57:53] 是
[00:57:53--00:57:55] 可能有机会
[00:57:55--00:57:57] 更快更早的做到一个B0
[00:57:57--00:57:59] 两个B0的AR
[00:57:59--00:58:01] 有可能他今天就是一个百亿美金估值
[00:58:01--00:58:03] 其实中间可能
[00:58:03--00:58:05] 还可以更快
[00:58:05--00:58:06] 好的
[00:58:06--00:58:08] 那马斯克的FCAI呢
[00:58:08--00:58:09] 他们最近也是
[00:58:09--00:58:12] 刚刚经历了人事的大震荡
[00:58:12--00:58:13] 那不到底发生了什么
[00:58:13--00:58:14] 我感觉跟他们错过
[00:58:14--00:58:16] 整个coding的赛道也有关系
[00:58:16--00:58:17] 对吧
[00:58:17--00:58:18] 以及我在想为什么
[00:58:18--00:58:22] 马斯克他能够把Tesla FSD做的挺好的
[00:58:22--00:58:24] 做FCAI却不行呢
[00:58:24--00:58:27] 就是做FSD和FCAI这种大模型
[00:58:27--00:58:29] 它的本质差异是什么呀
[00:58:29--00:58:30] 对
[00:58:30--00:58:33] 我感觉FCAI短期是有点掉队的
[00:58:33--00:58:36] 因为最核心团队其实都离开了
[00:58:36--00:58:38] 其实founding team都挺强的
[00:58:38--00:58:39] 都是世界级的
[00:58:39--00:58:41] 果冻 自航 Tony这些
[00:58:41--00:58:44] 我觉得短期FCAI是挺难的
[00:58:44--00:58:47] 至少可能现在不在一个正确的路径上吧
[00:58:47--00:58:50] 除非说一浪两天又大调整了
[00:58:50--00:58:51] 就是
[00:58:51--00:58:53] 说它最重要的问题
[00:58:53--00:58:55] 我觉得还是战略摇摆吧
[00:58:55--00:58:59] 最初可能一浪相信大力出奇迹
[00:58:59--00:59:01] 弄几十万卡的集群
[00:59:01--00:59:02] 很大的模型
[00:59:02--00:59:05] 但是好像好像不是这样
[00:59:05--00:59:06] 你得把数据做好
[00:59:06--00:59:08] 你得把data efficiency做好
[00:59:08--00:59:12] 你盲目的skill这个模型参数
[00:59:12--00:59:14] 好像并不是问题的根本
[00:59:14--00:59:15] 今天的包吞奶
[00:59:15--00:59:16] 可能不是在模型大小
[00:59:16--00:59:17] 而是数据
[00:59:17--00:59:20] 别人可能用一个想你十几倍的模型
[00:59:20--00:59:21] 可能比你做的还好
[00:59:21--00:59:23] 这个就有点尴尬
[00:59:23--00:59:25] 甚至说中国的蒸馏的模型
[00:59:25--00:59:27] 可能都比XI今天要好
[00:59:27--00:59:28] 对吧
[00:59:28--00:59:31] 然后你比如说之前XI还想白糖多玛泰
[00:59:31--00:59:32] 他音频做得也很好
[00:59:32--00:59:34] 但好像这个也不
[00:59:34--00:59:36] 不是什么主线对吧
[00:59:36--00:59:37] 好像也没太大用
[00:59:37--00:59:39] 可能车上你跟Gorg对话还可以
[00:59:39--00:59:41] 中间可能也想做Chad Bull的
[00:59:41--00:59:43] 做AI搜索
[00:59:43--00:59:45] 今年可能想all in coding
[00:59:45--00:59:47] 其实
[00:59:47--00:59:49] 这个战略摇摆呢
[00:59:49--00:59:51] 就会让团队很乱
[00:59:51--00:59:52] 你这个事刚上手
[00:59:52--00:59:53] 还没做热
[00:59:53--00:59:54] Elon可能没有耐心
[00:59:54--00:59:56] 又拉去做另外一个事
[00:59:56--00:59:58] 我觉得还是耐心可能不够
[00:59:58--00:59:59] 战略不够坚定
[00:59:59--01:00:01] 就摇摆的比较快
[01:00:01--01:00:03] 而且团队老是换人嘛
[01:00:03--01:00:04] 所以
[01:00:04--01:00:06] 我觉得这个崩溃的源头
[01:00:06--01:00:07] 可能是Elon
[01:00:07--01:00:10] 可能对founding team有点不满意
[01:00:10--01:00:11] 就是
[01:00:11--01:00:14] 但其实founding team是最世界级的一个团队
[01:00:14--01:00:16] 其实这个是有点
[01:00:16--01:00:17] 有点
[01:00:17--01:00:19] 有点没有耐心了
[01:00:19--01:00:21] 然后
[01:00:21--01:00:22] 我觉得确实有
[01:00:22--01:00:23] 像你说的
[01:00:23--01:00:25] 跟Tesla FSD
[01:00:25--01:00:26] 这个区别
[01:00:26--01:00:28] 其实做好
[01:00:28--01:00:29] 模型的数据
[01:00:29--01:00:30] 可能是一个要有耐心
[01:00:30--01:00:32] 比较长期的一个工程
[01:00:32--01:00:34] 或者偏research the test
[01:00:34--01:00:36] 到底什么数据是好数据
[01:00:36--01:00:37] 怎么做的更好
[01:00:37--01:00:38] 但Elon呢
[01:00:38--01:00:39] 可能好像还是
[01:00:39--01:00:40] 希望短平快
[01:00:40--01:00:41] 整个feedback loop
[01:00:41--01:00:42] 最短
[01:00:42--01:00:44] 恨不得两个星期就看到效果
[01:00:44--01:00:45] 对吧
[01:00:45--01:00:46] 所以就会
[01:00:46--01:00:48] 这种文化就会导致团队
[01:00:48--01:00:50] 追求短期的效果
[01:00:50--01:00:51] 而牺牲长期的质量
[01:00:51--01:00:53] 所以有些long term的问题
[01:00:53--01:00:55] 可能并没有准备好
[01:00:55--01:00:57] 然后你比如说
[01:00:57--01:00:59] 这个数据质量到底怎么样
[01:00:59--01:01:01] infra的框架到底怎么样
[01:01:01--01:01:03] 但我感觉也不代表XCI
[01:01:03--01:01:04] 彻底就没戏了
[01:01:04--01:01:06] 因为他手上还有很多的GPU
[01:01:06--01:01:08] 而且Elon作为一个
[01:01:08--01:01:09] 顶级企业家
[01:01:09--01:01:11] 调整能力又特别强
[01:01:11--01:01:12] 包括他搞数据中心
[01:01:12--01:01:15] 搞这个新的Five
[01:01:15--01:01:17] 这个芯片厂
[01:01:17--01:01:19] 我感觉更像是个人的宏大愿景
[01:01:19--01:01:21] 其实这个东西
[01:01:21--01:01:23] 可能需要的时间还挺长的
[01:01:23--01:01:26] 有没有真的能弄起来一个团队
[01:01:26--01:01:28] 帮他deliver这个
[01:01:28--01:01:30] 我感觉AJ的竞赛
[01:01:30--01:01:31] 是比其他很多领域
[01:01:31--01:01:32] 都要竞争激烈的
[01:01:32--01:01:36] 就很像是你开着F1的速度
[01:01:36--01:01:37] 跑一个马拉松
[01:01:37--01:01:38] 而且在城市里跑
[01:01:38--01:01:39] 对吧
[01:01:39--01:01:40] 所以你需要200%
[01:01:40--01:01:41] 300%的聚焦
[01:01:41--01:01:43] 如果CEO和leadership
[01:01:43--01:01:45] 不聚焦肯定是不行的
[01:01:45--01:01:47] 我觉得Elon是不够聚焦的
[01:01:47--01:01:50] 而且AI的投入还是一个马拉松
[01:01:50--01:01:51] 得持续投入
[01:01:51--01:01:53] 能不能给我们讲一季度
[01:01:53--01:01:55] 还有一个非常火的新词
[01:01:55--01:01:57] 就是Honest engineering
[01:01:57--01:01:58] 对
[01:01:58--01:02:00] 我觉得这个提供几个思路
[01:02:00--01:02:03] 未来我们应该把AI的agent
[01:02:03--01:02:04] 当人看
[01:02:04--01:02:06] 应该把它看成一等公民
[01:02:06--01:02:07] 跟我们是一体的
[01:02:07--01:02:09] 人应该有的东西
[01:02:09--01:02:10] agent也应该有
[01:02:10--01:02:11] 对吧
[01:02:11--01:02:12] 人类的知识工作者
[01:02:12--01:02:14] 有工作的环境
[01:02:14--01:02:15] 工作的电脑
[01:02:15--01:02:16] 工作的各种信用卡
[01:02:16--01:02:17] 对吧
[01:02:17--01:02:20] 未来可能在一个平行世界
[01:02:20--01:02:23] 你也要给agent去搭一套
[01:02:23--01:02:24] agent作为人类
[01:02:24--01:02:26] 作为一个一等公民
[01:02:26--01:02:27] 需要的环境
[01:02:27--01:02:28] 对吧
[01:02:28--01:02:29] 我觉得这是一个思路
[01:02:29--01:02:30] 第二个点
[01:02:30--01:02:31] agent想做好
[01:02:31--01:02:32] 一方面是模型
[01:02:32--01:02:34] 还有一方面是Honest
[01:02:34--01:02:37] agent你就把它比喻成
[01:02:37--01:02:38] 就像是一个人
[01:02:38--01:02:39] 加入到一个公司
[01:02:39--01:02:40] 一个团队
[01:02:40--01:02:44] 有些公司有公司的管理和环境
[01:02:44--01:02:46] 它能让一个正常的人
