[00:00:01--00:00:08] 我觉得在硅谷,大家都觉得机器人可能是即将发生的一个最重要的变革
[01:00:55--01:00:56] 需要robot
[01:00:56--01:00:57] 那个我觉得就是
[01:00:57--01:00:59] 不是一个很scalable的数据源
[01:00:59--01:01:00] 所以不管怎么样
[01:01:00--01:01:01] 只要scalable就可以
[01:01:01--01:01:02] 对
[01:01:02--01:01:04] 听起来仿真数据是一个
[01:01:04--01:01:06] 更可能scalable的一个方案
[01:01:06--01:01:07] 其实这个也可以用来解决
[01:01:07--01:01:09] 大圆模型的数据墙的问题
[01:01:09--01:01:10] 对吧
[01:01:10--01:01:11] 现在其实很多大圆模型
[01:01:11--01:01:12] 感觉就是经常
[01:01:12--01:01:13] 大家会说有个
[01:01:13--01:01:14] 吃了吐吐了吃的问题
[01:01:14--01:01:16] 就是你先吃了internet data
[01:01:16--01:01:17] internet scale of data
[01:01:17--01:01:18] 然后它开始生成
[01:01:18--01:01:20] 各种各样的新的文本
[01:01:20--01:01:21] 新的数据
[01:01:21--01:01:23] 然后它再吃回去
[01:01:23--01:01:24] 然后又生成新的
[01:01:24--01:01:26] 这也是一种方式来解决
[01:01:26--01:01:29] 就是data不够的难点
[01:01:29--01:01:32] 仿真数据做太多人多吗
[01:01:32--01:01:34] 在一个robotics的团队里面
[01:01:34--01:01:35] 在一个robotics
[01:01:35--01:01:36] 这就完全看
[01:01:36--01:01:37] 这个robotics团队
[01:01:37--01:01:38] 它信仰是什么
[01:01:38--01:01:39] 像Google demind
[01:01:39--01:01:41] 它也有一个叫Mujoke的团队
[01:01:41--01:01:43] 它是一个非常知名的
[01:01:43--01:01:45] 做仿真的一个团队
[01:01:45--01:01:47] 英伟达也很信仿真
[01:01:47--01:01:49] 英伟达也很信仿真
[01:01:49--01:01:50] 嗯
[01:01:50--01:01:52] 那硅谷基本上都是仿真派吧
[01:01:52--01:01:53] 那也不是啊
[01:01:53--01:01:54] 有谁不信
[01:01:54--01:01:56] 我觉得其实硅谷
[01:01:56--01:01:59] 大家都会讲着差不多的故事
[01:01:59--01:02:02] 只是他们在他们的数据的mixture里面
[01:02:02--01:02:05] 只是他们的仿真数据的多少问题
[01:02:05--01:02:06] 就是大家都会
[01:02:06--01:02:08] 不会说我孤注一掷的
[01:02:08--01:02:09] 只用一种数据
[01:02:09--01:02:10] 对
[01:02:10--01:02:12] 大家都在不断的探索
[01:02:12--01:02:13] 用数据反正是阅读也好
[01:02:13--01:02:15] 不管你是什么数据
[01:02:15--01:02:17] 但是数据质量还是非常重要的
[01:02:17--01:02:19] 如果那个数据质量非常差
[01:02:19--01:02:21] 那越多的数据可能效果越差
[01:02:21--01:02:23] 怎么评判数据质量在这个领域
[01:02:23--01:02:24] 嗯
[01:02:24--01:02:26] 在这个领域其实没有标准评判数据质量
[01:02:26--01:02:28] 其实大家还是researcher
[01:02:28--01:02:30] 他可能就看着那个数据
[01:02:30--01:02:32] 觉得那个数据太陡了
[01:02:32--01:02:33] 不够smooth
[01:02:33--01:02:34] 这个数据已经踩过了
[01:02:34--01:02:37] 就是有很多很多就是人为的评判标准
[01:02:37--01:02:38] 它并没有标准化
[01:02:38--01:02:41] 这也是使得一个新兴产业
[01:02:41--01:02:42] 叫Data Foundry
[01:02:42--01:02:44] 我觉得特别困难的一点
[01:02:44--01:02:46] 就是Data Foundry它采了很多数据
[01:02:46--01:02:47] 但是我们并不能告诉它
[01:02:47--01:02:48] 采的数据好不好
[01:02:48--01:02:50] 所以我们拿过来用
[01:02:50--01:02:51] 如果效果不好
[01:02:51--01:02:53] 我们肯定说Data没采好
[01:02:53--01:02:55] 他们肯定说你们的毛都没穿好
[01:02:55--01:02:56] 所以这里有一个扯皮的过程
[01:02:56--01:02:58] 原因就是Data Quality
[01:02:58--01:03:00] 就是数据质量没有很好的定义
[01:03:00--01:03:02] 但的确这是一个科研问题
[01:03:02--01:03:04] 就是现在没有很好的定义
[01:03:04--01:03:06] 如果巨声智能机器人领域
[01:03:06--01:03:08] 只解决一个最重要的问题
[01:03:08--01:03:09] 就能带来飞跃
[01:03:09--01:03:10] 你觉得是数据问题
[01:03:10--01:03:11] 我觉得是数据问题
[01:03:11--01:03:13] 你怎么看王兴新的那句话
[01:03:13--01:03:17] 就是他觉得大家对于数据的讨论太多了
[01:03:17--01:03:18] 或者是
[01:03:18--01:03:21] 忽略了架构本身的创新
[01:03:21--01:03:23] 我觉得架构本身的创新是重要的
[01:03:23--01:03:25] 那个Genera Robotics 1.5
[01:03:25--01:03:27] 我说的什么Motion Transfer呀这些
[01:03:27--01:03:30] 就是它其实有很多程度是
[01:03:30--01:03:31] 架构和算法的创新
[01:03:31--01:03:34] 但是巧妇难为五米之锤
[01:03:34--01:03:36] 就是如果你光创新架构
[01:03:36--01:03:38] 也许你会在
[01:03:38--01:03:41] 就是在机器学习上更加efficient
[01:03:41--01:03:45] 但是你的数据的量和coverage不够的话
[01:03:45--01:03:47] 那么你的算法能力肯定是不行
[01:03:47--01:03:49] 国内还有一个很多的讨论
[01:03:49--01:03:52] 是关于就是模型架构的
[01:03:52--01:03:56] 一派是觉得端到端是一个统一的模型牌
[01:03:56--01:03:58] 另外一个是觉得是分层式的
[01:03:58--01:04:00] 这是两种不同的技术but
[01:04:00--01:04:02] 还是最终会殊途同归
[01:04:02--01:04:04] 我刚才听你说我感觉是会殊途同归的
[01:04:04--01:04:06] 就我可以再分享一个就是
[01:04:06--01:04:08] 另外一个故事哈
[01:04:08--01:04:09] 就是
[01:04:09--01:04:11] 虽然我说了我的第一篇论文
[01:04:11--01:04:14] 在谷歌论文是做强化学习
[01:04:14--01:04:15] 然后
[01:04:15--01:04:17] 但是我个人并不是特别喜欢
[01:04:17--01:04:18] 我特别相信
[01:04:18--01:04:21] 虽然我在那篇论文里有很很强的叫sign of life
[01:04:21--01:04:23] 觉得这东西可能能行
[01:04:23--01:04:25] 但是你也碰到我也碰到很多难点
[01:04:25--01:04:28] 比如说这个word function怎么调
[01:04:28--01:04:30] 然后如果这个train的效果不好的话
[01:04:30--01:04:32] 因为那时候ppu效率非常低嘛
[01:04:32--01:04:35] 所以那个时候我在想有没有什么捷径
[01:04:35--01:04:38] 于是我就想要不我们就把传统的
[01:04:38--01:04:41] 控制理论和强化学习结合一下
[01:04:41--01:04:43] 就是我底层还是传统控制理论
[01:04:43--01:04:46] 但是它有些参数我用强化学习来调
[01:04:47--01:04:50] 其实我们团队也就做这个方向做了很
[01:04:50--01:04:52] 挺长一段时间效果也不错
[01:04:52--01:04:54] 因为它就是立竿见影嘛
[01:04:54--01:04:57] 因为底层的东西已经差不多work了
[01:04:57--01:04:59] 强化学习可以立刻让它work
[01:04:59--01:05:02] 但是整个历史的轨迹并没有朝着
[01:05:02--01:05:03] 我想象这个方向走
[01:05:03--01:05:06] 而是他们完全做端到端的强化学习
[01:05:06--01:05:09] 就是state in action out
[01:05:09--01:05:13] 然后这个的确几年之后成为成为了主流
[01:05:13--01:05:15] 就是我觉得有的时候
[01:05:15--01:05:17] 你为了解决一些现实中的问题
[01:05:17--01:05:20] 或者你觉得在短期能够取得更好的效果
[01:05:20--01:05:22] 你会有一些short cut
[01:05:22--01:05:25] 你会做一些分层的模型
[01:05:25--01:05:28] 但是至少从我过去的这个经验告诉我
[01:05:28--01:05:31] 就是也许你直接投入最终你相信的
[01:05:31--01:05:33] 那个端到端的大模型
[01:05:33--01:05:35] 或unified大模型
[01:05:35--01:05:37] 最后那个可能会胜出
[01:05:37--01:05:39] 那你们现在投入了吗
[01:05:39--01:05:41] 我们现在基本上都是端到端的
[01:05:41--01:05:45] 除了那个短期的就是给你做一个proof of concept
[01:05:45--01:05:49] 比如说这个ER和比如说VLA它可以interact
[01:05:49--01:05:51] 短期内你可以已经用这个模型了
[01:05:51--01:05:56] 但是同时我们也是大量投入就端到端的一个unified的这个模型
[01:05:56--01:05:58] VLA会是一种中级的架构吗
[01:05:58--01:06:00] 或者VLA加RL
[01:06:00--01:06:03] VLA是现在我觉得效果最好的模型
[01:06:03--01:06:06] 但是大家也在讨论就是Language它可能
[01:06:06--01:06:13] 在描述机器人尤其是非常复杂的这个行为的时候是不够的
[01:06:13--01:06:14] 因为Language像我说的
[01:06:14--01:06:17] 是一个有着信息损失的一种表达方式
[01:06:17--01:06:19] 所以说大家经常说
[01:06:19--01:06:21] 也许下一代是world model
[01:06:21--01:06:23] 因为world model生成的是visual
[01:06:23--01:06:24] 是下一帧对吧
[01:06:24--01:06:26] 你可以看到比如说我在转笔的
[01:06:26--01:06:29] 我在转笔的过程中我的每一个手指是怎么动的
[01:06:29--01:06:31] 但是假设我在转笔或者用筷子的时候
[01:06:31--01:06:33] 你要用语言来表达
[01:06:33--01:06:34] 我下一步应该干什么
[01:06:34--01:06:36] 那是很困难的
[01:06:36--01:06:41] 对所以说很多其实好的这个表达方式可能是visual的
[01:06:41--01:06:44] 所以说world model在现在在硅谷是非常好
[01:06:44--01:06:50] 就是非常流行的说可能下一个新的方式
[01:06:50--01:06:52] 它是替换VLA的吗
[01:06:52--01:06:53] 它不一定替换VLA
[01:06:53--01:06:55] 它可能会跟VLA共存
[01:06:55--01:06:58] 因为可能VLA它会变成我不知道
[01:06:58--01:07:01] 创造一个新的名词就是VL
[01:07:01--01:07:03] 然后可能是VA
[01:07:03--01:07:05] 当中那个V还是个visual
[01:07:05--01:07:07] 就是你的vision进去你的Language进去
[01:07:07--01:07:10] 它可以生成下一帧的image或者vision
[01:07:10--01:07:13] 然后再基于这个可能生成下一步的action
[01:07:13--01:07:16] 那世界模型跟它的关系是什么
[01:07:16--01:07:19] 世界模型其实就是VLV对吧
[01:07:19--01:07:21] 这是vision language
[01:07:21--01:07:26] 然后它可以生成下一帧的图像
[01:07:26--01:07:31] 所以你认可王欣欣说VLA加RL是一个相对傻瓜的结果吗
[01:07:31--01:07:32] 不傻瓜
[01:07:32--01:07:36] 我觉得这个做出来可厉害了
[01:07:36--01:07:38] 只有世界模型会更好
[01:07:38--01:07:40] 至少现在很多研究方向是从这个方向
[01:07:40--01:07:42] 它更符合世界物理的规律
[01:07:42--01:07:43] 我同意
[01:07:43--01:07:47] 还有一点就是大家可能觉得VLA看上去比较傻瓜
[01:07:47--01:07:52] 是因为现在其实很多VLA的探索都比较收敛了
[01:07:52--01:07:56] 就是你可以想一年前就是VLA完全不work的时候
[01:07:56--01:07:59] 大家还有各种各样的exploration
[01:07:59--01:08:02] 比如说我怎么表达这个action
[01:08:02--01:08:05] 我是用action token
[01:08:05--01:08:07] 还是用一种action expert
[01:08:07--01:08:08] 还是用diffusion
[01:08:08--01:08:09] 还是用其他方式
[01:08:09--01:08:11] 就是很多东西
[01:08:11--01:08:16] 就是在过去一年中一年里面就是慢慢的怎么说呢converge了
[01:08:16--01:08:18] 所以大家就可能就是套用一个模式
[01:08:18--01:08:20] 你就可以得到一个结果
[01:08:20--01:08:28] 但其实我觉得整个VLA的发展其实还是需要很多很多就是talent和时间的
[01:08:28--01:08:30] 我们在讨论一个机器人大脑的时候
[01:08:30--01:08:31] 国内叫巨神智能
[01:08:31--01:08:35] 它这个智的定义是什么
[01:08:35--01:08:36] 他聪明
[01:08:36--01:08:39] 他知道他该干什么
[01:08:39--01:08:40] 他能够思考
[01:08:40--01:08:41] 他能够决策
[01:08:41--01:08:42] 他能够行动
[01:08:42--01:08:46] 他有一个非常确切的一个定义嘛
[01:08:46--01:08:48] 你说巨神智能的智
[01:08:48--01:08:49] 对
[01:08:49--01:08:51] 他让他更灵活
[01:08:51--01:08:54] 他是让他大脑更聪明
[01:08:54--01:08:56] 这两点都有
[01:08:56--01:08:57] 就是大脑小脑都有
[01:08:57--01:08:59] 就是刚刚我说的就是大脑
[01:08:59--01:09:01] 你需要具有common sense
[01:09:01--01:09:03] 你需要有解决问题的能力
[01:09:03--01:09:08] 你需要能够根据现有的状况给出一个很好的规划
[01:09:08--01:09:09] 对吧
[01:09:09--01:09:10] 然后这是智的一个体现
[01:09:10--01:09:11] 在小脑方面
[01:09:11--01:09:13] 或者在运动控制方面
[01:09:13--01:09:15] 你需要能够
[01:09:15--01:09:16] 英文叫dextrous
[01:09:16--01:09:21] 就是你可以用比如五指解决很多manipulation的问题
[01:09:21--01:09:24] 你可以用双足很敏捷的做很多
[01:09:24--01:09:26] 比如说跑跳
[01:09:26--01:09:28] 这种mobile相关的任务
[01:09:28--01:09:31] 所以说我觉得智是包含大脑和小脑的
[01:09:31--01:09:32] 机器人大脑的
[01:09:32--01:09:34] 你觉得需要增加更多的模态吗
[01:09:34--01:09:37] 除了刚才我们说的视觉预言动作
[01:09:37--01:09:39] 还需要增加比如说触觉力觉嗅觉这些吗
[01:09:39--01:09:43] 这个到底应该在大脑端还是在小脑端是不一定的
[01:09:43--01:09:47] 但是我觉得机器人的发展肯定是需要增加更多的模态的
[01:09:47--01:09:51] 就是现在这里又有个很小的故事可以分享一下
[01:09:51--01:09:53] 就是我的就是心路历程
[01:09:53--01:09:58] 就是大家一直都说这个tactile sensing就是触觉是非常重要的
[01:09:58--01:10:00] 我也是一直相信的
[01:10:00--01:10:03] 因为就是intuitively你每天都有这个皮肤
[01:10:03--01:10:06] 然后感受着这个你触摸到的事件嘛
[01:10:06--01:10:07] 对吧
[01:10:07--01:10:09] 然后就是在这个
[01:10:09--01:10:12] 在stanford有一个论文叫aloha
[01:10:12--01:10:16] 然后那是我第一次看到就是人可以通过视觉完全通过视觉
[01:10:16--01:10:20] 然后摇操一个aloha机器人做非常复杂的事情
[01:10:20--01:10:24] 包括从皮包里面拿出一个信用卡
[01:10:24--01:10:25] 有非常薄的东西
[01:10:25--01:10:28] 然后我以为这种东西只有触觉才能做成
[01:10:28--01:10:34] 但是aloha的出现就是狠狠的打了我的脸
[01:10:34--01:10:39] 然后我意识到其实很多东西用视觉也是可以解决的
[01:10:39--01:10:42] 于是我又hold了这个believe for a while
[01:10:42--01:10:45] 就是我觉得可能视觉对视觉就够了
[01:10:45--01:10:48] 或者说视觉可以做95%的事情
[01:10:48--01:10:50] 可能剩余的5%才需要触觉
[01:10:50--01:10:54] 直到最近灵巧手开始变得越来越普及
[01:10:54--01:11:00] 然后我开始去一些地方就是用你摇操的手段来控制那个灵巧手
[01:11:00--01:11:05] 然后有一个例子就是用灵巧手用剪刀
[01:11:05--01:11:07] 就用剪刀是一个非常简单的事情
[01:11:07--01:11:08] 你把手往两环里一套
[01:11:09--01:11:11] 然后你就可以用剪刀了
[01:11:11--01:11:14] 但那个时候它是没有触觉反馈的
[01:11:14--01:11:15] 我完全通过视觉
[01:11:15--01:11:19] 我把那个手就是那个控制的那个灵巧手的机前的手
[01:11:19--01:11:22] 往那个剪刀那两环里一套
[01:11:22--01:11:24] 然后就开合我这边的手
[01:11:24--01:11:26] 但是因为我没有触觉
[01:11:26--01:11:28] 所以我不知道什么时候开什么时候关
[01:11:28--01:11:30] 因为那两个环非常大
[01:11:30--01:11:33] 所以有的时候你在不恰当的时间开关的时候
[01:11:33--01:11:35] 你只是手在那个两个环里面动
[01:11:35--01:11:38] 但是并没有控制整个剪刀的开关
[01:11:38--01:11:39] 嗯
[01:11:39--01:11:40] 这就让我意识到
[01:11:40--01:11:42] 其实如果你有灵巧手的时候
[01:11:42--01:11:44] 触觉就非常重要
[01:11:44--01:11:46] 之所以我前面觉得触觉不重要
[01:11:46--01:11:49] 是因为它其实受限于当时的硬件
[01:11:49--01:11:51] 如果你只是个假爪
[01:11:51--01:11:54] 那么你可能远远的看到我这假爪开着关着
[01:11:54--01:11:56] 我就能做很好的判断
[01:11:56--01:11:58] 但是当你有一个灵巧手
[01:11:58--01:11:59] 你有五个手指
[01:11:59--01:12:02] 你要做很复杂的行为和任务的时候
[01:12:02--01:12:05] 那么触觉感觉是必不可少的
[01:12:05--01:12:07] 所以当你觉得触觉不重要的时候
[01:12:07--01:12:09] 可能是当时的发展阶段还没有到
[01:12:09--01:12:10] 加入更多模态肯定是的
[01:12:10--01:12:12] 只是今天觉得它不必须是因为
[01:12:12--01:12:14] 可能硬件的水平还不够
[01:12:14--01:12:15] 对
[01:12:15--01:12:17] 然后我们还得解决一些非常简单的问题
[01:12:17--01:12:20] 但是视觉可以解决95%的问题是吗
[01:12:20--01:12:22] 在那个假爪时代
[01:12:22--01:12:23] OK
[01:12:23--01:12:25] 那现在你的视觉能解决多少问题
[01:12:25--01:12:27] 现在还在那个假爪时代嘛
[01:12:27--01:12:28] 所以我觉得假爪时代
[01:12:28--01:12:30] 在所有假爪能完成的任务里面
[01:12:30--01:12:33] 我还是觉得视觉可能可以解决95%的问题
[01:12:33--01:12:35] 所以视觉是最重要的一个模态
[01:12:35--01:12:38] 视觉是对于现代已有硬件最重要的模态
[01:12:38--01:12:39] 对
[01:12:39--01:12:40] 马斯克说
[01:12:40--01:12:42] 奥特曼最终将通过观看YouTube视频
[01:12:42--01:12:44] 学习执行任务
[01:12:44--01:12:46] 他觉得纯视觉就OK了
[01:12:46--01:12:49] 你不认可他这个观点
[01:12:49--01:12:52] 我觉得把这两句话贴在一起讲
[01:12:52--01:12:54] 我不知道马斯克的原话是这样子
[01:12:54--01:12:56] 还是桑普豪经过了剪辑
[01:12:56--01:13:00] 把两句其实可以有非常不同含义的话贴在了一块
[01:13:00--01:13:03] 机器人看YouTube视频学会任务
[01:13:03--01:13:04] 我觉得非常重要
[01:13:04--01:13:06] 这个其实印证我前面一个观点
[01:13:06--01:13:08] 说你不行
[01:13:08--01:13:09] 你需要摇草
[01:13:09--01:13:11] 你需要的是比如说video数据
[01:13:11--01:13:13] 因为它是一个scalable的数据
[01:13:13--01:13:15] 这个我完全没有任何意义
[01:13:15--01:13:17] 我是非常同意这个观点
[01:13:17--01:13:19] 而且我以前在很多我自己的talk也有说
[01:13:19--01:13:22] 希望有一天我们的机器人可以坐在电视机前
[01:13:22--01:13:23] 看看Netflix
[01:13:23--01:13:24] 看看YouTube
[01:13:24--01:13:25] 他就学会了各种技能
[01:13:25--01:13:27] 这个我没有任何反对意见
[01:13:27--01:13:28] 下一句话说
[01:13:28--01:13:31] 他可以完全通过视觉解决所有的问题
[01:13:31--01:13:33] 这个我是不同意的
[01:13:33--01:13:35] 而且这句话跟前面一句话是没有任何关系的
[01:13:35--01:13:37] 因为你通过视觉学习东西
[01:13:37--01:13:40] 和通过视觉解决问题是两个不同的问题
[01:13:40--01:13:44] 车 你觉得自动驾驶它是通过纯视觉在解决问题吗
[01:13:44--01:13:47] 自动驾驶是通过纯视觉在解决问题
[01:13:47--01:13:50] 至少Tesla选了一条纯视觉的道路
[01:13:50--01:13:52] 但是你觉得机器人不行
[01:13:52--01:13:53] 对
[01:13:53--01:13:56] 因为manipulation是一个非常复杂的问题
[01:13:56--01:13:58] 然后它需要跟现实世界有反复的互动
[01:13:58--01:14:01] 而且每一个的互动的形式可能是不一样的
[01:14:01--01:14:02] 是的
[01:14:02--01:14:04] 不过这也跟你怎么定义你的机器人有关系
[01:14:04--01:14:06] 你让他到底是做什么任务的
[01:14:07--01:14:10] 对 当我们说是一个通用人型机器人
[01:14:10--01:14:12] 它有五指零巧手
[01:14:12--01:14:14] 它能做所有人能做的任务的时候
[01:14:14--01:14:16] 那个时候触觉就必不可少
[01:14:16--01:14:19] 你看现在的硬件它也没有收敛
[01:14:19--01:14:24] 那未来出现的硬件有没有可能不适配今天的大脑呢
[01:14:24--01:14:27] 这个就说明cross embodiment非常重要
[01:14:27--01:14:31] 就说明我们做的研究方向还是非常重要
[01:14:31--01:14:33] 但是我个人还是觉得
[01:14:33--01:14:37] 在未来人型机器人还会成为一个主流的形式
[01:14:37--01:14:39] 它不会成为唯一的形态
[01:14:39--01:14:41] 但它一定是个主流的形态
[01:14:41--01:14:45] 所以如果你只能bet on一种embodyment
[01:14:45--01:14:48] 我还是会bet on人型
[01:14:48--01:14:53] 就是要如果只bet一种架构的话它是端到端的
[01:14:53--01:14:56] 如果只bet一种形态的话它是人型的
[01:14:56--01:14:57] 对
[01:14:57--01:15:01] 就不要去做那些比较现实的那种分支的事
[01:15:01--01:15:04] 因为它可能会浪费很多的时间
[01:15:04--01:15:06] 这个其实有很多
[01:15:07--01:15:09] 可以聊的地方
[01:15:09--01:15:13] 就是这完全取决于你是在一个大公司做事情
[01:15:13--01:15:15] 还是你是在做一个startup
[01:15:15--01:15:17] 这可能也取决于你是在硅谷做事情
[01:15:17--01:15:21] 还是在中国做类似的问题
[01:15:21--01:15:25] 因为我觉得每个人的
[01:15:25--01:15:28] 就是目标是不一样的
[01:15:28--01:15:31] 如果你的目标是说我要
[01:15:31--01:15:33] 找我的目标或者说
[01:15:33--01:15:37] 我个人倾向于做的事情是solve AGI in the physical world
[01:15:37--01:15:43] 所以说我会就是非常聚焦于就是最终的形态是什么样子
[01:15:43--01:15:44] 最终的模型是什么样子
[01:15:44--01:15:47] 所有其他的东西可能都是distraction
[01:15:47--01:15:48] 对吧
[01:15:48--01:15:51] 但是如果你是一个创业公司
[01:15:51--01:15:54] 然后资本对你的这个生存
[01:15:54--01:15:56] 或者对你的盈利是有期待的
[01:15:56--01:15:58] 那么你其实很难说撇开所有的
[01:15:58--01:15:59] 我就是不盈利
[01:15:59--01:16:02] 我就是说我要做20年以后的最终的模型
[01:16:02--01:16:06] 于是你可能想的是我能够在短期内有一些落地
[01:16:06--01:16:07] 然后
[01:16:07--01:16:09] 把数据飞轮转起来
[01:16:09--01:16:12] 然后慢慢的来把这个问题解决
[01:16:12--01:16:14] 这个其实有一个对比
[01:16:14--01:16:16] 可能是我不知道是不是非常恰当
[01:16:16--01:16:18] 就是vimo和特斯拉
[01:16:18--01:16:20] 其实采取了非常不同的策略
[01:16:20--01:16:23] 他们都是想是想解决自动驾驶
[01:16:23--01:16:26] 那vimo是就是看到最后我要L4对吧
[01:16:26--01:16:28] 我要这个不管在什么地方没有人
[01:16:28--01:16:29] 真的没有人驾驶
[01:16:29--01:16:31] 我连那个方向盘都不要
[01:16:31--01:16:33] 所以他做的很多决策都说
[01:16:33--01:16:35] 我怎么样能够达到L4
[01:16:35--01:16:36] 但是特斯拉就说
[01:16:36--01:16:37] 我们不急
[01:16:37--01:16:38] 我们反正卖车
[01:16:38--01:16:41] 我们可以从L2 L2.5一点往上做
[01:16:41--01:16:44] 然后把那个数据飞轮转起来
[01:16:44--01:16:46] 我们可能也会达到L4
[01:16:46--01:16:49] 所以我觉得这两条路没有对和错
[01:16:49--01:16:53] 我也说并不是说鼓励大家一定要做端到端
[01:16:53--01:16:54] 一定要做人行
[01:16:54--01:16:56] 只是大家在就殊途同归嘛
[01:16:56--01:16:58] 就用不同的方式解决同样的问题
[01:16:58--01:17:00] 你取的这个例子非常有意思
[01:17:00--01:17:03] 但是今天大家会觉得特斯拉是一个更正确的道路吗
[01:17:03--01:17:05] 这个很难评判
[01:17:05--01:17:08] 这个是维莫也有非常成功的
[01:17:08--01:17:12] 这个在旧金山或者在好几个地方就是运营的案例
[01:17:12--01:17:15] 然后而且我觉得维莫有点特别伟大的地方
[01:17:15--01:17:19] 是他真的把驾驶员给从车里面拿走
[01:17:19--01:17:22] 就是我自己也是特斯拉用户嘛
[01:17:22--01:17:25] 我觉得FSD非常非常厉害
[01:17:25--01:17:26] 我经常用
[01:17:26--01:17:30] 但是这个和你有勇气把驾驶员拿走
[01:17:30--01:17:32] 我觉得是一个0到1的突破
[01:17:32--01:17:34] 这个很有意思
[01:17:34--01:17:37] 我们刚才其实说你个人的研究主线没有说完
[01:17:37--01:17:40] 你在Google做了第一个强化学习的paper以后
[01:17:40--01:17:42] 后来的发展是什么样的
[01:17:42--01:17:45] 就我做强化学习我就做了很长一段时间的
[01:17:45--01:17:48] 就是不太的就 locomotion之类的
[01:17:48--01:17:50] 做了四组
[01:17:50--01:17:51] 然后做到一个地步
[01:17:51--01:17:54] 我觉得那个领域就非常卷了
[01:17:54--01:17:56] 那个领域就是因为有了强化学习
[01:17:56--01:17:58] 强化学习并不难用
[01:17:58--01:17:59] 其实非常好用
[01:17:59--01:18:01] 我觉得这也是一个怎么说呢
[01:18:01--01:18:03] 再岔开讲一下就是这个
[01:18:03--01:18:05] 从宏观上来讲
[01:18:05--01:18:09] 就是当一个技术越来越容易用的时候
[01:18:09--01:18:11] 那个技术很快就会普及
[01:18:11--01:18:13] 就是说比如步态的控制
[01:18:13--01:18:15] 那个人行机器人走路
[01:18:15--01:18:16] 如果那个东西
[01:18:16--01:18:18] 像我说开始是用NPC
[01:18:18--01:18:19] model Predictive Control
[01:18:19--01:18:21] 那个时候你需要一个PhD
[01:18:21--01:18:22] 你才能真正理解那个数学
[01:18:22--01:18:24] 然后才能解那个方程
[01:18:24--01:18:27] 那么这个算法或者这个技术
[01:18:27--01:18:29] 比普及就还差好远
[01:18:29--01:18:31] 然后那个之后就是reinforcement
[01:18:31--01:18:32] 就强化学习出来了
[01:18:32--01:18:34] 强化学习呢就是
[01:18:34--01:18:36] 我觉得现在很多高中生
[01:18:36--01:18:38] 都可以网上当一个强化学习的这个包
[01:18:38--01:18:40] 比如PPO
[01:18:40--01:18:43] 然后从NB那拿一个什么Isaac Gym
[01:18:43--01:18:45] 然后把它放在一起
[01:18:45--01:18:46] 然后train一下deploy一下
[01:18:46--01:18:49] 就是很多可能高中生都能做这个事情了
[01:18:49--01:18:51] 于是这个东西就说明
[01:18:51--01:18:52] 马上会变得非常卷
[01:18:52--01:18:55] 因为很多很多人能够进入这个领域
[01:18:55--01:18:57] 来做贡献
[01:18:57--01:19:00] 的确强化学习瞬间就解决了
[01:19:00--01:19:02] 这个所有的老公老师的问题
[01:19:02--01:19:04] 同时就是在未来
[01:19:04--01:19:07] 你可以看到就是prompt engineering
[01:19:07--01:19:09] 是几乎所有人都能做的
[01:19:09--01:19:10] 因为是自然语言
[01:19:10--01:19:11] 对吧
[01:19:11--01:19:13] 你可以跟这个模型用各种方式
[01:19:13--01:19:15] 使得这个模型帮你做事情
[01:19:15--01:19:18] 所以说我觉得大学模型的出现
[01:19:18--01:19:20] 可能很快会解决很多很多
[01:19:20--01:19:21] 不仅是robotics
[01:19:21--01:19:22] 是各个行业的问题
[01:19:22--01:19:25] 所以说我做了公司做了一个阶段以后
[01:19:25--01:19:27] 发觉就是强化学习已经普及了
[01:19:27--01:19:29] 就是不管是在美国在中国
[01:19:29--01:19:31] 大家都开始用强化学习解决
[01:19:31--01:19:34] 机器人不太问题的时候
[01:19:34--01:19:36] 那时候我觉得我爱事务妄
[01:19:36--01:19:39] 去解决一个可能更难的
[01:19:39--01:19:42] 还没有就是全民都可以解决的问题
[01:19:42--01:19:43] 于是那个时候我就开始
[01:19:43--01:19:44] 这是哪一年
[01:19:44--01:19:47] 那个可能是
[01:19:47--01:19:50] 21 22年的时候
[01:19:50--01:19:53] 然后那时候我就开始做机器人大模型
[01:19:53--01:19:54] 就是
[01:19:54--01:19:55] 基础模型
[01:19:55--01:19:56] 基础模型对
[01:19:56--01:19:58] 然后那个时候就是google
[01:19:58--01:20:00] 发了好几篇相关的论文
[01:20:00--01:20:01] say can
[01:20:01--01:20:03] 就是用语言模型
[01:20:03--01:20:05] 让机器人有了common sense
[01:20:05--01:20:07] 他可以一步一步分解一个很复杂的任务
[01:20:07--01:20:11] 然后rt1是说我们可以用一个transformer
[01:20:11--01:20:14] 这样一个architecture
[01:20:14--01:20:16] 吸收很多很多的数据
[01:20:16--01:20:19] 使得他的这个performance越来越好
[01:20:19--01:20:21] 然后rt2是本来就说
[01:20:21--01:20:23] 我已经有一个vrm了
[01:20:23--01:20:25] 我可以他已经有这个internet
[01:20:25--01:20:27] scale of data的这个训练
[01:20:27--01:20:30] 然后我可以加上一些就是action的训练
[01:20:30--01:20:32] 使得他可以借用
[01:20:32--01:20:36] 就是所有的internet上面的知识来做很多事情
[01:20:36--01:20:38] 然后到后来gemini robotics
